player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Braden Schneider #4,D,0.2,0.175,0.017,0.009,37,62,2.96,2.93,1256,T3
Aaron Ekblad #5,D,0.201,0.194,0.006,0.001,27,71,3.28,2.51,1299,T3
Vince Dunn #29,D,0.202,0.151,0.035,0.016,40,69,3.71,2.88,1115,T4
Ilya Lyubushkin #46,D,0.203,0.143,0.014,0.046,33,81,3.49,2.61,1391,T2
Tyler Kleven #43,D,0.204,0.192,0.006,0.006,33,50,2.52,2.34,1192,T3
Simon Benoit #2,D,0.204,0.177,0.011,0.016,28,63,2.88,2.74,1315,T3
Jamie Oleksiak #24,D,0.204,0.155,0.031,0.019,51,86,4.06,2.58,1272,T3
Mario Ferraro #38,D,0.205,0.172,0.011,0.022,64,111,4.73,2.94,1409,T2
Ryan Pulock #6,D,0.206,0.173,0.011,0.022,38,77,3.64,2.66,1268,T3
Jake Christiansen #2,D,0.206,0.2,0.006,0.0,27,36,2.69,2.82,804,T4
Brenden Dillon #5,D,0.206,0.176,0.008,0.023,47,82,3.86,2.55,1275,T3
Jackson LaCombe #2,D,0.207,0.167,0.037,0.003,36,82,3.97,2.75,1240,T3
Michael Kesselring #7,D,0.207,0.155,0.024,0.027,31,53,2.43,2.32,1309,T3
Brett Pesce #22,D,0.207,0.178,0.011,0.018,36,66,2.8,2.36,1414,T2
Erik Karlsson #65,D,0.207,0.146,0.013,0.049,62,107,4.15,2.9,1548,T1
MacKenzie Weegar #52,D,0.207,0.16,0.03,0.018,36,72,2.94,2.28,1471,T2
Ty Emberson #49,D,0.208,0.152,0.011,0.046,35,60,3.44,2.36,1046,T4
Quinn Hughes #43,D,0.209,0.184,0.023,0.002,44,69,3.04,2.3,1363,T2
Ryan Lindgren #55,D,0.211,0.186,0.007,0.018,47,73,3.33,2.67,1317,T3
Justin Faulk #72,D,0.212,0.153,0.043,0.016,40,68,2.66,2.31,1536,T1
Noah Dobson #8,D,0.212,0.182,0.03,0.0,45,73,3.37,2.32,1299,T3
Kaiden Guhle #21,D,0.213,0.176,0.037,0.0,35,57,3.09,2.8,1106,T4
Will Borgen #17,D,0.213,0.176,0.009,0.028,54,75,3.47,2.8,1296,T3
Ryan Graves #27,D,0.214,0.185,0.025,0.004,28,48,3.56,2.31,808,T4
Adam Fox #23,D,0.214,0.194,0.02,0.0,48,86,4.08,2.46,1265,T3
Matt Roy #3,D,0.215,0.193,0.022,0.0,40,67,2.89,2.52,1391,T2
Arber Xhekaj #72,D,0.216,0.15,0.027,0.038,36,48,2.96,2.78,974,T4
Dmitry Orlov #7,D,0.216,0.173,0.027,0.016,41,85,3.18,2.4,1602,T1
Dmitry Kulikov #7,D,0.217,0.19,0.026,0.001,33,64,2.56,2.13,1498,T1
Radko Gudas #7,D,0.219,0.175,0.017,0.027,39,87,3.83,2.82,1363,T2
Luke Schenn #5,D,0.219,0.153,0.015,0.051,34,62,2.97,2.36,1253,T3
Tyler Myers #57,D,0.219,0.159,0.011,0.049,37,74,3.66,2.35,1213,T3
Dougie Hamilton #7,D,0.219,0.215,0.005,0.0,33,53,2.88,2.74,1104,T4
Brandt Clarke #92,D,0.22,0.189,0.018,0.014,33,47,2.44,2.47,1156,T4
Mike Matheson #8,D,0.221,0.19,0.016,0.014,61,119,4.61,2.94,1550,T1
Thomas Harley #55,D,0.221,0.183,0.038,0.0,35,73,2.44,2.57,1797,T1
Olli Maatta #3,D,0.222,0.179,0.028,0.015,38,56,2.54,2.28,1321,T3
Timothy Liljegren #37,D,0.222,0.187,0.018,0.017,49,64,3.42,2.68,1122,T4
Brett Kulak #27,D,0.223,0.2,0.019,0.005,52,93,2.91,2.26,1918,T1
Kevin Bahl #7,D,0.224,0.17,0.012,0.042,45,85,3.87,2.58,1318,T3
Gustav Forsling #42,D,0.226,0.164,0.038,0.024,36,94,2.96,2.41,1907,T1
Jacob Trouba #65,D,0.227,0.178,0.015,0.034,50,92,4.19,3.0,1318,T3
Zach Whitecloud #2,D,0.227,0.199,0.025,0.003,32,56,2.44,2.38,1376,T2
Dylan Samberg #54,D,0.227,0.164,0.006,0.057,28,55,2.47,2.26,1336,T3
Devon Toews #7,D,0.228,0.189,0.008,0.031,45,89,3.25,2.35,1645,T1
Jakob Chychrun #6,D,0.229,0.159,0.021,0.049,37,60,2.41,2.55,1492,T2
Josh Manson #42,D,0.23,0.205,0.026,0.0,26,52,3.51,2.29,889,T4
Johnathan Kovacevic #8,D,0.232,0.169,0.025,0.038,34,67,2.87,2.05,1399,T2
Shayne Gostisbehere #4,D,0.232,0.148,0.043,0.04,27,56,2.79,2.23,1205,T3
Nikita Zadorov #91,D,0.232,0.206,0.023,0.003,35,72,3.05,2.44,1418,T2
Travis Sanheim #6,D,0.232,0.186,0.014,0.033,71,106,3.87,2.27,1643,T1
Scott Mayfield #24,D,0.235,0.146,0.046,0.042,25,46,2.8,2.52,986,T4
Jamie Drysdale #9,D,0.235,0.174,0.019,0.042,52,82,4.2,2.49,1171,T4
Shea Theodore #27,D,0.237,0.184,0.03,0.023,29,61,2.56,2.34,1431,T2
Victor Hedman #77,D,0.239,0.165,0.046,0.027,34,72,2.99,2.48,1445,T2
