player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Kyle Connor #81,F,0.03,0.017,0.006,0.008,36,77,3.09,2.52,1496,T1
Ryan O'Reilly #90,F,0.03,0.024,0.007,0.0,38,81,4.44,2.56,1096,T2
Jake Evans #71,F,0.031,0.006,0.021,0.003,40,74,4.27,2.53,1039,T3
Logan Cooley #92,F,0.031,0.027,0.004,0.0,34,65,3.86,2.59,1011,T3
Pierre-Luc Dubois #80,F,0.031,0.03,0.001,0.0,36,55,2.54,2.47,1298,T1
Travis Konecny #11,F,0.031,0.027,0.003,0.001,51,87,4.22,2.53,1238,T1
David Savard #58,F,0.032,0.014,0.01,0.008,38,77,4.54,2.97,1017,T3
Garnet Hathaway #19,F,0.033,0.024,0.009,0.0,25,36,3.15,1.99,686,T4
Claude Giroux #28,F,0.033,0.022,0.012,0.0,29,74,4.08,2.44,1088,T2
Jordan Martinook #48,F,0.034,0.029,0.005,0.0,26,53,2.64,2.28,1204,T1
Patrick Maroon #77,F,0.034,0.029,0.005,0.0,27,36,3.05,3.18,708,T4
Artemi Panarin #10,F,0.036,0.021,0.004,0.011,51,72,3.49,2.74,1238,T1
Trevor Moore #12,F,0.036,0.033,0.003,0.0,26,49,2.85,2.34,1032,T3
Frank Vatrano #77,F,0.037,0.011,0.003,0.023,36,64,3.6,3.19,1066,T3
Mikko Rantanen #96,F,0.037,0.03,0.007,0.0,43,83,3.1,2.7,1608,T1
Steven Stamkos #91,F,0.037,0.018,0.018,0.001,48,78,4.18,2.67,1120,T2
Artturi Lehkonen #62,F,0.037,0.029,0.008,0.0,28,56,2.79,2.51,1206,T1
Dylan Strome #17,F,0.037,0.032,0.005,0.0,44,60,2.93,3.01,1230,T1
Roope Hintz #24,F,0.037,0.034,0.003,0.0,30,58,3.1,2.77,1124,T2
Nick Schmaltz #8,F,0.037,0.024,0.01,0.003,42,68,3.59,2.5,1137,T2
Dmitri Voronkov #10,F,0.037,0.033,0.0,0.004,32,50,2.9,2.89,1035,T3
Owen Tippett #74,F,0.038,0.036,0.001,0.0,43,61,3.65,2.19,1004,T3
Pavel Zacha #18,F,0.038,0.027,0.011,0.0,43,88,4.73,2.54,1117,T2
Will Smith #2,F,0.038,0.033,0.005,0.0,42,57,3.57,3.01,959,T3
Jake DeBrusk #74,F,0.038,0.022,0.002,0.014,39,61,3.45,2.38,1061,T3
Brock Nelson #29,F,0.038,0.037,0.001,0.0,33,71,3.38,2.58,1260,T1
Brandon Hagel #38,F,0.039,0.035,0.004,0.0,32,71,3.37,2.21,1265,T1
Jonatan Berggren #48,F,0.039,0.034,0.005,0.0,30,38,2.54,2.53,899,T4
Conor Garland #8,F,0.039,0.028,0.002,0.009,30,59,3.22,2.14,1098,T2
