player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Jake Neighbours #63,F,0.001,0.001,0.0,0.0,34,49,3.39,2.31,868,T4
Mats Zuccarello #36,F,0.004,0.003,0.001,0.0,33,53,3.3,2.59,963,T3
Tyler Toffoli #73,F,0.004,0.0,0.004,0.0,34,56,3.68,2.7,914,T3
Fabian Zetterlund #20,F,0.006,0.003,0.003,0.0,30,45,2.87,2.41,940,T3
Eeli Tolvanen #28,F,0.006,0.004,0.002,0.0,35,72,4.41,3.01,979,T3
Claude Giroux #28,F,0.008,0.002,0.006,0.0,31,55,3.37,2.15,979,T3
Ryan Leonard #9,F,0.009,0.009,0.0,0.0,25,37,2.54,3.08,875,T4
Drake Batherson #19,F,0.009,0.003,0.005,0.0,37,51,2.95,2.25,1039,T2
Connor Brown #16,F,0.009,0.006,0.003,0.0,30,65,3.81,2.66,1023,T2
Matvei Michkov #39,F,0.009,0.004,0.005,0.0,29,51,3.01,2.29,1017,T3
Adam Klapka #43,F,0.009,0.007,0.002,0.0,27,36,2.73,2.81,791,T4
Nick Suzuki #14,F,0.01,0.001,0.009,0.0,32,73,3.14,2.8,1394,T1
Trent Frederic #10,F,0.01,0.009,0.001,0.0,29,36,2.57,2.38,841,T4
Jonathan Toews #19,F,0.011,0.01,0.001,0.0,25,49,3.04,2.61,968,T3
Beckett Sennecke #45,F,0.011,0.007,0.005,0.0,47,81,3.72,2.96,1307,T1
Mark Stone #61,F,0.012,0.003,0.009,0.0,25,59,3.47,2.15,1020,T2
Tyler Bertuzzi #59,F,0.013,0.008,0.004,0.0,40,72,3.78,3.14,1144,T1
Zach Benson #6,F,0.013,0.009,0.004,0.0,25,39,2.49,2.73,939,T3
Mason McTavish #23,F,0.013,0.009,0.004,0.0,48,69,4.01,3.1,1032,T2
Marcus Johansson #90,F,0.013,0.005,0.008,0.0,32,46,2.5,2.52,1102,T2
Boone Jenner #38,F,0.014,0.009,0.0,0.005,28,50,3.37,2.72,890,T4
William Eklund #72,F,0.014,0.011,0.003,0.0,52,85,4.6,2.81,1110,T2
Nikita Kucherov #86,F,0.015,0.01,0.004,0.0,33,62,3.34,2.78,1113,T2
Matthew Wood #71,F,0.016,0.012,0.004,0.0,28,42,3.4,2.93,741,T4
Evander Kane #91,F,0.016,0.015,0.0,0.0,45,57,3.4,3.38,1007,T3
Egor Chinakhov #59,F,0.017,0.014,0.0,0.002,29,46,3.14,2.77,879,T4
Oliver Bjorkstrand #27,F,0.017,0.014,0.003,0.0,29,36,2.64,2.37,820,T4
Luke Evangelista #77,F,0.018,0.014,0.004,0.0,36,56,3.0,2.5,1118,T2
Jack Quinn #22,F,0.019,0.007,0.011,0.0,35,51,2.71,3.01,1128,T1
Ilya Mikheyev #95,F,0.019,0.015,0.004,0.0,36,68,3.72,3.1,1096,T2
Arseny Gritsyuk #81,F,0.019,0.013,0.006,0.0,27,45,3.03,2.43,891,T4
Seth Jarvis #24,F,0.019,0.009,0.002,0.008,33,68,3.71,2.6,1101,T2
Brendan Gallagher #11,F,0.019,0.012,0.004,0.003,26,34,2.47,2.86,825,T4
Taylor Hall #71,F,0.02,0.015,0.0,0.004,35,55,2.76,2.53,1197,T1
