player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Hampus Lindholm #27,D,0.102,0.085,0.015,0.002,38,66,3.64,2.65,1087,T4
Esa Lindell #23,D,0.12,0.112,0.008,0.0,33,92,3.56,2.2,1549,T1
Jonas Brodin #25,D,0.123,0.115,0.008,0.0,28,45,2.29,2.24,1179,T3
Braden Schneider #4,D,0.127,0.11,0.006,0.011,48,83,3.54,2.7,1407,T2
Adam Larsson #6,D,0.13,0.106,0.006,0.018,58,95,3.83,2.97,1487,T1
Henri Jokiharju #20,D,0.133,0.114,0.007,0.012,27,36,3.31,2.86,653,T4
Alexander Petrovic #28,D,0.134,0.125,0.008,0.0,26,34,2.54,2.74,803,T4
Nicolas Hague #41,D,0.134,0.117,0.009,0.008,41,62,3.54,2.81,1051,T4
Mario Ferraro #38,D,0.135,0.111,0.012,0.012,45,102,4.38,2.7,1398,T2
Nick Jensen #3,D,0.138,0.124,0.003,0.011,42,61,3.82,2.51,957,T4
Miro Heiskanen #41,D,0.141,0.097,0.006,0.038,34,89,3.7,2.27,1442,T2
Kaedan Korczak #6,D,0.143,0.08,0.029,0.034,35,60,2.71,2.14,1327,T2
Jake McCabe #22,D,0.144,0.138,0.003,0.002,62,96,3.96,2.75,1455,T2
Jake Sanderson #85,D,0.148,0.137,0.007,0.003,32,74,3.9,2.14,1138,T4
Erik Cernak #81,D,0.149,0.11,0.03,0.008,38,55,3.76,2.3,877,T4
Pavel Mintyukov #98,D,0.151,0.119,0.009,0.022,38,83,3.86,2.94,1292,T3
Brenden Dillon #5,D,0.152,0.132,0.015,0.005,52,87,4.14,2.59,1260,T3
Mattias Ekholm #14,D,0.154,0.137,0.009,0.007,47,93,3.65,2.64,1529,T1
Connor Murphy #5,D,0.154,0.109,0.012,0.033,39,69,3.26,2.35,1269,T3
Zeev Buium #24,D,0.156,0.143,0.01,0.002,49,72,3.48,3.08,1242,T3
Oliver Ekman-Larsson #95,D,0.158,0.131,0.012,0.016,54,86,3.78,2.88,1365,T2
Jake Walman #96,D,0.16,0.151,0.004,0.005,46,68,4.21,3.03,968,T4
Damon Severson #78,D,0.164,0.161,0.003,0.0,38,59,2.69,2.34,1318,T3
Brett Kulak #77,D,0.166,0.145,0.004,0.017,38,66,2.41,2.6,1640,T1
Seth Jones #3,D,0.166,0.136,0.012,0.019,34,55,3.83,2.66,861,T4
Ivan Provorov #9,D,0.167,0.101,0.015,0.051,48,99,3.72,2.56,1596,T1
Brayden McNabb #3,D,0.168,0.139,0.018,0.01,33,77,3.23,2.18,1432,T2
Charle-Edouard D'Astous #51,D,0.168,0.136,0.018,0.013,41,66,3.44,2.29,1153,T3
Radko Gudas #7,D,0.169,0.127,0.01,0.031,32,50,3.71,2.83,810,T4
Logan Mailloux #23,D,0.17,0.154,0.016,0.0,36,51,3.06,2.67,1001,T4
Justin Faulk #72,D,0.17,0.15,0.011,0.008,51,95,4.13,2.65,1381,T2
Jackson LaCombe #2,D,0.17,0.154,0.01,0.006,56,125,4.35,2.76,1725,T1
Simon Benoit #2,D,0.171,0.139,0.029,0.003,41,66,3.58,2.9,1107,T4
Zach Werenski #8,D,0.172,0.123,0.018,0.031,41,90,3.48,2.52,1550,T1
Shayne Gostisbehere #4,D,0.172,0.135,0.032,0.005,28,47,2.79,2.45,1011,T4
Brian Dumoulin #2,D,0.173,0.132,0.009,0.032,41,58,2.56,2.46,1359,T2
Travis Sanheim #6,D,0.173,0.149,0.023,0.0,46,104,3.8,2.41,1644,T1
Dougie Hamilton #27,D,0.173,0.12,0.008,0.045,42,73,3.36,2.55,1305,T3
Moritz Seider #53,D,0.174,0.129,0.014,0.032,47,88,3.34,2.32,1579,T1
Vince Dunn #29,D,0.174,0.12,0.025,0.029,51,76,3.2,2.94,1427,T2
Mikey Anderson #44,D,0.175,0.154,0.013,0.008,39,87,3.5,2.43,1490,T1
Tyler Myers #57,D,0.176,0.142,0.027,0.007,49,99,4.66,2.93,1274,T3
Nick Perbix #48,D,0.176,0.168,0.008,0.0,47,89,4.33,2.94,1232,T3
Ryan Lindgren #55,D,0.177,0.157,0.012,0.008,43,75,3.87,2.9,1164,T3
Ian Moore #74,D,0.177,0.169,0.007,0.001,35,46,2.95,2.54,934,T4
Charlie McAvoy #73,D,0.177,0.148,0.022,0.007,39,78,3.99,2.91,1173,T3
Drew Helleson #14,D,0.177,0.158,0.006,0.014,33,63,3.89,3.01,971,T4
Wyatt Kaiser #44,D,0.178,0.149,0.025,0.004,43,82,3.75,2.92,1313,T3
Vladislav Gavrikov #44,D,0.179,0.141,0.036,0.002,48,90,3.42,2.44,1581,T1
MacKenzie Weegar #52,D,0.181,0.159,0.019,0.003,55,110,4.38,2.88,1506,T1
Matthew Robertson #29,D,0.181,0.152,0.024,0.006,39,61,3.29,2.56,1114,T4
Samuel Girard #49,D,0.182,0.136,0.023,0.023,32,45,2.54,2.33,1063,T4
Darren Raddysh #43,D,0.182,0.127,0.025,0.03,36,61,2.98,2.49,1229,T3
Jared Spurgeon #46,D,0.182,0.171,0.011,0.0,33,65,2.72,2.43,1433,T2
Nick Seeler #24,D,0.182,0.162,0.02,0.0,35,67,3.09,2.35,1302,T3
Philip Broberg #6,D,0.185,0.138,0.022,0.024,48,83,3.34,2.49,1491,T1
Ryker Evans #41,D,0.185,0.18,0.005,0.0,32,52,2.96,2.55,1056,T4
Arber Xhekaj #72,D,0.185,0.109,0.008,0.068,25,34,2.69,2.68,758,T4
Tom Willander #5,D,0.186,0.168,0.016,0.002,45,65,3.81,3.1,1024,T4
Haydn Fleury #24,D,0.186,0.146,0.032,0.008,28,45,5.9,3.05,458,T4
Cam York #8,D,0.186,0.153,0.01,0.023,37,97,4.18,2.35,1393,T2
Matthew Schaefer #48,D,0.189,0.178,0.001,0.01,42,75,3.0,2.9,1500,T1
Jonas Siegenthaler #71,D,0.19,0.157,0.02,0.013,49,82,3.5,2.7,1406,T2
Kris Letang #58,D,0.19,0.142,0.02,0.028,46,78,3.42,2.83,1368,T2
Quinn Hughes #43,D,0.19,0.169,0.018,0.003,67,95,3.04,2.68,1876,T1
Bowen Byram #4,D,0.191,0.127,0.042,0.022,53,97,3.64,2.89,1598,T1
Will Borgen #17,D,0.191,0.156,0.027,0.008,38,70,3.63,2.57,1157,T3
Rasmus Sandin #38,D,0.191,0.154,0.028,0.009,45,64,3.26,2.62,1179,T3
Rasmus Andersson #4,D,0.192,0.15,0.024,0.017,56,104,3.41,2.67,1831,T1
Thomas Harley #55,D,0.194,0.147,0.037,0.01,39,80,3.33,2.73,1442,T2
Dylan DeMelo #2,D,0.194,0.174,0.015,0.005,48,88,3.51,2.54,1505,T1
Morgan Rielly #44,D,0.195,0.18,0.006,0.008,65,97,4.38,2.99,1329,T2
Cam Fowler #17,D,0.195,0.167,0.018,0.011,51,80,3.36,2.7,1428,T2
Sam Rinzel #6,D,0.196,0.162,0.026,0.008,28,42,3.03,3.13,833,T4
Brandon Montour #62,D,0.196,0.178,0.013,0.005,43,66,3.28,2.69,1208,T3
Cale Makar #8,D,0.197,0.127,0.038,0.033,30,66,2.63,2.55,1505,T1
Nikita Zadorov #91,D,0.198,0.198,0.001,0.0,36,75,3.23,2.94,1393,T2
Roman Josi #90,D,0.198,0.172,0.024,0.003,46,84,3.98,2.89,1267,T3
Drew Doughty #89,D,0.198,0.176,0.017,0.005,36,73,3.1,2.26,1414,T2
Filip Hronek #17,D,0.199,0.132,0.01,0.057,64,112,4.25,3.01,1582,T1
