Season,TradeID,Date,Trade,Acquiring Team,Asset Type,Asset,Position,Notes
2015-16,2016-06-29-NJD-EDM,2016-06-29,NJD / EDM,NJD,Player,Taylor Hall,LW,
2015-16,2016-06-29-NJD-EDM,2016-06-29,NJD / EDM,EDM,Player,Adam Larsson,RD,
2015-16,2016-06-29-MTL-NSH,2016-06-29,MTL / NSH,MTL,Player,Shea Weber,RD,
2015-16,2016-06-29-MTL-NSH,2016-06-29,MTL / NSH,NSH,Player,P.K. Subban,,
2015-16,2016-06-27-CGY-OTT,2016-06-27,CGY / OTT,CGY,Player,Alex Chiasson,RW,
2015-16,2016-06-27-CGY-OTT,2016-06-27,CGY / OTT,OTT,Player,Patrick Sieloff,LD,
2015-16,2016-06-25-PIT-NJD,2016-06-25,PIT / NJD,PIT,Draft Pick,2016 3rd Round,,
2015-16,2016-06-25-PIT-NJD,2016-06-25,PIT / NJD,NJD,Player,Beau Bennett,RW,
2015-16,2016-06-25-NYR-COL,2016-06-25,NYR / COL,NYR,Player,Nick Holden,LD,
2015-16,2016-06-25-NYR-COL,2016-06-25,NYR / COL,COL,Draft Pick,2017 4th Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,BUF,Player,Dmitry Kulikov,LD,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,BUF,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Draft Pick,2016 3rd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Player,Mark Pysyk,RD,
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,TOR,Player,Kerby Rychel,LW,
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,CBJ,Draft Pick,2017 5th Round,,conditional
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,CBJ,Player,Scott Harrington,LD,
2015-16,2016-06-25-TBL-UTA,2016-06-25,TBL / UTA,TBL,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-TBL-UTA,2016-06-25,TBL / UTA,UTA,Player,Anthony DeAngelo,RD,
2015-16,2016-06-25-PHI-NYI,2016-06-25,PHI / NYI,PHI,Draft Pick,2017 4th Round,,
2015-16,2016-06-25-PHI-NYI,2016-06-25,PHI / NYI,NYI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-MTL-WPG,2016-06-25,MTL / WPG,MTL,Draft Pick,2016 7th Round,,
2015-16,2016-06-25-MTL-WPG,2016-06-25,MTL / WPG,WPG,Draft Pick,2017 7th Round,,
2015-16,2016-06-25-LAK-DAL,2016-06-25,LAK / DAL,LAK,Player,Jack Campbell,G,
2015-16,2016-06-25-LAK-DAL,2016-06-25,LAK / DAL,DAL,Player,Nick Ebert,RD,
2015-16,2016-06-25-CHI-STL,2016-06-25,CHI / STL,CHI,Draft Pick,2017 5th Round,,
2015-16,2016-06-25-CHI-STL,2016-06-25,CHI / STL,STL,Draft Pick,2016 5th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,CHI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,CHI,Draft Pick,2017 6th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,NYI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-BOS-FLA,2016-06-25,BOS / FLA,BOS,Draft Pick,2017 7th Round,,
2015-16,2016-06-25-BOS-FLA,2016-06-25,BOS / FLA,FLA,Draft Pick,2016 7th Round,,
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,STL,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,STL,Draft Pick,2018 3rd Round,,conditional
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,CGY,Player,Brian Elliott,G,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,MTL,Draft Pick,2017 2nd Round,,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,MTL,Draft Pick,2018 2nd Round,,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,WSH,Player,Lars Eller,C,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,STL,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,WSH,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,WSH,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,PHI,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,PHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,WPG,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,WPG,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,NJD,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,NJD,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,OTT,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,MTL,Player,Andrew Shaw,RW,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Player,Joe Vitale,C,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,UTA,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,UTA,Player,Pavel Datsyuk,C,
2015-16,2016-06-23-COL-FLA,2016-06-23,COL / FLA,COL,Player,Rocco Grimaldi,RW,
2015-16,2016-06-23-COL-FLA,2016-06-23,COL / FLA,FLA,Player,Reto Berra,G,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,TOR,Player,Frederik Andersen,G,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,ANA,Draft Pick,2017 2nd Round,,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,ANA,Draft Pick,2016 1st Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,SJS,Draft Pick,2017 6th Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,SJS,Player,Maxim Letunov,C,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,UTA,Draft Pick,2017 3rd Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,UTA,Draft Pick,2016 4th Round,,
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,NYR,Draft Pick,2017 4th Round,,conditional
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,NYR,Draft Pick,2016 6th Round,,
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,FLA,Player,Keith Yandle,LD,
2015-16,2016-06-20-BUF-NSH,2016-06-20,BUF / NSH,BUF,Player,Jimmy Vesey,LW,
2015-16,2016-06-20-BUF-NSH,2016-06-20,BUF / NSH,NSH,Draft Pick,2016 3rd Round,,
2015-16,2016-06-16-DAL-UTA,2016-06-16,DAL / UTA,DAL,Draft Pick,2016 5th Round,,
2015-16,2016-06-16-DAL-UTA,2016-06-16,DAL / UTA,UTA,Player,Alex Goligoski,LD,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CHI,Draft Pick,2017 3rd Round,,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CAR,Player,Teuvo Teräväinen,LW,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CAR,Player,Bryan Bickell,LW,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,NJD,Draft Pick,2018 2nd Round,,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,NJD,Player,Marc Savard,C,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,FLA,Player,Graham Black,C,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,FLA,Player,Paul Thompson,RW,
2015-16,2016-05-26-DET-SJS,2016-05-26,DET / SJS,DET,Player,Dylan Sadowy,LW,
2015-16,2016-05-26-DET-SJS,2016-05-26,DET / SJS,SJS,Draft Pick,2017 3rd Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,VAN,Player,Erik Gudbranson,RD,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,VAN,Draft Pick,2016 5th Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Draft Pick,2016 2nd Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Player,Jared McCann,LW,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Draft Pick,2016 4th Round,,
2015-16,2016-03-07-VAN-CAR,2016-03-07,VAN / CAR,VAN,Other,Future Considerations,,
2015-16,2016-03-07-VAN-CAR,2016-03-07,VAN / CAR,CAR,Player,Dane Fox,LW,
2015-16,2016-03-05-BOS-STL,2016-03-05,BOS / STL,BOS,Other,Future Considerations,,
2015-16,2016-03-05-BOS-STL,2016-03-05,BOS / STL,STL,Player,Zack Phillips,C,
2015-16,2016-02-29-MTL-NJD,2016-02-29,MTL / NJD,MTL,Player,Stefan Matteau,C,
2015-16,2016-02-29-MTL-NJD,2016-02-29,MTL / NJD,NJD,Player,Devante Smith-Pelly,RW,
2015-16,2016-02-29-LAK-MIN,2016-02-29,LAK / MIN,LAK,Player,Brett Sutter,LW,
2015-16,2016-02-29-LAK-MIN,2016-02-29,LAK / MIN,MIN,Player,Scott Sabourin,RW,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,CHI,Draft Pick,2017 7th Round,,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,CHI,Player,Tim Jackman,RW,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,ANA,Player,Corey Tropp,RW,
2015-16,2016-02-29-CGY-MIN,2016-02-29,CGY / MIN,CGY,Draft Pick,2016 6th Round,,
2015-16,2016-02-29-CGY-MIN,2016-02-29,CGY / MIN,CGY,Player,Nicklas Backstrom,C,
2015-16,2016-02-29-CGY-MIN,2016-02-29,CGY / MIN,MIN,Player,David Jones,RW,
2015-16,2016-02-29-BOS-CAR,2016-02-29,BOS / CAR,BOS,Player,John-Michael Liles,LD,
2015-16,2016-02-29-BOS-CAR,2016-02-29,BOS / CAR,CAR,Draft Pick,2017 5th Round,,
2015-16,2016-02-29-BOS-CAR,2016-02-29,BOS / CAR,CAR,Player,Anthony Camara,LW,
2015-16,2016-02-29-BOS-CAR,2016-02-29,BOS / CAR,CAR,Draft Pick,2016 3rd Round,,
2015-16,2016-02-29-PIT-UTA,2016-02-29,PIT / UTA,PIT,Draft Pick,2017 7th Round,,conditional
2015-16,2016-02-29-PIT-UTA,2016-02-29,PIT / UTA,PIT,Player,Matthias Plachta,LW,
2015-16,2016-02-29-PIT-UTA,2016-02-29,PIT / UTA,UTA,Player,Sergei Plotnikov,LW,
2015-16,2016-02-29-OTT-MIN,2016-02-29,OTT / MIN,OTT,Player,Michael Keranen,LW,
2015-16,2016-02-29-OTT-MIN,2016-02-29,OTT / MIN,MIN,Player,Conor Allen,LD,
2015-16,2016-02-29-NYI-OTT,2016-02-29,NYI / OTT,NYI,Player,Shane Prince,LW,
2015-16,2016-02-29-NYI-OTT,2016-02-29,NYI / OTT,NYI,Draft Pick,2016 7th Round,,
2015-16,2016-02-29-NYI-OTT,2016-02-29,NYI / OTT,OTT,Draft Pick,2016 3rd Round,,
2015-16,2016-02-29-NYI-COL,2016-02-29,NYI / COL,NYI,Player,Marc-Andre Cliche,C,
2015-16,2016-02-29-NYI-COL,2016-02-29,NYI / COL,COL,Player,Taylor Beck,LW,
2015-16,2016-02-29-NSH-UTA,2016-02-29,NSH / UTA,NSH,Player,Corey Potter,RD,
2015-16,2016-02-29-NSH-UTA,2016-02-29,NSH / UTA,UTA,Other,Future Considerations,,
2015-16,2016-02-29-NJD-COL,2016-02-29,NJD / COL,NJD,Draft Pick,2017 3rd Round,,
2015-16,2016-02-29-NJD-COL,2016-02-29,NJD / COL,COL,Player,Eric Gelinas,LD,
2015-16,2016-02-29-EDM-ANA,2016-02-29,EDM / ANA,EDM,Player,Pat Maroon,LW,25% retained
2015-16,2016-02-29-EDM-ANA,2016-02-29,EDM / ANA,ANA,Player,Martin Gernat,LD,
2015-16,2016-02-29-EDM-ANA,2016-02-29,EDM / ANA,ANA,Draft Pick,2016 4th Round,,
2015-16,2016-02-29-DAL-CGY,2016-02-29,DAL / CGY,DAL,Player,Kris Russell,LD,
2015-16,2016-02-29-DAL-CGY,2016-02-29,DAL / CGY,CGY,Player,Brett Pollock,LW,
2015-16,2016-02-29-DAL-CGY,2016-02-29,DAL / CGY,CGY,Player,Jyrki Jokipakka,LD,
2015-16,2016-02-29-DAL-CGY,2016-02-29,DAL / CGY,CGY,Draft Pick,2016 2nd Round,,conditional
2015-16,2016-02-29-COL-UTA,2016-02-29,COL / UTA,COL,Player,Mikkel Boedker,LW,
2015-16,2016-02-29-COL-UTA,2016-02-29,COL / UTA,UTA,Player,Conner Bleackley,C,
2015-16,2016-02-29-COL-UTA,2016-02-29,COL / UTA,UTA,Player,Kyle Wood,RD,
2015-16,2016-02-29-COL-UTA,2016-02-29,COL / UTA,UTA,Player,Alex Tanguay,LW,
2015-16,2016-02-29-CHI-CAR,2016-02-29,CHI / CAR,CHI,Player,Drew MacIntyre,G,
2015-16,2016-02-29-CHI-CAR,2016-02-29,CHI / CAR,CAR,Player,Dennis Robertson,LD,
2015-16,2016-02-29-BUF-ANA,2016-02-29,BUF / ANA,BUF,Draft Pick,2016 3rd Round,,conditional
2015-16,2016-02-29-BUF-ANA,2016-02-29,BUF / ANA,ANA,Player,Jamie McGinn,LW,
2015-16,2016-02-29-BOS-NJD,2016-02-29,BOS / NJD,BOS,Player,Lee Stempniak,RW,
2015-16,2016-02-29-BOS-NJD,2016-02-29,BOS / NJD,NJD,Draft Pick,2017 2nd Round,,
2015-16,2016-02-29-BOS-NJD,2016-02-29,BOS / NJD,NJD,Draft Pick,2016 4th Round,,
2015-16,2016-02-29-ANA-FLA,2016-02-29,ANA / FLA,ANA,Player,Brandon Pirri,C,
2015-16,2016-02-29-ANA-FLA,2016-02-29,ANA / FLA,FLA,Draft Pick,2016 6th Round,,
2015-16,2016-02-28-TOR-WSH,2016-02-28,TOR / WSH,TOR,Player,Connor Carrick,RD,
2015-16,2016-02-28-TOR-WSH,2016-02-28,TOR / WSH,TOR,Draft Pick,2016 2nd Round,,
2015-16,2016-02-28-TOR-WSH,2016-02-28,TOR / WSH,TOR,Player,Brooks Laich,C,
2015-16,2016-02-28-TOR-WSH,2016-02-28,TOR / WSH,WSH,Player,Daniel Winnik,LW,
2015-16,2016-02-28-TOR-WSH,2016-02-28,TOR / WSH,WSH,Draft Pick,2016 5th Round,,
2015-16,2016-02-28-NYR-WSH,2016-02-28,NYR / WSH,NYR,Player,Chris Brown,RW,
2015-16,2016-02-28-NYR-WSH,2016-02-28,NYR / WSH,WSH,Player,Ryan Bourque,C,
2015-16,2016-02-28-NYR-CAR,2016-02-28,NYR / CAR,NYR,Player,Eric Staal,C,50% retained
2015-16,2016-02-28-NYR-CAR,2016-02-28,NYR / CAR,CAR,Player,Aleksi Saarela,C,
2015-16,2016-02-28-NYR-CAR,2016-02-28,NYR / CAR,CAR,Draft Pick,2017 2nd Round,,
2015-16,2016-02-28-NYR-CAR,2016-02-28,NYR / CAR,CAR,Draft Pick,2016 2nd Round,,
2015-16,2016-02-28-LAK-CAR,2016-02-28,LAK / CAR,LAK,Player,Kris Versteeg,RW,
2015-16,2016-02-28-LAK-CAR,2016-02-28,LAK / CAR,CAR,Player,Valentin Zykov,LW,
2015-16,2016-02-28-LAK-CAR,2016-02-28,LAK / CAR,CAR,Draft Pick,2016 5th Round,,
2015-16,2016-02-27-TOR-SJS,2016-02-27,TOR / SJS,TOR,Player,Ben Smith,RW,
2015-16,2016-02-27-TOR-SJS,2016-02-27,TOR / SJS,TOR,Player,Alex Stalock,G,
2015-16,2016-02-27-TOR-SJS,2016-02-27,TOR / SJS,TOR,Draft Pick,2018 3rd Round,,
2015-16,2016-02-27-TOR-SJS,2016-02-27,TOR / SJS,SJS,Player,Jeremy Morin,LW,
2015-16,2016-02-27-TOR-SJS,2016-02-27,TOR / SJS,SJS,Player,James Reimer,G,
2015-16,2016-02-27-DET-FLA,2016-02-27,DET / FLA,DET,Draft Pick,2017 6th Round,,
2015-16,2016-02-27-DET-FLA,2016-02-27,DET / FLA,FLA,Player,Jakub Kindl,LD,15% retained
2015-16,2016-02-27-CGY-FLA,2016-02-27,CGY / FLA,CGY,Draft Pick,2018 4th Round,,
2015-16,2016-02-27-CGY-FLA,2016-02-27,CGY / FLA,CGY,Draft Pick,2016 2nd Round,,
2015-16,2016-02-27-CGY-FLA,2016-02-27,CGY / FLA,FLA,Player,Jiri Hudler,RW,
2015-16,2016-02-27-STL-EDM,2016-02-27,STL / EDM,STL,Player,Anders Nilsson,G,
2015-16,2016-02-27-STL-EDM,2016-02-27,STL / EDM,EDM,Player,Niklas Lundstrom,G,
2015-16,2016-02-27-STL-EDM,2016-02-27,STL / EDM,EDM,Draft Pick,2016 5th Round,,
2015-16,2016-02-27-PIT-EDM,2016-02-27,PIT / EDM,PIT,Player,Justin Schultz,RD,50% retained
2015-16,2016-02-27-PIT-EDM,2016-02-27,PIT / EDM,EDM,Draft Pick,2016 3rd Round,,
2015-16,2016-02-27-EDM-FLA,2016-02-27,EDM / FLA,EDM,Draft Pick,2016 3rd Round,,
2015-16,2016-02-27-EDM-FLA,2016-02-27,EDM / FLA,FLA,Player,Teddy Purcell,LW,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,BUF,Player,Alexander Guptill,LW,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,BUF,Player,Cole Schneider,LW,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,BUF,Player,Eric O'Dell,C,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,BUF,Player,Michael Sdao,LD,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,OTT,Player,Jason Akeson,RW,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,OTT,Player,Jerome Leduc,RD,
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,OTT,Draft Pick,2016 7th Round,,conditional
2015-16,2016-02-27-BUF-OTT,2016-02-27,BUF / OTT,OTT,Player,Phil Varone,C,
2015-16,2016-02-26-MTL-CHI,2016-02-26,MTL / CHI,MTL,Player,Phillip Danault,C,
2015-16,2016-02-26-MTL-CHI,2016-02-26,MTL / CHI,MTL,Draft Pick,2018 2nd Round,,
2015-16,2016-02-26-MTL-CHI,2016-02-26,MTL / CHI,CHI,Player,Dale Weise,RW,30% retained
2015-16,2016-02-26-MTL-CHI,2016-02-26,MTL / CHI,CHI,Player,Tomas Fleischmann,LW,
2015-16,2016-02-26-CHI-LAK,2016-02-26,CHI / LAK,CHI,Player,Christian Ehrhoff,LD,15% retained
2015-16,2016-02-26-CHI-LAK,2016-02-26,CHI / LAK,LAK,Player,Rob Scuderi,LD,33.5% retained
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,CHI,Player,Andrew Ladd,LW,36% retained
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,CHI,Player,Jay Harrison,LD,
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,CHI,Player,Matt Fraser,RW,
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,WPG,Draft Pick,2018 3rd Round,,conditional
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,WPG,Player,Marko Dano,C,
2015-16,2016-02-25-CHI-WPG,2016-02-25,CHI / WPG,WPG,Draft Pick,2016 1st Round,,
2015-16,2016-02-24-VAN-EDM,2016-02-24,VAN / EDM,VAN,Player,Philip Larsen,RD,
2015-16,2016-02-24-VAN-EDM,2016-02-24,VAN / EDM,EDM,Draft Pick,2017 5th Round,,conditional
2015-16,2016-02-23-BUF-WSH,2016-02-23,BUF / WSH,BUF,Draft Pick,2017 3rd Round,,
2015-16,2016-02-23-BUF-WSH,2016-02-23,BUF / WSH,WSH,Player,Mike Weber,LD,49.999970000006% retained
2015-16,2016-02-22-VAN-CGY,2016-02-22,VAN / CGY,VAN,Player,Markus Granlund,C,
2015-16,2016-02-22-VAN-CGY,2016-02-22,VAN / CGY,CGY,Player,Hunter Shinkaruk,C,
2015-16,2016-02-22-TOR-SJS,2016-02-22,TOR / SJS,TOR,Draft Pick,2017 2nd Round,,
2015-16,2016-02-22-TOR-SJS,2016-02-22,TOR / SJS,TOR,Player,Raffi Torres,LW,
2015-16,2016-02-22-TOR-SJS,2016-02-22,TOR / SJS,TOR,Draft Pick,2018 2nd Round,,
2015-16,2016-02-22-TOR-SJS,2016-02-22,TOR / SJS,SJS,Player,Nick Spaling,C,
2015-16,2016-02-22-TOR-SJS,2016-02-22,TOR / SJS,SJS,Player,Roman Polak,RD,
2015-16,2016-02-21-TOR-COL,2016-02-21,TOR / COL,TOR,Player,Colin Smith,C,
2015-16,2016-02-21-TOR-COL,2016-02-21,TOR / COL,TOR,Draft Pick,2016 4th Round,,
2015-16,2016-02-21-TOR-COL,2016-02-21,TOR / COL,COL,Player,Shawn Matthias,LW,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,TOR,Player,Milan Michalek,LW,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,TOR,Player,Jared Cowen,LD,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,TOR,Player,Tobias Lindberg,RW,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,TOR,Player,Colin Greening,C,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,TOR,Draft Pick,2017 2nd Round,,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,OTT,Player,Dion Phaneuf,LD,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,OTT,Player,Cody Donaghey,RD,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,OTT,Player,Ryan Rupert,C,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,OTT,Player,Casey Bailey,RW,
2015-16,2016-02-09-TOR-OTT,2016-02-09,TOR / OTT,OTT,Player,Matt Frattin,RW,
2015-16,2016-01-21-CHI-ANA,2016-01-21,CHI / ANA,CHI,Player,Jiri Sekac,LW,
2015-16,2016-01-21-CHI-ANA,2016-01-21,CHI / ANA,ANA,Player,Ryan Garbutt,C,
2015-16,2016-01-16-PIT-ANA,2016-01-16,PIT / ANA,PIT,Player,Carl Hagelin,LW,
2015-16,2016-01-16-PIT-ANA,2016-01-16,PIT / ANA,ANA,Player,Adam Clendening,RD,
2015-16,2016-01-16-PIT-ANA,2016-01-16,PIT / ANA,ANA,Player,David Perron,LW,
2015-16,2016-01-15-MTL-NSH-UTA,2016-01-15,MTL / NSH / UTA,MTL,Player,John Scott,LW,
2015-16,2016-01-15-MTL-NSH-UTA,2016-01-15,MTL / NSH / UTA,MTL,Player,Victor Bartley,LD,
2015-16,2016-01-15-MTL-NSH-UTA,2016-01-15,MTL / NSH / UTA,NSH,Player,Stefan Elliott,RD,
2015-16,2016-01-15-MTL-NSH-UTA,2016-01-15,MTL / NSH / UTA,UTA,Player,Stefan Fournier,RW,
2015-16,2016-01-15-MTL-NSH-UTA,2016-01-15,MTL / NSH / UTA,UTA,Player,Jarred Tinordi,LD,
2015-16,2016-01-15-DET-STL,2016-01-15,DET / STL,DET,Other,Future Considerations,,
2015-16,2016-01-15-DET-STL,2016-01-15,DET / STL,STL,Player,Richard Nedomlel,LD,
2015-16,2016-01-14-OTT-NSH,2016-01-14,OTT / NSH,OTT,Player,Conor Allen,LD,
2015-16,2016-01-14-OTT-NSH,2016-01-14,OTT / NSH,NSH,Player,Patrick Mullen,RD,
2015-16,2016-01-08-NYR-VAN,2016-01-08,NYR / VAN,NYR,Player,Nicklas Jensen,RW,
2015-16,2016-01-08-NYR-VAN,2016-01-08,NYR / VAN,NYR,Draft Pick,2017 6th Round,,
2015-16,2016-01-08-NYR-VAN,2016-01-08,NYR / VAN,VAN,Player,Emerson Etem,RW,
2015-16,2016-01-07-MTL-ANA,2016-01-07,MTL / ANA,MTL,Player,Max Friberg,RW,
2015-16,2016-01-07-MTL-ANA,2016-01-07,MTL / ANA,ANA,Player,Dustin Tokarski,G,
2015-16,2016-01-06-NSH-CBJ,2016-01-06,NSH / CBJ,NSH,Player,Ryan Johansen,C,
2015-16,2016-01-06-NSH-CBJ,2016-01-06,NSH / CBJ,CBJ,Player,Seth Jones,RD,
2015-16,2016-01-06-LAK-PHI,2016-01-06,LAK / PHI,LAK,Player,Vincent Lecavalier,C,50% retained
2015-16,2016-01-06-LAK-PHI,2016-01-06,LAK / PHI,LAK,Player,Luke Schenn,RD,50% retained
2015-16,2016-01-06-LAK-PHI,2016-01-06,LAK / PHI,PHI,Player,Jordan Weal,C,
2015-16,2016-01-06-LAK-PHI,2016-01-06,LAK / PHI,PHI,Draft Pick,2016 3rd Round,,
2015-16,2016-01-03-TOR-CHI,2016-01-03,TOR / CHI,TOR,Player,Jeremy Morin,LW,
2015-16,2016-01-03-TOR-CHI,2016-01-03,TOR / CHI,CHI,Player,Richard Panik,RW,
2015-16,2015-12-28-MTL-EDM,2015-12-28,MTL / EDM,MTL,Player,Ben Scrivens,G,24% retained
2015-16,2015-12-28-MTL-EDM,2015-12-28,MTL / EDM,EDM,Player,Zack Kassian,RW,
2015-16,2015-12-16-MTL-UTA,2015-12-16,MTL / UTA,MTL,Player,Lucas Lessio,LW,
2015-16,2015-12-16-MTL-UTA,2015-12-16,MTL / UTA,UTA,Player,Christian Thomas,LW,
2015-16,2015-12-14-CHI-PIT,2015-12-14,CHI / PIT,CHI,Player,Rob Scuderi,LD,33% retained
2015-16,2015-12-14-CHI-PIT,2015-12-14,CHI / PIT,PIT,Player,Trevor Daley,LD,
2015-16,2015-11-12-CGY-TBL,2015-11-12,CGY / TBL,CGY,Player,Kevin Poulin,G,
2015-16,2015-11-12-CGY-TBL,2015-11-12,CGY / TBL,TBL,Other,Future Considerations,,
2015-16,2015-10-21-VAN-CBJ,2015-10-21,VAN / CBJ,VAN,Draft Pick,2017 2nd Round,,
2015-16,2015-10-21-VAN-CBJ,2015-10-21,VAN / CBJ,CBJ,Other,Future Considerations,,
