PLAYERS,POS,HAND,BIRTHPLACE,AGE,PROJ. CAP,PROJ. TERM,GP,TOI,P,P/G,CAP,QO
"Lapierre, Hendrix",C,Left,"Quebec, Gatineau",24,"$1,509,501",2 yrs,74,8:50,16,0.22,"$850,000","$892,500"
"Xhekaj, Arber","LD, RD",Left,"Ontario, Hamilton",25,"$1,482,000",1 yrs,65,11:25,4,0.06,"$1,300,000","$1,300,000"
"Koivunen, Ville","RW, LW",Left,Oulu,23,"$1,282,811",2 yrs,39,12:44,7,0.18,"$805,833","$813,750"
"Grebenkin, Nikita","LW, RW",Left,Serov,23,"$1,273,694",2 yrs,55,11:17,14,0.25,"$875,000","$826,875"
"Rosen, Isak","LW, RW",Left,Solna,23,"$1,253,200",2 yrs,37,11:30,10,0.27,"$894,167","$874,125"
"Dach, Colton","LW, C, RW",Left,"Alberta, St. Albert",23,"$1,174,583",2 yrs,61,11:29,13,0.21,"$825,000","$874,125"
"Melanson, Jacob",RW,Right,"Nova Scotia, Halifax",23,"$1,144,472",2 yrs,36,9:22,5,0.14,"$826,111","$813,750"
"Iorio, Vincent",RD,Right,"British Columbia, Coquitlam",23,"$1,095,944",2 yrs,27,15:44,3,0.11,"$814,167","$840,000"
"Sebrango, Donovan",LD,Left,"Ontario, Ottawa",24,"$1,060,800",2 yrs,42,15:06,8,0.19,"$775,000","$813,750"
"Ostapchuk, Zack",C,Left,"Alberta, St. Albert",23,"$1,054,560",2 yrs,59,10:06,7,0.12,"$825,000","$874,125"
"Merilainen, Leevi",G,Left,Oulu,23,"$1,050,000",1 yrs,20,54:43:00,0,-,"$1,050,000","$1,050,000"
"Thrun, Henry",RD,Left,"Massachusetts, Southborough",25,"$1,025,000",1 yrs,4,14:52,0,-,"$1,000,000","$1,025,000"
"Veleno, Joe","C, RW, LW",Left,"Quebec, Montréal",26,"$945,000",1 yrs,61,12:05,5,0.08,"$900,000","$945,000"
"Beecher, John","C, LW",Left,"New York, Elmira",25,"$945,000",1 yrs,35,10:26,7,0.2,"$900,000","$945,000"
"Gatcomb, Marc","RW, C",Right,"Massachusetts, Woburn",26,"$945,000",1 yrs,49,10:05,7,0.14,"$900,000","$945,000"
"Aman, Nils",C,Left,Avesta,26,"$918,750",1 yrs,2,8:40,0,-,"$825,000","$918,750"
"McDonald, Hunter",LD,Left,"New York, Fairport",24,"$897,750",1 yrs,1,15:11,1,1,"$950,000","$897,750"
"Korchinski, Kevin","LD, RD",Left,"Saskatchewan, Saskatoon",22,"$897,750",1 yrs,13,13:38,2,0.15,"$918,333","$897,750"
"Hovorka, Mikulas","RD, LD",Right,Praha,24,"$897,750",1 yrs,4,14:55,1,0.25,"$950,000","$897,750"
"Boqvist, Adam","LD, RD",Right,Falun,25,"$892,500",1 yrs,28,13:06,4,0.14,"$850,000","$892,500"
"Daws, Nico",G,Left,Munich,25,"$892,500",1 yrs,3,61:05:00,0,-,"$812,500","$892,500"
"Othmann, Brennan","LW, RW",Left,"Ontario, Pickering",23,"$874,125",1 yrs,19,10:00,3,0.16,"$863,333","$874,125"
"Lambos, Carson",LD,Left,"Manitoba, Winnipeg",23,"$874,125",1 yrs,1,10:16,0,-,"$863,333","$874,125"
"Mazur, Carter","RW, LW",Right,"Michigan, Jackson",24,"$874,125",1 yrs,8,10:42,0,-,"$905,833","$874,125"
"Commesso, Drew",G,Left,"Massachusetts, Norwell",23,"$874,125",1 yrs,3,60:34:00,0,-,"$925,000","$874,125"
"Del Mastro, Ethan","LD, RD",Left,"Ontario, Burlington",23,"$874,125",1 yrs,19,14:08,1,0.05,"$855,833","$874,125"
"Makar, Taylor","LW, RW",Left,"Alberta, Calgary",25,"$874,125",1 yrs,12,6:13,0,-,"$925,000","$874,125"
"Harris, Jordan","LD, RD",Left,"Massachusetts, Haverhill",25,"$866,250",1 yrs,8,15:54,3,0.38,"$825,000","$866,250"
"Stromgren, William","RW, LW",Left,Ornskoldsvik,23,"$866,250",1 yrs,3,7:17,0,-,"$900,833","$866,250"
"Seeley, Ronan",LD,Left,"Northwest Territories, Yellowknife",23,"$854,438",1 yrs,1,15:12,0,-,"$813,750","$854,438"
"Kaliyev, Arthur","LW, RW",Left,Tashkent,24,"$850,000",1 yrs,2,10:37,1,0.5,"$775,000","$813,750"
"Hyry, Arttu","C, RW",Right,Oulu,25,"$850,000",1 yrs,20,11:47,5,0.25,"$870,000","$813,750"
"Brisson, Brendan","RW, LW, C",Left,"California, Los Angeles",24,"$850,000",1 yrs,3,10:35,1,0.33,"$775,000","$813,750"
"Berard, Brett","RW, LW",Left,"Rhode Island, Providence",23,"$850,000",1 yrs,13,10:33,0,-,"$867,500","$813,750"
"Lindbom, Carl",G,Left,Stockholm,23,"$850,000",1 yrs,8,60:05:00,0,-,"$840,000","$813,750"
"Primeau, Cayden",G,Left,"Michigan, Farmington Hills",26,"$850,000",1 yrs,3,60:29:00,0,-,"$775,000","$813,750"
"Hunt, Daemon","LD, RD",Left,"Manitoba, Brandon",24,"$850,000",1 yrs,32,12:26,6,0.19,"$775,000","$813,750"
"Spacek, David",RD,Right,"Ohio, Columbus",23,"$850,000",1 yrs,2,10:45,0,-,"$862,500","$813,750"
"Fensore, Domenick","RD, LD",Left,"New York, Bronxville",24,"$850,000",1 yrs,1,19:22,0,-,"$775,000","$813,750"
"Zamula, Egor","LD, RD",Left,Chelyabinsk,26,"$850,000",1 yrs,33,13:04,3,0.09,"$1,000,000","$1,000,000"
"Cardwell, Ethan","RW, LW",Right,"Ontario, Oshawa",23,"$850,000",1 yrs,7,11:56,1,0.14,"$867,500","$813,750"
"Ivan, Ivan","LW, C",Left,Ostrava,23,"$850,000",1 yrs,9,7:27,1,0.11,"$845,000","$813,750"
"Quillan, Jacob",C,Left,"Nova Scotia, Dartmouth",24,"$850,000",1 yrs,23,10:16,3,0.13,"$875,000","$826,875"
"Davidson, Jared","LW, C",Left,"Alberta, Edmonton",23,"$850,000",1 yrs,10,8:43,1,0.1,"$862,500","$813,750"
"Roy, Joshua","LW, RW",Left,"Quebec, Saint-Georges-De-Beauce",22,"$850,000",1 yrs,3,9:47,0,-,"$835,000","$813,750"
"Robidas, Justin",C,Right,"Texas, Plano",23,"$850,000",1 yrs,2,10:41,1,0.5,"$825,000","$813,750"
"Sogaard, Mads",G,Left,Aalborg,25,"$850,000",1 yrs,2,38:42:00,0,-,"$775,000","$813,750"
"Kessel, Matthew","RD, LD",Right,"Arizona, Phoenix",25,"$850,000",1 yrs,29,12:32,3,0.1,"$800,000","$840,000"
"Poitras, Matthew",C,Right,"Ontario, Ajax",22,"$850,000",1 yrs,3,12:07,1,0.33,"$870,000","$813,750"
"Pyyhtia, Mikael","RW, LW",Left,Turku,24,"$850,000",1 yrs,5,10:16,1,0.2,"$775,000","$813,750"
"Tomasino, Philip",RW,Right,"Ontario, Mississauga",24,"$850,000",1 yrs,9,12:10,1,0.11,"$1,750,000","$1,750,000"
"Joseph, Pierre-Olivier","LD, RD",Left,"Quebec, Laval",26,"$850,000",1 yrs,31,13:18,6,0.19,"$775,000","$813,750"
"Jarventie, Roby","RW, LW",Left,Tampere,23,"$850,000",1 yrs,3,8:00,0,-,"$775,000","$813,750"
"Kerins, Rory","C, LW, RW",Left,"Ontario, Caledon",24,"$850,000",1 yrs,4,15:00,0,-,"$775,000","$813,750"
"Tverberg, Ryan","RW, C",Right,"Ontario, Richmond Hill",24,"$850,000",1 yrs,2,9:52,0,-,"$851,667","$813,750"
"Morton, Sam",C,Left,"Colorado, Lafayette",26,"$850,000",1 yrs,3,9:20,0,-,"$775,000","$813,750"
"Brind'Amour, Skyler",C,Left,"North Carolina, Raleigh",26,"$850,000",1 yrs,4,15:01,0,-,"$775,000","$813,750"
"Bjornfot, Tobias",LD,Left,Upplands Vasby,25,"$850,000",1 yrs,19,14:11,4,0.21,"$775,000","$813,750"
"Vilen, Topias",LD,Left,Lahti,23,"$850,000",1 yrs,2,15:28,0,-,"$836,667","$813,750"
"Hinds, Tyson",LD,Left,"Quebec, Gatineau",23,"$850,000",1 yrs,6,15:37,0,-,"$829,444","$813,750"
"Ostman, Victor",G,Left,Danderyd,25,"$850,000",1 yrs,1,57:10:00,0,-,"$870,000","$813,750"
"Kolyachonok, Vladislav","LD, RD",Left,Minsk,25,"$850,000",1 yrs,13,12:32,3,0.23,"$775,000","$813,750"
