PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Parayko, Colton",STL,RD,33,"$6,500,000","$6,350,000","$6,500,000",8 yrs,UFA,28,UFA,2022,2030,No,Doug Armstrong,"$6,350,000",$0,$0,Std (Ext)
"Orlov, Dmitry",SJS,LD,34,"$6,500,000","$5,600,000","$6,500,000",2 yrs,UFA,33,UFA,2025,2027,No,Mike Grier,"$4,100,000","$1,500,000",$0,Std
"Lindholm, Hampus",BOS,LD,32,"$6,500,000","$6,350,000","$6,500,000",8 yrs,UFA,28,UFA,2022,2030,No,Don Sweeney,"$4,350,000","$2,000,000",$0,Std (Ext)
"Faulk, Justin",DET,RD,34,"$6,500,000","$4,500,000","$6,500,000",7 yrs,UFA,27,UFA,2020,2027,No,Doug Armstrong,"$4,500,000",$0,$0,Std (Ext)
"Dostal, Lukas",ANA,G,25,"$6,500,000","$6,500,000","$6,500,000",5 yrs,RFA (Arb),25,UFA,2025,2030,No,Pat Verbeek,"$6,500,000",$0,$0,Std (Ext)
"Coronato, Matt",CGY,RW,23,"$6,500,000","$6,500,000","$6,500,000",7 yrs,RFA,22,UFA,2025,2032,No,Craig Conroy,"$6,500,000",$0,$0,Std (Ext)
"Wilson, Tom",WSH,RW,32,"$6,500,000","$5,625,000","$6,500,000",7 yrs,UFA,29,UFA,2024,2031,No,Brian MacLellan,"$3,625,000","$2,000,000",$0,Std (Ext)
"Krug, Torey",STL,LD,35,"$6,500,000","$6,000,000","$6,500,000",7 yrs,UFA,29,UFA,2020,2027,No,Doug Armstrong,"$6,000,000",$0,$0,Std
"Gibson, John",DET,G,32,"$6,400,000","$6,400,000","$6,400,000",8 yrs,RFA (Arb),25,UFA,2019,2027,No,Bob Murray,"$6,400,000",$0,$0,Std (Ext)
"Slavin, Jaccob",CAR,LD,32,"$6,395,955","$6,000,000","$6,461,250",8 yrs,UFA,30,UFA,2025,2033,No,Eric Tulsky,"$1,000,000","$5,000,000",$0,Std (Ext)
"Hill, Adin",VGK,G,30,"$6,250,000","$8,000,000","$6,250,000",6 yrs,UFA,28,UFA,2025,2031,No,Kelly McCrimmon,"$1,000,000","$7,000,000",$0,Std (Ext)
"Killorn, Alex",ANA,"LW, RW",36,"$6,250,000","$6,250,000","$6,250,000",4 yrs,UFA,33,UFA,2023,2027,No,Pat Verbeek,"$6,250,000",$0,$0,Std
"Romanov, Alexander",NYI,LD,26,"$6,250,000","$6,250,000","$6,250,000",8 yrs,RFA (Arb),25,UFA,2025,2033,No,Mathieu Darche,"$6,250,000",$0,$0,Std (Ext)
"Cirelli, Anthony",TBL,C,28,"$6,250,000","$6,125,000","$6,250,000",8 yrs,RFA (Arb),24,UFA,2023,2031,No,Julien BriseBois,"$6,125,000",$0,$0,Std (Ext)
"Byram, Bowen",BUF,"LD, RD",25,"$6,250,000","$6,250,000","$6,250,000",2 yrs,RFA (Arb),24,UFA,2025,2027,No,Kevyn Adams,"$6,250,000",$0,$0,Std (Ext)
"Stephenson, Chandler",SEA,C,32,"$6,250,000","$6,250,000","$6,250,000",7 yrs,UFA,30,UFA,2024,2031,No,Ron Francis,"$4,250,000","$2,000,000",$0,Std
"Severson, Damon",CBJ,RD,31,"$6,250,000","$6,100,000","$6,250,000",8 yrs,UFA,28,UFA,2023,2031,No,Tom Fitzgerald,"$4,100,000","$2,000,000",$0,Std (Ext)
"Morrissey, Josh",WPG,LD,31,"$6,250,000","$4,800,000","$6,250,000",8 yrs,RFA (Arb),24,UFA,2020,2028,No,Kevin Cheveldayoff,"$4,800,000",$0,$0,Std (Ext)
"Weegar, MacKenzie",UTA,RD,32,"$6,250,000","$6,250,000","$6,250,000",8 yrs,UFA,28,UFA,2023,2031,No,Brad Treliving,"$4,250,000","$2,000,000",$0,Std (Ext)
"Byfield, Quinton",LAK,"C, RW",23,"$6,250,000","$5,500,000","$6,250,000",5 yrs,RFA,21,UFA,2024,2029,No,Rob Blake,"$4,000,000","$1,500,000",$0,Std (2-way)
"Ellis, Ryan",CHI,RD,35,"$6,250,000","$4,500,000","$6,250,000",8 yrs,UFA,27,UFA,2019,2027,No,David Poile,"$4,500,000",$0,$0,Std (Ext)
"Sanheim, Travis",PHI,"LD, RD",30,"$6,250,000","$6,125,000","$6,250,000",8 yrs,UFA,26,UFA,2023,2031,No,Chuck Fletcher,"$6,125,000",$0,$0,Std (Ext)
"Tippett, Owen",PHI,"RW, LW",27,"$6,200,000","$4,500,000","$6,200,000",8 yrs,RFA (Arb),24,UFA,2024,2032,No,Daniel Brière,"$4,500,000",$0,$0,Std (2-way)
"Pulock, Ryan",NYI,RD,31,"$6,150,000","$6,150,000","$6,150,000",8 yrs,UFA,27,UFA,2022,2030,No,Lou Lamoriello,"$6,150,000",$0,$0,Std
"Nichushkin, Valeri",COL,"RW, LW",31,"$6,125,000","$5,800,000","$6,125,000",8 yrs,UFA,27,UFA,2022,2030,No,Chris MacFarland,"$4,800,000","$1,000,000",$0,Std (Ext)
"Ekblad, Aaron",FLA,RD,30,"$6,100,000","$7,900,000","$6,100,000",8 yrs,UFA,29,UFA,2025,2033,No,Bill Zito,"$1,000,000","$6,900,000",$0,Std (Ext)
"Fowler, Cam",STL,LD,34,"$6,100,000","$6,100,000","$6,100,000",3 yrs,UFA,33,UFA,2026,2029,No,Doug Armstrong,"$6,100,000",$0,$0,Std (Ext)
"Letang, Kris",PIT,RD,39,"$6,100,000","$4,800,000","$6,100,000",6 yrs,UFA,35,UFA,2022,2028,No,Ron Hextall,"$1,000,000","$3,800,000",$0,Std (Ext)
"Wennberg, Alexander",SJS,C,31,"$6,000,000","$7,000,000","$6,000,000",3 yrs,UFA,31,UFA,2026,2029,No,Mike Grier,"$5,000,000","$2,000,000",$0,Std (Ext)
"Coyle, Charlie",CBJ,C,34,"$6,000,000","$6,000,000","$6,000,000",6 yrs,UFA,34,UFA,2026,2032,No,Don Waddell,"$6,000,000",$0,$0,Std (Ext)
"Garland, Conor",CBJ,RW,30,"$6,000,000","$8,000,000","$6,000,000",6 yrs,UFA,29,UFA,2026,2032,No,Patrik Allvin,"$8,000,000",$0,$0,Std (Ext)
"Markstrom, Jacob",NJD,G,36,"$6,000,000","$6,000,000","$6,000,000",2 yrs,UFA,35,UFA,2026,2028,No,Tom Fitzgerald,"$4,500,000","$1,500,000",$0,Std (Ext)
"Brodin, Jonas",MIN,LD,32,"$6,000,000","$5,500,000","$6,000,000",7 yrs,UFA,27,UFA,2021,2028,No,Bill Guerin,"$5,500,000",$0,$0,Std (Ext)
"Binnington, Jordan",STL,G,32,"$6,000,000","$4,500,000","$6,000,000",6 yrs,UFA,27,UFA,2021,2027,No,Doug Armstrong,"$4,500,000",$0,$0,Std (Ext)
"Stankoven, Logan",CAR,C,23,"$6,000,000","$6,000,000","$6,000,000",8 yrs,RFA,22,UFA,2026,2034,No,Eric Tulsky,"$3,500,000","$2,500,000",$0,Std (Ext)
"Fehervary, Martin",WSH,LD,26,"$6,000,000","$7,500,000","$6,000,000",7 yrs,RFA (Arb),25,UFA,2026,2033,No,Brian MacLellan,"$5,500,000","$2,000,000",$0,Std (Ext)
"Matheson, Mike",MTL,LD,32,"$6,000,000","$7,500,000","$6,000,000",5 yrs,UFA,31,UFA,2026,2031,No,Kent Hughes,"$2,500,000","$5,000,000",$0,Std (Ext)
"Palat, Ondrej",NYI,LW,35,"$6,000,000","$4,950,000","$6,000,000",5 yrs,UFA,31,UFA,2022,2027,No,Tom Fitzgerald,"$4,950,000",$0,$0,Std
"Durzi, Sean",UTA,RD,27,"$6,000,000","$4,800,000","$6,000,000",4 yrs,RFA (Arb),25,UFA,2024,2028,No,Bill Armstrong,"$4,800,000",$0,$0,Std (Ext)
"Toffoli, Tyler",SJS,"RW, LW, C",34,"$6,000,000","$6,000,000","$6,000,000",4 yrs,UFA,32,UFA,2024,2028,No,Mike Grier,"$5,000,000","$1,000,000",$0,Std
"Grubauer, Philipp",SEA,G,34,"$5,900,000","$4,500,000","$5,900,000",6 yrs,UFA,29,UFA,2021,2027,No,Ron Francis,"$4,500,000",$0,$0,Std
"Karlsson, William",VGK,C,33,"$5,900,000","$5,600,000","$5,900,000",8 yrs,RFA (Arb),26,UFA,2019,2027,No,George McPhee,"$5,600,000",$0,$0,Std (Ext)
"Thompson, Logan",WSH,G,29,"$5,850,000","$6,850,000","$5,850,000",6 yrs,UFA,27,UFA,2025,2031,No,Brian MacLellan,"$4,850,000","$2,000,000",$0,Std (Ext)
"Knight, Spencer",CHI,G,25,"$5,833,333","$7,250,000","$5,833,333",3 yrs,RFA (Arb),24,UFA,2026,2029,No,Kyle Davidson,"$7,250,000",$0,$0,Std (Ext)
"Pelech, Adam",NYI,LD,31,"$5,750,000","$5,750,000","$5,750,000",8 yrs,RFA (Arb),26,UFA,2021,2029,No,Lou Lamoriello,"$5,750,000",$0,$0,Std
"Mittelstadt, Casey",BOS,"LW, C",27,"$5,750,000","$5,500,000","$5,750,000",3 yrs,RFA (Arb),25,UFA,2024,2027,No,Chris MacFarland,"$4,500,000","$1,000,000",$0,Std (Ext)
"Samberg, Dylan",WPG,LD,27,"$5,750,000","$6,500,000","$5,750,000",3 yrs,RFA (Arb),26,UFA,2025,2028,No,Kevin Cheveldayoff,"$6,500,000",$0,$0,Std (Ext)
"Forsling, Gustav",FLA,LD,30,"$5,750,000","$6,525,000","$5,750,000",8 yrs,UFA,27,UFA,2024,2032,No,Bill Zito,"$1,000,000","$5,525,000",$0,Std (Ext)
"Sherwood, Kiefer",SJS,"RW, LW",31,"$5,750,000","$7,000,000","$5,750,000",5 yrs,UFA,30,UFA,2026,2031,No,Mike Grier,"$4,500,000","$2,500,000",$0,Std (Ext)
"Roy, Matt",WSH,RD,31,"$5,750,000","$6,000,000","$5,750,000",6 yrs,UFA,29,UFA,2024,2030,No,Brian MacLellan,"$4,000,000","$2,000,000",$0,Std
"Sharangovich, Yegor",CGY,"LW, RW, C",28,"$5,750,000","$5,750,000","$5,750,000",5 yrs,UFA,26,UFA,2025,2030,No,Craig Conroy,"$4,750,000","$1,000,000",$0,Std (Ext)
"Copp, Andrew",DET,"C, LW",31,"$5,625,000","$4,375,000","$5,625,000",5 yrs,UFA,28,UFA,2022,2027,No,Steve Yzerman,"$4,375,000",$0,$0,Std
"Trocheck, Vincent",NYR,C,32,"$5,625,000","$6,000,000","$5,625,000",7 yrs,UFA,29,UFA,2022,2029,No,Chris Drury,"$3,000,000","$3,000,000",$0,Std
"Eklund, William",SJS,LW,23,"$5,600,000","$5,400,000","$5,600,000",3 yrs,RFA,22,RFA,2026,2029,No,Mike Grier,"$4,400,000","$1,000,000",$0,Std (Ext)
"Guhle, Kaiden",MTL,"LD, RD",24,"$5,550,000","$5,250,000","$5,550,000",6 yrs,RFA,22,UFA,2025,2031,No,Kent Hughes,"$5,250,000",$0,$0,Std
"Burakovsky, Andre",CHI,"RW, LW",31,"$5,500,000","$3,750,000","$5,500,000",5 yrs,UFA,27,UFA,2022,2027,No,Ron Francis,"$3,750,000",$0,$0,Std
"Pesce, Brett",NJD,"RD, LD",31,"$5,500,000","$6,000,000","$5,500,000",6 yrs,UFA,29,UFA,2024,2030,No,Tom Fitzgerald,"$4,000,000","$2,000,000",$0,Std
"Malkin, Evgeni",PIT,"RW, C",39,"$5,500,000","$5,500,000","$9,000,000",1 yrs,UFA,39,UFA,2026,2027,No,Kyle Dubas,"$2,500,000","$3,000,000","$3,500,000",Std (Ext)
"DeBrusk, Jake",VAN,"LW, RW",29,"$5,500,000","$4,500,000","$5,500,000",7 yrs,UFA,27,UFA,2024,2031,No,Patrik Allvin,"$4,500,000",$0,$0,Std
"Marchessault, Jonathan",NSH,"RW, C",35,"$5,500,000","$3,250,000","$5,500,000",5 yrs,UFA,33,UFA,2024,2029,No,Barry Trotz,"$2,250,000","$1,000,000",$0,Std
