PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Kotkaniemi, Jesperi",CAR,"C, RW, LW",25,"$4,820,000","$4,820,000","$4,820,000",8 yrs,RFA (Arb),21,UFA,2022,2030,No,Don Waddell,"$4,820,000",$0,$0,Std (Ext)
"Zucker, Jason",BUF,LW,34,"$4,750,000","$4,750,000","$4,750,000",2 yrs,UFA,33,UFA,2025,2027,No,Kevyn Adams,"$4,750,000",$0,$0,Std (Ext)
"Vejmelka, Karel",UTA,G,30,"$4,750,000","$5,750,000","$4,750,000",5 yrs,UFA,28,UFA,2025,2030,No,Bill Armstrong,"$5,750,000",$0,$0,Std (Ext)
"Palmieri, Kyle",NYI,"RW, C",35,"$4,750,000","$4,750,000","$4,750,000",2 yrs,UFA,34,UFA,2025,2027,No,Mathieu Darche,"$4,750,000",$0,$0,Std (Ext)
"Zacha, Pavel",BOS,C,29,"$4,750,000","$3,750,000","$4,750,000",4 yrs,UFA,25,UFA,2023,2027,No,Don Sweeney,"$3,750,000",$0,$0,Std (Ext)
"Malinski, Sam",COL,"RD, LD",27,"$4,750,000","$5,500,000","$4,750,000",4 yrs,UFA,27,UFA,2026,2030,No,Chris MacFarland,"$5,500,000",$0,$0,Std (Ext)
"Luukkonen, Ukko-Pekka",BUF,G,27,"$4,750,000","$4,750,000","$4,750,000",5 yrs,RFA (Arb),25,UFA,2024,2029,No,Kevyn Adams,"$4,750,000",$0,$0,Std (2-way)
"Vlasic, Alex",CHI,LD,25,"$4,600,000","$4,300,000","$4,600,000",6 yrs,RFA (Arb),22,UFA,2024,2030,No,Kyle Davidson,"$4,300,000",$0,$0,Std (Ext)
"Zub, Artem",OTT,RD,30,"$4,600,000","$4,800,000","$4,600,000",4 yrs,UFA,27,UFA,2023,2027,No,Pierre Dorion,"$4,800,000",$0,$0,Std (Ext)
"Sandin, Rasmus",WSH,"LD, RD",26,"$4,600,000","$4,500,000","$4,600,000",5 yrs,RFA (Arb),23,UFA,2024,2029,No,Brian MacLellan,"$3,500,000","$1,000,000",$0,Std (Ext)
"Vatrano, Frank",ANA,"LW, RW",32,"$4,571,189","$3,000,000","$6,000,000",3 yrs,UFA,30,UFA,2025,2028,No,Pat Verbeek,"$3,000,000",$0,$0,Std (Ext)
"Kakko, Kaapo",SEA,"RW, LW",25,"$4,525,000","$4,525,000","$4,525,000",3 yrs,RFA (Arb),24,UFA,2025,2028,No,Jason Botterill,"$4,525,000",$0,$0,Std (Ext)
"Lehkonen, Artturi",COL,LW,30,"$4,500,000","$4,000,000","$4,500,000",5 yrs,RFA (Arb),27,UFA,2022,2027,No,Chris MacFarland,"$3,000,000","$1,000,000",$0,Std
"Tanev, Chris",TOR,RD,36,"$4,500,000","$4,600,000","$4,500,000",6 yrs,UFA,34,UFA,2024,2030,No,Brad Treliving,"$1,000,000","$3,600,000",$0,Std
"Ceci, Cody",LAK,RD,32,"$4,500,000","$4,500,000","$4,500,000",4 yrs,UFA,31,UFA,2025,2029,No,Ken Holland,"$2,000,000","$2,500,000",$0,Std
"Lankinen, Kevin",VAN,G,31,"$4,500,000","$4,000,000","$4,500,000",5 yrs,UFA,29,UFA,2025,2030,No,Patrik Allvin,"$4,000,000",$0,$0,Std (Ext)
"Duchene, Matt",DAL,"C, LW",35,"$4,500,000","$4,800,000","$4,500,000",4 yrs,UFA,34,UFA,2025,2029,No,Jim Nill,"$1,800,000","$3,000,000",$0,Std (Ext)
"Graves, Ryan",PIT,LD,31,"$4,500,000","$3,750,000","$4,500,000",6 yrs,UFA,28,UFA,2023,2029,No,Kyle Dubas,"$1,750,000","$2,000,000",$0,Std
"Lindgren, Ryan",SEA,LD,28,"$4,500,000","$4,500,000","$4,500,000",4 yrs,UFA,27,UFA,2025,2029,No,Jason Botterill,"$4,500,000",$0,$0,Std
"O'Reilly, Ryan",NSH,C,35,"$4,500,000","$4,000,000","$4,500,000",4 yrs,UFA,32,UFA,2023,2027,No,Barry Trotz,"$4,000,000",$0,$0,Std
"McCabe, Jake",TOR,"LD, RD",32,"$4,491,898","$2,500,000","$4,700,000",5 yrs,UFA,31,UFA,2025,2030,No,Brad Treliving,"$1,000,000","$1,500,000",$0,Std (Ext)
"Chytil, Filip",VAN,"C, LW",26,"$4,437,500","$3,750,000","$4,437,500",4 yrs,RFA (Arb),23,UFA,2023,2027,No,Chris Drury,"$3,750,000",$0,$0,Std (Ext)
"Marino, John",UTA,RD,29,"$4,400,000","$4,450,000","$4,400,000",6 yrs,RFA (Arb),23,UFA,2021,2027,No,Jim Rutherford,"$4,450,000",$0,$0,Std (Ext)
"Tavares, John",TOR,C,35,"$4,380,000","$5,000,000","$4,380,000",4 yrs,UFA,34,UFA,2025,2029,No,Brad Treliving,"$1,000,000","$4,000,000",$0,Std (Ext)
"Frost, Morgan",CGY,C,27,"$4,375,000","$4,375,000","$4,375,000",2 yrs,RFA (Arb),26,UFA,2025,2027,No,Craig Conroy,"$4,375,000",$0,$0,Std (Ext)
"Middleton, Jake",MIN,LD,30,"$4,350,000","$3,450,000","$4,350,000",4 yrs,UFA,28,UFA,2025,2029,No,Bill Guerin,"$3,450,000",$0,$0,Std (Ext)
"Crouse, Lawson",UTA,"RW, LW",28,"$4,300,000","$3,900,000","$4,300,000",5 yrs,RFA (Arb),25,UFA,2022,2027,No,Bill Armstrong,"$3,900,000",$0,$0,Std
"Samuelsson, Mattias",BUF,"LD, RD",26,"$4,285,714","$4,285,714","$4,285,714",7 yrs,RFA,22,UFA,2023,2030,No,Kevyn Adams,"$4,285,714",$0,$0,Std (Ext)
"Zetterlund, Fabian",OTT,"RW, LW",26,"$4,275,000","$4,300,000","$4,275,000",3 yrs,RFA (Arb),25,UFA,2025,2028,No,Steve Staios,"$4,300,000",$0,$0,Std (Ext)
"McBain, Jack",UTA,"C, LW",26,"$4,250,000","$4,750,000","$4,250,000",5 yrs,RFA (Arb),25,UFA,2025,2030,No,Bill Armstrong,"$4,750,000",$0,$0,Std (Ext)
"Moore, Trevor",LAK,"LW, RW",31,"$4,200,000","$4,000,000","$4,200,000",5 yrs,UFA,27,UFA,2023,2028,No,Rob Blake,"$4,000,000",$0,$0,Std (Ext)
"Voronkov, Dmitri",CBJ,LW,25,"$4,175,000","$4,350,000","$4,175,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Don Waddell,"$4,350,000",$0,$0,Std (Ext)
"Fabbro, Dante",CBJ,"RD, LD",27,"$4,125,000","$4,125,000","$4,125,000",4 yrs,UFA,27,UFA,2025,2029,No,Don Waddell,"$4,125,000",$0,$0,Std (Ext)
"Anderson, Mikey",LAK,LD,27,"$4,125,000","$4,200,000","$4,125,000",8 yrs,RFA (Arb),23,UFA,2023,2031,No,Rob Blake,"$4,200,000",$0,$0,Std (Ext)
"Suter, Pius",STL,"C, LW",30,"$4,125,000","$4,000,000","$4,125,000",2 yrs,UFA,29,UFA,2025,2027,No,Doug Armstrong,"$4,000,000",$0,$0,Std
"Laferriere, Alex",LAK,"RW, C, LW",24,"$4,100,000","$4,400,000","$4,100,000",3 yrs,RFA,23,RFA (Arb),2025,2028,No,Ken Holland,"$4,400,000",$0,$0,Std (Ext)
"Carlo, Brandon",TOR,RD,29,"$4,100,000","$3,250,000","$4,100,000",6 yrs,RFA (Arb),24,UFA,2021,2027,No,Don Sweeney,"$3,250,000",$0,$0,Std (Ext)
"McDonagh, Ryan",TBL,LD,37,"$4,100,000","$4,100,000","$4,100,000",3 yrs,UFA,36,UFA,2026,2029,No,Julien BriseBois,"$1,000,000","$3,100,000",$0,Std (Ext)
"Borgen, Will",NYR,RD,29,"$4,100,000","$4,000,000","$4,100,000",5 yrs,UFA,28,UFA,2025,2030,No,Chris Drury,"$3,000,000","$1,000,000",$0,Std (Ext)
"Dillon, Brenden",NJD,LD,35,"$4,000,000","$3,000,000","$4,000,000",3 yrs,UFA,33,UFA,2024,2027,No,Tom Fitzgerald,"$2,000,000","$1,000,000",$0,Std
"Dumoulin, Brian",LAK,LD,34,"$4,000,000","$4,000,000","$4,000,000",3 yrs,UFA,33,UFA,2025,2028,No,Ken Holland,"$1,500,000","$2,500,000",$0,Std
"Mercer, Dawson",NJD,"RW, C",24,"$4,000,000","$4,250,000","$4,000,000",3 yrs,RFA,22,RFA (Arb),2024,2027,No,Tom Fitzgerald,"$4,250,000",$0,$0,Std (2-way)
"Kovacevic, Johnathan",NJD,RD,28,"$4,000,000","$4,750,000","$4,000,000",5 yrs,UFA,27,UFA,2025,2030,No,Tom Fitzgerald,"$1,750,000","$3,000,000",$0,Std (Ext)
"Drouin, Jonathan",STL,"LW, RW",31,"$4,000,000","$4,000,000","$4,000,000",2 yrs,UFA,30,UFA,2025,2027,No,Mathieu Darche,"$4,000,000",$0,$0,Std
"Korpisalo, Joonas",BOS,G,32,"$4,000,000","$3,500,000","$4,000,000",5 yrs,UFA,29,UFA,2023,2028,No,Pierre Dorion,"$3,500,000",$0,$0,Std
"Greenway, Jordan",BUF,LW,29,"$4,000,000","$4,000,000","$4,000,000",2 yrs,UFA,28,UFA,2025,2027,No,Kevyn Adams,"$4,000,000",$0,$0,Std (Ext)
"Foligno, Marcus",MIN,"LW, RW",34,"$4,000,000","$3,500,000","$4,000,000",4 yrs,UFA,32,UFA,2024,2028,No,Bill Guerin,"$3,500,000",$0,$0,Std (Ext)
"Ekholm, Mattias",EDM,LD,36,"$4,000,000","$4,000,000","$4,000,000",3 yrs,UFA,35,UFA,2026,2029,No,Stan Bowman,"$2,000,000","$2,000,000",$0,Std (Ext)
"Niederreiter, Nino",WPG,"LW, RW",33,"$4,000,000","$3,500,000","$4,000,000",3 yrs,UFA,31,UFA,2024,2027,No,Kevin Cheveldayoff,"$3,500,000",$0,$0,Std (Ext)
"Cates, Noah",PHI,"C, LW",27,"$4,000,000","$4,000,000","$4,000,000",4 yrs,RFA (Arb),26,UFA,2025,2029,No,Daniel Brière,"$3,000,000","$1,000,000",$0,Std (Ext)
"Colton, Ross",NSH,"LW, RW, C",29,"$4,000,000","$3,900,000","$4,000,000",4 yrs,RFA (Arb),26,UFA,2023,2027,No,Chris MacFarland,"$3,900,000",$0,$0,Std
"Donato, Ryan",CHI,"LW, C, RW",30,"$4,000,000","$4,250,000","$4,000,000",4 yrs,UFA,29,UFA,2025,2029,No,Kyle Davidson,"$4,250,000",$0,$0,Std (Ext)
"Hartman, Ryan",MIN,"C, RW",31,"$4,000,000","$3,000,000","$4,000,000",3 yrs,UFA,29,UFA,2024,2027,No,Bill Guerin,"$3,000,000",$0,$0,Std (Ext)
"Manson, Josh",COL,"LD, RD",34,"$3,950,000","$3,950,000","$3,950,000",2 yrs,UFA,33,UFA,2026,2028,No,Chris MacFarland,"$3,950,000",$0,$0,Std (Ext)
"Cuylle, Will",NYR,"LW, RW",24,"$3,900,000","$4,680,000","$3,900,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Chris Drury,"$4,680,000",$0,$0,Std (Ext)
"Chiarot, Ben",DET,LD,35,"$3,850,000","$3,850,000","$3,850,000",3 yrs,UFA,34,UFA,2026,2029,No,Steve Yzerman,"$3,850,000",$0,$0,Std (Ext)
"Edmundson, Joel",LAK,LD,32,"$3,850,000","$3,500,000","$3,850,000",4 yrs,UFA,31,UFA,2024,2028,No,Rob Blake,"$2,000,000","$1,500,000",$0,Std
"Marchenko, Kirill",CBJ,RW,25,"$3,850,000","$3,975,000","$3,850,000",3 yrs,RFA (Arb),24,RFA (Arb),2024,2027,No,Don Waddell,"$3,975,000",$0,$0,Std
"Frederic, Trent",EDM,"RW, LW, C",28,"$3,850,000","$4,050,000","$3,850,000",8 yrs,UFA,27,UFA,2025,2033,No,Stan Bowman,"$2,550,000","$1,500,000",$0,Std (Ext)
"Zary, Connor",CGY,"LW, C, RW",24,"$3,775,000","$3,775,000","$3,775,000",3 yrs,RFA,23,RFA (Arb),2025,2028,No,Craig Conroy,"$3,775,000",$0,$0,Std (Ext)
"Carrier, Alexandre",MTL,RD,29,"$3,750,000","$2,800,000","$3,750,000",3 yrs,UFA,27,UFA,2024,2027,No,Barry Trotz,"$2,800,000",$0,$0,Std
"Stolarz, Anthony",TOR,G,32,"$3,750,000","$5,075,000","$3,750,000",4 yrs,UFA,31,UFA,2026,2030,No,Brad Treliving,"$850,000","$4,225,000",$0,Std (Ext)
"Neighbours, Jake",STL,LW,24,"$3,750,000","$4,000,000","$3,750,000",2 yrs,RFA,22,RFA (Arb),2025,2027,No,Doug Armstrong,"$4,000,000",$0,$0,Std (Ext)
"Domi, Max",TOR,"C, RW",31,"$3,750,000","$3,000,000","$3,750,000",4 yrs,UFA,29,UFA,2024,2028,No,Brad Treliving,"$1,500,000","$1,500,000",$0,Std (Ext)
"Poehling, Ryan",ANA,C,27,"$3,750,000","$3,750,000","$3,750,000",4 yrs,UFA,27,UFA,2026,2030,No,Pat Verbeek,"$3,750,000",$0,$0,Std (Ext)
"Foerster, Tyson",PHI,"LW, RW",24,"$3,750,000","$4,000,000","$3,750,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Daniel Brière,"$4,000,000",$0,$0,Std (Ext)
"Iafallo, Alex",WPG,"RW, LW",32,"$3,666,667","$4,000,000","$3,666,667",3 yrs,UFA,31,UFA,2025,2028,No,Kevin Cheveldayoff,"$4,000,000",$0,$0,Std (Ext)
"Woll, Joseph",PHI,G,27,"$3,666,667","$4,000,000","$3,666,667",3 yrs,RFA (Arb),25,UFA,2025,2028,No,Brad Treliving,"$3,000,000","$1,000,000",$0,Std (Ext)
"McNabb, Brayden",VGK,LD,35,"$3,650,000","$3,500,000","$3,650,000",3 yrs,UFA,33,UFA,2025,2028,No,Kelly McCrimmon,"$3,500,000",$0,$0,Std (Ext)
"Goodrow, Barclay",SJS,"LW, C",33,"$3,641,667","$2,500,000","$3,641,667",6 yrs,UFA,28,UFA,2021,2027,No,Chris Drury,"$1,250,000","$1,250,000",$0,Std (Ext)
"Holmstrom, Simon",NYI,"RW, LW",25,"$3,625,000","$3,750,000","$3,625,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Mathieu Darche,"$3,750,000",$0,$0,Std (Ext)
"Walker, Sean",CAR,RD,31,"$3,615,000","$2,850,000","$3,615,000",5 yrs,UFA,29,UFA,2024,2029,No,Eric Tulsky,"$850,000","$2,000,000",$0,Std
"Mangiapane, Andrew",CHI,"LW, RW",30,"$3,600,000","$3,600,000","$3,600,000",2 yrs,UFA,29,UFA,2025,2027,No,Stan Bowman,"$1,000,000","$2,600,000",$0,Std
"Duclair, Anthony",NYI,"LW, RW",30,"$3,500,000","$3,500,000","$3,500,000",4 yrs,UFA,28,UFA,2024,2028,No,Lou Lamoriello,"$3,500,000",$0,$0,Std
"Schmidt, Nate",UTA,LD,34,"$3,500,000","$3,500,000","$3,500,000",3 yrs,UFA,33,UFA,2025,2028,No,Bill Armstrong,"$3,500,000",$0,$0,Std
"Ekman-Larsson, Oliver",TOR,"RD, LD",34,"$3,500,000","$3,000,000","$3,500,000",4 yrs,UFA,32,UFA,2024,2028,No,Brad Treliving,"$1,500,000","$1,500,000",$0,Std
"Maatta, Olli",CGY,"LD, RD",31,"$3,500,000","$3,500,000","$3,500,000",3 yrs,UFA,30,UFA,2025,2028,No,Bill Armstrong,"$3,500,000",$0,$0,Std (Ext)
"Mayfield, Scott",NYI,RD,33,"$3,500,000","$3,500,000","$3,500,000",7 yrs,UFA,30,UFA,2023,2030,No,Lou Lamoriello,"$3,500,000",$0,$0,Std
"Novak, Tommy",PIT,"C, LW",29,"$3,500,000","$3,500,000","$3,500,000",3 yrs,UFA,26,UFA,2024,2027,No,Barry Trotz,"$3,500,000",$0,$0,Std (Ext)
"Foegele, Warren",OTT,"LW, RW",30,"$3,500,000","$3,000,000","$3,500,000",3 yrs,UFA,28,UFA,2024,2027,No,Rob Blake,"$3,000,000",$0,$0,Std
"Trenin, Yakov",MIN,"LW, RW, C",29,"$3,500,000","$3,000,000","$3,500,000",4 yrs,UFA,27,UFA,2024,2028,No,Bill Guerin,"$3,000,000",$0,$0,Std
"Hofer, Joel",STL,G,25,"$3,400,000","$3,400,000","$3,400,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Doug Armstrong,"$3,400,000",$0,$0,Std (Ext)
"Siegenthaler, Jonas",NJD,LD,29,"$3,400,000","$3,000,000","$3,400,000",5 yrs,RFA (Arb),25,UFA,2023,2028,No,Tom Fitzgerald,"$3,000,000",$0,$0,Std (Ext)
"Jeannot, Tanner",BOS,LW,29,"$3,400,000","$4,000,000","$3,400,000",5 yrs,UFA,28,UFA,2025,2030,No,Don Sweeney,"$2,750,000","$1,250,000",$0,Std
"Protas, Aliaksei",WSH,LW,25,"$3,375,000","$3,500,000","$3,375,000",5 yrs,RFA,23,UFA,2024,2029,No,Brian MacLellan,"$2,500,000","$1,000,000",$0,Std (Ext)
"Quinn, Jack",BUF,RW,24,"$3,375,000","$3,500,000","$3,375,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Kevyn Adams,"$3,500,000",$0,$0,Std (Ext)
"Vladar, Dan",PHI,G,28,"$3,350,000","$3,100,000","$3,350,000",2 yrs,UFA,27,UFA,2025,2027,No,Daniel Brière,"$3,100,000",$0,$0,Std
"McCarron, Michael",MIN,C,31,"$3,333,333","$4,500,000","$3,333,333",6 yrs,UFA,31,UFA,2026,2032,No,Bill Guerin,"$4,500,000",$0,$0,Std (Ext)
"Joshua, Dakota",TOR,"LW, RW, C",30,"$3,250,000","$2,625,000","$3,250,000",4 yrs,UFA,28,UFA,2024,2028,No,Patrik Allvin,"$2,625,000",$0,$0,Std (Ext)
"Lyubushkin, Ilya",DAL,"RD, LD",32,"$3,250,000","$2,400,000","$3,250,000",2 yrs,UFA,30,UFA,2024,2027,No,Jim Nill,"$2,400,000",$0,$0,Std
"Korczak, Kaedan",VGK,RD,25,"$3,250,000","$3,250,000","$3,250,000",4 yrs,UFA (Group 6),24,UFA,2026,2030,No,Kelly McCrimmon,"$1,250,000","$2,000,000",$0,Std (Ext)
"Backlund, Mikael",CGY,C,37,"$3,250,000","$3,700,000","$3,250,000",2 yrs,UFA,36,UFA,2026,2028,No,Craig Conroy,"$3,700,000",$0,$0,Std (Ext)
"Greig, Ridly",OTT,"RW, LW, C",23,"$3,250,000","$2,750,000","$3,250,000",4 yrs,RFA,22,RFA (Arb),2025,2029,No,Steve Staios,"$2,750,000",$0,$0,Std (2-way)
"Liljegren, Timothy",WSH,RD,27,"$3,250,000","$3,700,000","$3,250,000",2 yrs,UFA,27,UFA,2026,2028,No,Brian MacLellan,"$2,200,000","$1,500,000",$0,Std (Ext)
"Lohrei, Mason",BOS,"LD, RD",25,"$3,200,000","$3,200,000","$3,200,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Don Sweeney,"$3,200,000",$0,$0,Std (Ext)
"Rasmussen, Michael",DET,"C, LW, RW",27,"$3,200,000","$3,650,000","$3,200,000",4 yrs,RFA (Arb),24,UFA,2024,2028,No,Steve Yzerman,"$3,650,000",$0,$0,Std (2-way)
"Gostisbehere, Shayne",CAR,"LD, RD",33,"$3,200,000","$2,400,000","$3,200,000",3 yrs,UFA,31,UFA,2024,2027,No,Eric Tulsky,"$1,400,000","$1,000,000",$0,Std
"Hall, Taylor",CAR,LW,34,"$3,166,667","$3,425,000","$3,166,667",3 yrs,UFA,33,UFA,2025,2028,No,Eric Tulsky,"$3,425,000",$0,$0,Std (Ext)
"Paul, Nicholas",TBL,"C, RW, LW",31,"$3,150,000","$2,500,000","$3,150,000",7 yrs,UFA,27,UFA,2022,2029,No,Julien BriseBois,"$1,500,000","$1,000,000",$0,Std (Ext)
"Montembeault, Sam",MTL,G,29,"$3,150,000","$2,450,000","$3,150,000",3 yrs,UFA,27,UFA,2024,2027,No,Kent Hughes,"$2,450,000",$0,$0,Std (Ext)
"Martinook, Jordan",CAR,"RW, LW",33,"$3,075,000","$850,000","$3,075,000",3 yrs,UFA,31,UFA,2024,2027,No,Eric Tulsky,"$850,000",$0,$0,Std
"Chatfield, Jalen",CAR,RD,30,"$3,025,000","$2,325,000","$3,025,000",3 yrs,UFA,28,UFA,2024,2027,No,Eric Tulsky,"$850,000","$1,475,000",$0,Std (Ext)
"Rodrigues, Evan",FLA,C,32,"$3,018,750","$3,075,000","$3,018,750",4 yrs,UFA,29,UFA,2023,2027,No,Bill Zito,"$850,000","$2,225,000",$0,Std
"Nedeljkovic, Alex",SJS,G,30,"$3,000,000","$3,000,000","$3,000,000",2 yrs,UFA,30,UFA,2026,2028,No,Mike Grier,"$2,000,000","$1,000,000",$0,Std (Ext)
"Lindgren, Charlie",WSH,G,32,"$3,000,000","$3,000,000","$3,000,000",3 yrs,UFA,31,UFA,2025,2028,No,Brian MacLellan,"$3,000,000",$0,$0,Std (Ext)
"Brown, Connor",NJD,RW,32,"$3,000,000","$3,500,000","$3,000,000",4 yrs,UFA,31,UFA,2025,2029,No,Tom Fitzgerald,"$2,000,000","$1,500,000",$0,Std
"Luostarinen, Eetu",FLA,"LW, C",27,"$3,000,000","$2,500,000","$3,000,000",3 yrs,RFA (Arb),24,UFA,2024,2027,No,Bill Zito,"$1,000,000","$1,500,000",$0,Std (Ext)
"Jokiharju, Henri",BOS,RD,27,"$3,000,000","$3,250,000","$3,000,000",3 yrs,UFA,26,UFA,2025,2028,No,Don Sweeney,"$3,000,000","$250,000",$0,Std (Ext)
"Evangelista, Luke",NSH,RW,24,"$3,000,000","$3,750,000","$3,000,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Barry Trotz,"$3,750,000",$0,$0,Std (Ext)
"Olivier, Mathieu",CBJ,RW,29,"$3,000,000","$3,900,000","$3,000,000",6 yrs,UFA,28,UFA,2025,2031,No,Don Waddell,"$3,900,000",$0,$0,Std (Ext)
"Dowd, Nic",VGK,C,36,"$3,000,000","$3,000,000","$3,000,000",2 yrs,UFA,34,UFA,2025,2027,No,Brian MacLellan,"$3,000,000",$0,$0,Std (Ext)
"Roy, Nicolas",COL,"C, RW",29,"$3,000,000","$2,500,000","$3,000,000",5 yrs,RFA (Arb),25,UFA,2022,2027,No,Kelly McCrimmon,"$2,500,000",$0,$0,Std
"Hoglander, Nils",VAN,"LW, RW",25,"$3,000,000","$2,900,000","$3,000,000",3 yrs,RFA (Arb),23,UFA,2025,2028,No,Patrik Allvin,"$2,900,000",$0,$0,Std (Ext)
"Engvall, Pierre",NYI,LW,30,"$3,000,000","$3,000,000","$3,000,000",7 yrs,UFA,27,UFA,2023,2030,No,Lou Lamoriello,"$3,000,000",$0,$0,Std
"Myers, Tyler",DAL,RD,36,"$3,000,000","$2,300,000","$3,000,000",3 yrs,UFA,34,UFA,2024,2027,No,Patrik Allvin,"$2,300,000",$0,$0,Std (Ext)
"Namestnikov, Vladislav",WPG,"C, RW, LW",33,"$3,000,000","$3,000,000","$3,000,000",2 yrs,UFA,32,UFA,2025,2027,No,Kevin Cheveldayoff,"$3,000,000",$0,$0,Std (Ext)
"Podkolzin, Vasily",EDM,"LW, RW",24,"$2,950,000","$2,950,000","$2,950,000",3 yrs,RFA (Arb),24,UFA,2026,2029,No,Stan Bowman,"$1,950,000","$1,000,000",$0,Std (Ext)
"Staal, Jordan",CAR,C,37,"$2,918,750","$2,165,000","$2,918,750",4 yrs,UFA,34,UFA,2023,2027,No,Don Waddell,"$850,000","$1,315,000",$0,Std (Ext)
"Newhook, Alex",MTL,"LW, C",25,"$2,900,000","$2,100,000","$2,900,000",4 yrs,RFA,22,RFA (Arb),2023,2027,No,Kent Hughes,"$2,100,000",$0,$0,Std
"Appleton, Mason",DET,"RW, C",30,"$2,900,000","$2,800,000","$2,900,000",2 yrs,UFA,29,UFA,2025,2027,No,Steve Yzerman,"$2,800,000",$0,$0,Std
"Evans, Jake",MTL,"C, LW",30,"$2,850,000","$3,300,000","$2,850,000",4 yrs,UFA,28,UFA,2025,2029,No,Kent Hughes,"$3,300,000",$0,$0,Std (Ext)
"Beauvillier, Anthony",WSH,"RW, LW",29,"$2,750,000","$2,375,000","$2,750,000",2 yrs,UFA,28,UFA,2025,2027,No,Brian MacLellan,"$850,000","$1,525,000",$0,Std (Ext)
"Soderblom, Arvid",CHI,G,26,"$2,750,000","$2,500,000","$2,750,000",2 yrs,RFA (Arb),25,UFA,2025,2027,No,Kyle Davidson,"$2,500,000",$0,$0,Std (Ext)
"Perbix, Nick",NSH,"RD, LD",28,"$2,750,000","$2,750,000","$2,750,000",2 yrs,UFA,27,UFA,2025,2027,No,Barry Trotz,"$2,750,000",$0,$0,Std
"Varlamov, Semyon",NYI,G,38,"$2,750,000","$2,750,000","$2,750,000",4 yrs,UFA,35,UFA,2023,2027,No,Lou Lamoriello,"$2,750,000",$0,$0,35+ Contract
"Noesen, Stefan",NJD,"RW, LW",33,"$2,750,000","$2,750,000","$2,750,000",3 yrs,UFA,31,UFA,2024,2027,No,Tom Fitzgerald,"$2,750,000",$0,$0,Std
"Whitecloud, Zach",CGY,RD,29,"$2,750,000","$2,500,000","$2,750,000",6 yrs,RFA (Arb),24,UFA,2022,2028,No,Kelly McCrimmon,"$2,500,000",$0,$0,Std (Ext)
"Seeler, Nick",PHI,LD,33,"$2,700,000","$2,700,000","$2,700,000",4 yrs,UFA,30,UFA,2024,2028,No,Daniel Brière,"$2,700,000",$0,$0,Std (Ext)
"Amadio, Michael",OTT,"LW, RW",30,"$2,600,000","$2,500,000","$2,600,000",3 yrs,UFA,28,UFA,2024,2027,No,Steve Staios,"$2,500,000",$0,$0,Std (2-way)
"Texier, Alexandre",MTL,"LW, RW",26,"$2,500,000","$2,857,000","$2,500,000",2 yrs,RFA (Arb),26,UFA,2026,2028,No,Kent Hughes,"$2,857,000",$0,$0,Std (Ext)
"Toropchenko, Alexey",STL,"LW, RW",26,"$2,500,000","$2,850,000","$2,500,000",2 yrs,UFA,26,UFA,2026,2028,No,Doug Armstrong,"$2,850,000",$0,$0,Std (Ext)
"Tanev, Brandon",UTA,"LW, RW",34,"$2,500,000","$2,600,000","$2,500,000",3 yrs,UFA,33,UFA,2025,2028,No,Bill Armstrong,"$2,600,000",$0,$0,Std
"Howden, Brett",VGK,"LW, C",28,"$2,500,000","$2,500,000","$2,500,000",5 yrs,UFA,26,UFA,2025,2030,No,Kelly McCrimmon,"$2,500,000",$0,$0,Std (Ext)
"Cizikas, Casey",NYI,C,35,"$2,500,000","$2,500,000","$2,500,000",6 yrs,UFA,30,UFA,2021,2027,No,Lou Lamoriello,"$2,500,000",$0,$0,Std
"Glass, Cody",NJD,C,27,"$2,500,000","$2,500,000","$2,500,000",2 yrs,RFA (Arb),26,UFA,2025,2027,No,Tom Fitzgerald,"$2,500,000",$0,$0,Std (Ext)
"O'Connor, Drew",VAN,"LW, RW",28,"$2,500,000","$2,150,000","$2,500,000",2 yrs,UFA,26,UFA,2025,2027,No,Patrik Allvin,"$2,150,000",$0,$0,Std (Ext)
"Armia, Joel",LAK,"RW, LW",33,"$2,500,000","$2,500,000","$2,500,000",2 yrs,UFA,32,UFA,2025,2027,No,Ken Holland,"$2,500,000",$0,$0,Std
"Kolesar, Keegan",VGK,RW,29,"$2,500,000","$2,362,500","$2,500,000",3 yrs,UFA,27,UFA,2025,2028,No,Kelly McCrimmon,"$2,362,500",$0,$0,Std (Ext)
"O'Connor, Logan",COL,RW,29,"$2,500,000","$2,250,000","$2,500,000",6 yrs,UFA,28,UFA,2025,2031,No,Chris MacFarland,"$2,250,000",$0,$0,Std (Ext)
