rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jake Middleton,MIN,D,mid,38,0.2026,100.0,2.55,2.11
2,Vladislav Gavrikov,LAK,D,hi,48,0.2021,100.0,1.95,1.64
3,Jake Walman,SJS,D,mid,70,0.2019,99.0,2.8,2.92
4,Ryan Lindgren,NYR,D,mid,51,0.2013,97.0,2.72,2.7
5,Jackson LaCombe,ANA,D,mid,42,0.2012,96.0,2.76,2.37
6,Martin Fehérváry,WSH,D,mid,48,0.2011,94.0,2.54,2.55
7,Luke Schenn,NSH,D,mid,44,0.2008,93.0,2.38,2.24
8,Sean Walker,CAR,D,mid,59,0.1999,91.0,2.42,2.47
9,Olli Maatta,?,D,hi,39,0.1997,99.0,2.29,1.95
10,Brandon Carlo,BOS,D,hi,52,0.1991,97.0,2.52,2.28
11,Ian Cole,?,D,hi,59,0.1989,96.0,2.52,2.45
12,Jordan Spence,LAK,D,mid,26,0.1987,90.0,1.91,1.47
13,Ilya Lyubushkin,DAL,D,mid,51,0.1985,88.0,2.58,2.29
14,Tyler Kleven,OTT,D,mid,43,0.1985,87.0,2.41,2.34
15,Jacob Trouba,ANA,D,hi,66,0.1984,94.0,3.03,3.19
16,Thomas Chabot,OTT,D,hi,59,0.1982,93.0,2.5,2.41
17,Troy Stecher,EDM,D,lo,29,0.1981,100.0,2.49,2.16
18,Philip Broberg,STL,D,mid,34,0.198,85.0,2.34,1.39
19,Ivan Provorov,CBJ,D,hi,64,0.1978,91.0,2.7,2.54
20,Alexander Romanov,NYI,D,mid,51,0.1973,84.0,2.78,2.56
21,Alex Vlasic,CHI,D,hi,81,0.1971,90.0,2.86,3.55
22,Ty Emberson,EDM,D,lo,43,0.197,98.0,2.35,2.82
23,Vince Dunn,SEA,D,mid,47,0.1966,82.0,2.89,3.01
24,Nate Schmidt,FLA,D,mid,42,0.1964,81.0,1.94,2.0
25,Quinn Hughes,VAN,D,hi,58,0.1957,88.0,2.33,2.51
26,Brayden Pachal,CGY,D,lo,29,0.1955,97.0,2.56,1.74
27,Nick Seeler,PHI,D,mid,46,0.1955,79.0,2.34,2.4
28,Mario Ferraro,SJS,D,hi,76,0.1954,87.0,2.96,3.28
29,Nikita Zadorov,BOS,D,hi,38,0.1953,85.0,2.46,2.03
30,Moritz Seider,DET,D,hi,56,0.1953,84.0,2.52,2.0
31,Ryan Graves,PIT,D,lo,36,0.1952,95.0,2.32,2.52
32,Matt Roy,WSH,D,mid,50,0.1951,78.0,2.5,2.46
33,Declan Chisholm,MIN,D,mid,38,0.195,76.0,2.02,2.27
34,Drew Doughty,LAK,D,lo,29,0.1949,94.0,2.43,1.71
35,Zach Whitecloud,VGK,D,mid,42,0.1948,75.0,2.46,2.08
36,Adam Fox,NYR,D,mid,53,0.1946,74.0,2.47,2.28
37,K'Andre Miller,NYR,D,hi,66,0.1946,82.0,2.84,2.96
38,Justin Holl,DET,D,lo,39,0.1945,92.0,2.37,2.56
39,Artem Zub,OTT,D,lo,37,0.1945,91.0,2.0,2.27
40,Adam Larsson,SEA,D,hi,56,0.1945,81.0,2.79,2.73
41,David Savard,MTL,D,lo,45,0.1944,89.0,2.95,2.71
42,J.J. Moser,TBL,D,lo,31,0.1943,88.0,2.47,2.34
43,Brandt Clarke,LAK,D,mid,41,0.1943,72.0,2.42,2.31
44,Connor Clifton,BUF,D,lo,40,0.1943,86.0,2.78,3.14
45,Josh Morrissey,WPG,D,hi,54,0.1941,79.0,2.32,1.72
46,Adam Pelech,NYI,D,mid,41,0.1941,71.0,2.11,2.36
47,Shea Theodore,VGK,D,mid,53,0.1941,69.0,2.35,2.04
48,Nick Jensen,OTT,D,mid,47,0.1941,68.0,2.57,2.26
49,Erik Karlsson,PIT,D,hi,77,0.194,78.0,2.91,3.18
50,Cody Ceci,SJS,D,hi,88,0.1939,76.0,3.2,2.87
51,Scott Perunovich,NYI,D,lo,26,0.1938,85.0,2.35,3.46
52,Carson Soucy,VAN,D,mid,46,0.1937,66.0,2.48,2.28
53,Simon Benoit,TOR,D,mid,40,0.1936,65.0,2.75,1.84
54,Thomas Harley,DAL,D,hi,62,0.1934,75.0,2.61,2.06
55,Jamie Oleksiak,SEA,D,mid,58,0.1933,63.0,2.62,2.69
56,Rasmus Andersson,CGY,D,hi,63,0.1933,73.0,2.66,2.47
57,Nicolas Hague,VGK,D,mid,43,0.1933,62.0,2.72,2.35
58,Cam Fowler,STL,D,mid,56,0.1933,60.0,2.51,2.4
59,Ryan McDonagh,TBL,D,hi,42,0.1933,72.0,2.29,1.96
60,Timothy Liljegren,SJS,D,mid,57,0.1932,59.0,2.69,3.05
61,Andrew Peeke,BOS,D,mid,48,0.1932,57.0,2.42,2.72
62,Dante Fabbro,CBJ,D,mid,46,0.193,56.0,2.52,2.4
63,Rasmus Dahlin,BUF,D,hi,52,0.193,70.0,2.41,2.21
64,Urho Vaakanainen,NYR,D,lo,26,0.193,83.0,2.59,2.14
65,Victor Hedman,TBL,D,hi,52,0.193,69.0,2.49,2.11
66,Erik Gustafsson,DET,D,lo,40,0.1928,82.0,2.38,2.74
67,Mattias Ekholm,EDM,D,mid,56,0.1928,54.0,2.33,2.67
68,Braden Schneider,NYR,D,mid,50,0.1928,53.0,2.93,2.48
69,Nick Perbix,TBL,D,mid,37,0.1928,51.0,2.48,2.36
70,Samuel Girard,COL,D,hi,63,0.1928,67.0,2.4,2.79
71,Colton Parayko,STL,D,mid,56,0.1926,50.0,2.34,2.42
72,Brandon Montour,SEA,D,hi,69,0.1926,66.0,2.63,2.75
73,John Carlson,WSH,D,mid,50,0.1926,49.0,2.59,2.46
74,Chris Tanev,TOR,D,mid,41,0.1924,47.0,2.14,1.61
75,Damon Severson,CBJ,D,mid,50,0.1924,46.0,2.58,2.83
76,Uvis Balinskis,FLA,D,lo,34,0.1923,80.0,2.1,2.17
77,Connor Murphy,CHI,D,mid,46,0.1922,44.0,2.64,2.52
78,Sam Malinski,COL,D,mid,39,0.1922,43.0,2.29,1.99
79,MacKenzie Weegar,CGY,D,hi,43,0.1921,64.0,2.29,1.78
80,Kaiden Guhle,MTL,D,lo,48,0.1921,79.0,2.86,2.69
81,Olen Zellweger,ANA,D,lo,39,0.1921,77.0,2.92,2.17
82,Nolan Allan,CHI,D,lo,27,0.1921,76.0,3.03,3.4
83,Jacob Bryson,BUF,D,lo,32,0.192,74.0,2.88,3.52
84,Aaron Ekblad,FLA,D,lo,44,0.192,73.0,2.48,2.1
85,Matt Grzelcyk,PIT,D,hi,64,0.192,63.0,2.74,2.78
86,Darnell Nurse,EDM,D,hi,68,0.1919,61.0,2.46,2.35
87,Ryan Suter,STL,D,hi,52,0.1918,60.0,2.44,2.32
88,Neal Pionk,WPG,D,mid,44,0.1918,41.0,2.33,1.79
89,Travis Hamonic,OTT,D,lo,34,0.1918,71.0,2.68,2.71
90,Charlie McAvoy,BOS,D,lo,25,0.1918,70.0,2.52,2.14
91,Johnathan Kovacevic,NJD,D,hi,42,0.1918,58.0,2.08,1.89
92,Trevor van Riemsdyk,WSH,D,mid,43,0.1916,40.0,2.36,2.0
93,Filip Hronek,VAN,D,mid,47,0.1916,38.0,2.39,2.6
94,Joel Edmundson,LAK,D,hi,47,0.1915,57.0,2.5,2.17
95,Esa Lindell,DAL,D,hi,58,0.1915,55.0,2.58,1.92
96,Nick Leddy,STL,D,lo,27,0.1915,68.0,2.33,2.31
97,Ben Chiarot,DET,D,hi,69,0.1914,54.0,2.85,2.67
98,Cam York,PHI,D,mid,54,0.1913,37.0,2.22,2.93
99,Jared Spurgeon,MIN,D,mid,43,0.1913,35.0,1.98,2.03
100,Niko Mikkola,FLA,D,hi,61,0.1913,52.0,2.14,2.31
101,Jalen Chatfield,CAR,D,hi,49,0.1912,51.0,2.42,2.28
102,Noah Juulsen,VAN,D,lo,27,0.1912,67.0,2.63,2.92
103,Scott Mayfield,NYI,D,lo,30,0.191,65.0,2.55,1.89
104,Rasmus Sandin,WSH,D,hi,57,0.1909,49.0,2.46,2.48
105,Jack Johnson,CBJ,D,lo,30,0.1908,64.0,3.0,4.32
106,Nick Blankenburg,NSH,D,lo,38,0.1908,62.0,2.57,2.59
107,Brent Burns,CAR,D,mid,66,0.1907,34.0,2.53,2.73
108,Derek Forbort,VAN,D,lo,28,0.1906,61.0,2.16,2.16
109,Brett Kulak,EDM,D,hi,67,0.1905,48.0,2.24,2.76
110,Erik Cernak,TBL,D,mid,32,0.1905,32.0,2.36,1.9
111,Zach Bogosian,MIN,D,mid,50,0.1904,31.0,2.43,2.48
112,Shayne Gostisbehere,CAR,D,lo,44,0.1902,59.0,2.25,2.23
113,Emil Andrae,PHI,D,lo,29,0.1901,58.0,2.19,2.71
114,Dmitry Orlov,CAR,D,hi,68,0.19,46.0,2.32,2.55
115,Vincent Desharnais,VAN,D,lo,29,0.1899,56.0,2.22,2.58
116,Jaccob Slavin,CAR,D,hi,66,0.1899,45.0,2.34,2.66
117,Tyler Myers,VAN,D,mid,54,0.1898,29.0,2.38,2.52
118,Kris Letang,PIT,D,hi,65,0.1898,43.0,2.75,2.71
119,TJ Brodie,CHI,D,lo,32,0.1896,55.0,2.73,3.12
120,Miro Heiskanen,DAL,D,lo,35,0.1893,53.0,2.47,2.29
121,Travis Sanheim,PHI,D,hi,84,0.1893,42.0,2.29,2.96
122,Daniil Miromanov,CGY,D,lo,26,0.1892,52.0,2.56,1.95
123,Marc Del Gaizo,NSH,D,lo,30,0.1891,50.0,2.42,2.71
124,Morgan Rielly,TOR,D,hi,68,0.1889,40.0,2.57,2.34
125,Alexandre Carrier,MTL,D,hi,62,0.1887,39.0,2.74,2.88
126,Kevin Bahl,CGY,D,mid,55,0.1887,28.0,2.57,2.55
127,Mike Matheson,MTL,D,hi,69,0.1887,37.0,2.93,3.11
128,Joel Hanley,CGY,D,lo,25,0.1886,48.0,2.2,1.73
129,Simon Edvinsson,DET,D,hi,47,0.1885,36.0,2.58,2.02
130,Brian Dumoulin,ANA,D,hi,45,0.1884,34.0,2.85,2.43
131,Jon Merrill,MIN,D,lo,32,0.1883,47.0,2.26,2.3
132,Alex Pietrangelo,VGK,D,mid,64,0.1882,26.0,2.63,2.68
133,Mikhail Sergachev,?,D,hi,59,0.1882,33.0,2.53,2.55
134,Mason Lohrei,BOS,D,mid,64,0.188,25.0,2.68,3.46
135,Rasmus Ristolainen,PHI,D,mid,42,0.1879,24.0,2.21,2.63
136,Alec Martinez,CHI,D,lo,36,0.1878,45.0,3.19,3.24
137,Calvin de Haan,COL,D,lo,30,0.1878,44.0,2.1,2.87
138,Luke Hughes,NJD,D,mid,48,0.1878,22.0,2.52,2.24
139,Noah Dobson,NYI,D,mid,52,0.1878,21.0,2.34,2.26
140,Conor Timmins,TOR,D,lo,30,0.1877,42.0,2.52,1.81
141,Brayden McNabb,VGK,D,hi,59,0.1876,31.0,2.22,1.82
142,Mattias Samuelsson,BUF,D,lo,44,0.1876,41.0,2.72,2.86
143,Parker Wotherspoon,BOS,D,lo,30,0.1876,39.0,2.24,2.17
144,Dylan DeMelo,WPG,D,hi,53,0.1875,30.0,2.32,1.96
145,Emil Lilleberg,TBL,D,mid,39,0.1873,19.0,2.47,2.42
146,Ryker Evans,SEA,D,mid,55,0.1872,18.0,2.48,2.77
147,Brock Faber,MIN,D,hi,46,0.187,28.0,2.57,1.94
148,Brett Pesce,NJD,D,hi,48,0.187,27.0,2.32,2.3
149,Lane Hutson,MTL,D,hi,57,0.1869,25.0,2.81,2.46
150,Owen Power,BUF,D,hi,66,0.1869,24.0,2.65,3.0
151,Henry Thrun,SJS,D,lo,48,0.1869,38.0,3.09,3.35
152,Egor Zamula,PHI,D,lo,43,0.1865,36.0,2.06,2.98
153,Brenden Dillon,NJD,D,mid,53,0.1864,16.0,2.54,2.75
154,Gustav Forsling,FLA,D,hi,60,0.1864,22.0,2.34,1.94
155,Devon Toews,COL,D,hi,57,0.1864,21.0,2.37,2.11
156,Seth Jones,CHI,D,mid,64,0.1864,15.0,2.89,2.9
157,Jake Sanderson,OTT,D,hi,53,0.1862,19.0,2.32,2.51
158,Ryan Pulock,NYI,D,mid,47,0.1862,13.0,2.68,2.32
159,Will Borgen,NYR,D,mid,60,0.1862,12.0,2.82,3.01
160,Dmitry Kulikov,FLA,D,mid,48,0.186,10.0,2.25,2.02
161,Josh Manson,COL,D,lo,38,0.186,35.0,2.3,2.8
162,Mathew Dumba,DAL,D,lo,40,0.1859,33.0,2.75,2.88
163,Pavel Mintyukov,ANA,D,mid,39,0.1856,9.0,3.07,2.89
164,Roman Josi,NSH,D,lo,49,0.1856,32.0,2.6,3.12
165,Arber Xhekaj,MTL,D,lo,37,0.1852,30.0,2.79,2.62
166,Justin Faulk,STL,D,hi,53,0.1851,18.0,2.34,1.92
167,Jan Rutta,SJS,D,lo,34,0.1851,29.0,2.86,2.63
168,Jakob Chychrun,WSH,D,mid,48,0.1851,7.0,2.56,2.27
169,Evan Bouchard,EDM,D,hi,85,0.1849,16.0,2.37,2.56
