rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
308,Braeden Bowman,VGK,F,lo,41,0.1922,10.0,2.44,4.06
309,Dylan Strome,WSH,F,hi,45,0.1922,5.0,3.05,2.66
310,Justin Hryckowian,DAL,F,mid,34,0.1921,9.0,2.29,2.15
311,Brayden Schenn,STL,F,hi,54,0.1917,4.0,2.72,3.22
312,Anze Kopitar,LAK,F,mid,29,0.1914,8.0,2.42,1.51
313,Jonathan Huberdeau,CGY,F,lo,29,0.1912,9.0,2.68,2.73
314,Erik Haula,NSH,F,mid,49,0.191,7.0,2.93,2.9
315,Leo Carlsson,ANA,F,mid,53,0.1903,6.0,2.86,2.86
316,Artturi Lehkonen,COL,F,mid,34,0.1903,5.0,2.64,1.92
317,Collin Graf,SJS,F,hi,38,0.1902,3.0,2.83,2.41
318,Eetu Luostarinen,FLA,F,mid,45,0.1895,4.0,2.46,2.72
319,Gabriel Landeskog,COL,F,lo,27,0.1888,8.0,2.67,1.89
320,Mark Stone,VGK,F,lo,44,0.1883,7.0,2.08,2.32
321,Paul Cotter,NJD,F,lo,37,0.188,6.0,2.88,3.03
322,Nick Foligno,MIN,F,lo,27,0.188,5.0,2.25,2.19
323,Mavrik Bourque,DAL,F,hi,41,0.1879,2.0,2.37,2.45
324,Robert Thomas,STL,F,mid,35,0.1877,4.0,2.49,2.34
325,Patrick Kane,DET,F,mid,38,0.1873,3.0,2.7,2.69
326,Ryan Winterton,SEA,F,lo,28,0.1872,5.0,2.55,2.43
327,Pavel Zacha,BOS,F,mid,45,0.1871,2.0,2.96,2.69
328,Joel Armia,LAK,F,lo,29,0.187,4.0,2.4,1.92
329,Cole Perfetti,WPG,F,mid,35,0.1868,1.0,2.32,2.23
330,Parker Kelly,COL,F,lo,32,0.1867,3.0,2.08,1.83
331,Mikael Granlund,ANA,F,lo,44,0.1844,2.0,2.74,2.95
332,Mika Zibanejad,NYR,F,hi,50,0.1825,1.0,2.52,2.51
333,Cody Glass,NJD,F,lo,28,0.1811,1.0,2.51,2.33
