rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jake Walman,SJS,D,mid,70,0.011,100.0,2.8,2.92
2,Martin Fehérváry,WSH,D,mid,48,0.0106,99.0,2.54,2.55
3,Scott Perunovich,NYI,D,lo,26,0.0096,100.0,2.35,3.46
4,Luke Schenn,NSH,D,mid,44,0.0095,97.0,2.38,2.24
5,Sean Walker,CAR,D,mid,59,0.0095,96.0,2.42,2.47
6,Jake Middleton,MIN,D,mid,38,0.0088,94.0,2.55,2.11
7,Troy Stecher,EDM,D,lo,29,0.0088,98.0,2.49,2.16
8,Ryan Lindgren,NYR,D,mid,51,0.008,93.0,2.72,2.7
9,Jackson LaCombe,ANA,D,mid,42,0.0078,91.0,2.76,2.37
10,Quinn Hughes,VAN,D,hi,58,0.0077,100.0,2.33,2.51
11,Vladislav Gavrikov,LAK,D,hi,48,0.0071,99.0,1.95,1.64
12,Olli Maatta,?,D,hi,39,0.0071,97.0,2.29,1.95
13,Philip Broberg,STL,D,mid,34,0.007,90.0,2.34,1.39
14,Tyler Kleven,OTT,D,mid,43,0.007,88.0,2.41,2.34
15,Jacob Trouba,ANA,D,hi,66,0.0069,96.0,3.03,3.19
16,Ian Cole,?,D,hi,59,0.0066,94.0,2.52,2.45
17,Brandon Carlo,BOS,D,hi,52,0.0065,93.0,2.52,2.28
18,Ivan Provorov,CBJ,D,hi,64,0.0059,91.0,2.7,2.54
19,Alex Vlasic,CHI,D,hi,81,0.0056,90.0,2.86,3.55
20,Jordan Spence,LAK,D,mid,26,0.0052,87.0,1.91,1.47
21,Mario Ferraro,SJS,D,hi,76,0.0051,88.0,2.96,3.28
22,Ilya Lyubushkin,DAL,D,mid,51,0.0051,85.0,2.58,2.29
23,Vince Dunn,SEA,D,mid,47,0.0049,84.0,2.89,3.01
24,Adam Larsson,SEA,D,hi,56,0.0049,87.0,2.79,2.73
25,David Savard,MTL,D,lo,45,0.0048,97.0,2.95,2.71
26,Ty Emberson,EDM,D,lo,43,0.0047,95.0,2.35,2.82
27,Thomas Chabot,OTT,D,hi,59,0.0046,85.0,2.5,2.41
28,Zach Whitecloud,VGK,D,mid,42,0.0043,82.0,2.46,2.08
29,Brayden Pachal,CGY,D,lo,29,0.0042,94.0,2.56,1.74
30,Shea Theodore,VGK,D,mid,53,0.0042,81.0,2.35,2.04
