rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jakob Chychrun,WSH,D,hi,52,0.0193,100.0,2.88,1.92
2,Ryan Lindgren,SEA,D,mid,46,0.0142,100.0,2.9,2.37
3,Henri Jokiharju,BOS,D,lo,25,0.0113,100.0,2.84,2.94
4,Ryker Evans,SEA,D,lo,38,0.0109,98.0,2.56,2.39
5,Luke Schenn,WPG,D,lo,37,0.0106,97.0,3.04,3.33
6,John Klingberg,SJS,D,lo,46,0.0101,95.0,3.01,3.28
7,Carson Soucy,NYI,D,mid,38,0.01,98.0,2.75,2.37
8,Owen Power,BUF,D,hi,56,0.01,98.0,2.79,2.36
9,Adam Fox,NYR,D,lo,33,0.0095,94.0,2.21,2.01
10,Rasmus Dahlin,BUF,D,hi,57,0.0085,97.0,2.61,2.22
11,Cam York,PHI,D,mid,57,0.0085,97.0,2.25,2.37
12,Brandt Clarke,LAK,D,hi,41,0.0084,95.0,2.4,1.96
13,Jackson LaCombe,ANA,D,hi,84,0.0084,94.0,2.82,2.88
14,Seth Jones,FLA,D,lo,39,0.0081,92.0,2.67,2.44
15,Tom Willander,VAN,D,lo,56,0.0081,90.0,3.11,3.4
16,Simon Edvinsson,DET,D,hi,51,0.008,92.0,2.57,2.36
17,Albert Johansson,DET,D,mid,47,0.0074,95.0,2.75,2.67
18,Devon Toews,COL,D,mid,49,0.0074,94.0,2.5,2.12
19,Gustav Forsling,FLA,D,hi,65,0.0074,91.0,2.67,2.98
20,Timothy Liljegren,SJS,D,lo,27,0.0071,89.0,2.86,2.69
21,Jake McCabe,TOR,D,hi,61,0.007,89.0,2.77,2.93
22,Artyom Levshunov,CHI,D,lo,57,0.0069,87.0,3.44,3.52
23,Mason Lohrei,BOS,D,mid,29,0.0069,92.0,2.94,1.61
24,Morgan Rielly,TOR,D,hi,74,0.0068,88.0,2.99,3.52
25,Rasmus Sandin,WSH,D,mid,46,0.0066,91.0,2.62,2.6
26,Brock Faber,MIN,D,hi,74,0.0066,86.0,2.67,2.82
27,Dylan DeMelo,WPG,D,hi,66,0.0066,84.0,2.55,2.47
28,Cody Ceci,LAK,D,mid,53,0.0064,89.0,2.46,2.41
29,Matt Grzelcyk,CHI,D,lo,43,0.0063,86.0,3.03,2.66
30,Matt Roy,WSH,D,hi,43,0.0062,83.0,2.72,2.2
31,Thomas Chabot,OTT,D,lo,57,0.0062,84.0,2.45,3.31
32,Evan Bouchard,EDM,D,hi,68,0.0058,81.0,2.69,2.83
33,Jake Middleton,MIN,D,mid,53,0.0057,88.0,2.55,2.27
34,Spencer Stastney,EDM,D,lo,32,0.0055,83.0,2.6,2.33
35,Charlie McAvoy,BOS,D,mid,56,0.0054,86.0,2.92,2.56
36,Adam Larsson,SEA,D,hi,59,0.0054,80.0,2.97,2.58
37,Trevor van Riemsdyk,WSH,D,lo,33,0.005,81.0,2.72,2.3
38,Conor Timmins,BUF,D,lo,32,0.0049,79.0,2.87,3.03
39,Jacob Bryson,WPG,D,lo,26,0.0049,78.0,2.48,3.42
40,Troy Stecher,TOR,D,lo,42,0.0048,76.0,2.94,3.1
41,Nikita Zadorov,BOS,D,hi,39,0.0047,78.0,2.93,2.07
42,Radko Gudas,ANA,D,lo,32,0.0047,75.0,2.84,2.7
43,Wyatt Kaiser,CHI,D,mid,55,0.0047,84.0,2.93,3.02
44,Brenden Dillon,NJD,D,mid,55,0.0045,83.0,2.59,3.0
45,Axel Sandin-Pellikka,DET,D,lo,49,0.004,73.0,3.04,3.1
46,Nikolas Matinpalo,OTT,D,lo,27,0.0039,71.0,2.32,2.4
47,Kaiden Guhle,MTL,D,lo,35,0.0036,70.0,2.83,2.09
48,Ian Moore,ANA,D,lo,39,0.0034,68.0,2.51,2.71
49,Joel Edmundson,LAK,D,mid,41,0.0034,81.0,2.53,2.0
50,Ben Chiarot,DET,D,hi,66,0.0033,77.0,3.11,2.71
51,Rasmus Andersson,CGY,D,hi,73,0.0033,75.0,2.63,2.72
52,Scott Mayfield,NYI,D,mid,49,0.0033,80.0,2.78,2.68
53,K'Andre Miller,CAR,D,hi,71,0.0033,73.0,2.39,2.79
54,J.J. Moser,TBL,D,hi,49,0.0032,72.0,2.55,2.01
55,Elias Pettersson,VAN,D,lo,47,0.0031,67.0,3.28,3.02
56,Dougie Hamilton,NJD,D,mid,50,0.0031,78.0,2.56,2.44
57,Dmitry Orlov,SJS,D,hi,71,0.0031,70.0,2.82,3.08
58,Justin Faulk,STL,D,hi,57,0.003,69.0,2.67,2.69
59,Brent Burns,COL,D,mid,51,0.003,77.0,2.58,2.13
60,Jamie Oleksiak,SEA,D,mid,42,0.0028,75.0,2.46,2.1
61,Shea Theodore,VGK,D,mid,53,0.0027,73.0,2.28,1.92
62,Tony DeAngelo,NYI,D,mid,51,0.0025,72.0,3.07,2.47
63,Jeremy Lauzon,VGK,D,lo,54,0.0025,65.0,2.33,2.88
64,Brian Dumoulin,LAK,D,mid,44,0.0025,70.0,2.43,2.03
65,Thomas Harley,DAL,D,mid,56,0.0022,69.0,2.78,2.37
66,Connor Murphy,CHI,D,mid,47,0.0021,67.0,2.38,2.28
67,Drew Doughty,LAK,D,hi,51,0.0019,67.0,2.25,1.98
68,Mikey Anderson,LAK,D,hi,54,0.0018,66.0,2.44,2.0
69,Logan Mailloux,STL,D,lo,47,0.0018,63.0,2.69,2.88
70,Darren Raddysh,TBL,D,mid,54,0.0017,66.0,2.5,2.39
71,Alex Vlasic,CHI,D,hi,65,0.0017,64.0,3.22,2.93
72,Cale Makar,COL,D,mid,51,0.0016,64.0,2.65,1.94
73,Jonathan Aspirot,BOS,D,lo,33,0.0013,62.0,2.85,1.85
74,Drew Helleson,ANA,D,lo,50,0.0012,60.0,2.99,3.13
75,Nick Perbix,NSH,D,mid,55,0.0012,62.0,2.95,3.07
76,Tyler Tucker,STL,D,lo,47,0.0011,59.0,2.43,3.38
77,Shayne Gostisbehere,CAR,D,lo,38,0.0011,57.0,2.47,2.54
78,Miro Heiskanen,DAL,D,hi,55,0.001,62.0,2.25,2.08
