rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
163,Jakob Chychrun,WSH,D,mid,48,0.1862,6.0,2.56,2.27
164,Roman Josi,NSH,D,lo,49,0.186,32.0,2.6,3.12
165,Noah Hanifin,VGK,D,hi,71,0.1858,21.0,2.54,2.75
166,Gustav Forsling,FLA,D,hi,60,0.1856,19.0,2.34,1.94
167,Alexandre Carrier,MTL,D,hi,62,0.1854,18.0,2.74,2.88
168,Brett Pesce,NJD,D,hi,48,0.1854,16.0,2.32,2.3
169,Jan Rutta,SJS,D,lo,34,0.1854,30.0,2.86,2.63
170,Jake McCabe,TOR,D,mid,52,0.1853,4.0,2.33,2.11
171,Brady Skjei,NSH,D,hi,71,0.1852,15.0,2.84,3.09
172,Arber Xhekaj,MTL,D,lo,37,0.1852,29.0,2.79,2.62
173,Pavel Mintyukov,ANA,D,mid,39,0.1851,3.0,3.07,2.89
174,Pierre-Olivier Joseph,PIT,D,lo,39,0.1846,27.0,2.49,3.51
175,Evan Bouchard,EDM,D,hi,85,0.1844,13.0,2.37,2.56
176,Oliver Ekman-Larsson,TOR,D,hi,52,0.1841,12.0,2.55,2.22
177,Cale Makar,COL,D,hi,58,0.184,10.0,2.4,2.1
178,Jonas Brodin,MIN,D,lo,42,0.1839,26.0,2.16,2.33
179,Radko Gudas,ANA,D,hi,46,0.1839,9.0,2.83,2.33
180,Jeff Petry,DET,D,lo,28,0.1838,24.0,2.75,2.4
181,Justin Barron,NSH,D,lo,49,0.1837,23.0,2.48,3.23
182,Michael Kesselring,?,D,hi,38,0.1837,7.0,2.33,1.7
183,Bowen Byram,BUF,D,hi,57,0.1834,6.0,2.74,2.63
184,Jayden Struble,MTL,D,lo,26,0.1834,21.0,2.31,2.43
185,Marcus Pettersson,PIT,D,hi,64,0.1833,4.0,2.71,3.07
186,Jamie Drysdale,PHI,D,mid,62,0.1833,1.0,2.51,3.38
187,Denton Mateychuk,CBJ,D,lo,30,0.1831,20.0,2.65,2.61
188,Zach Werenski,CBJ,D,hi,65,0.1829,3.0,2.58,2.26
189,Mikey Anderson,LAK,D,hi,45,0.1819,1.0,2.0,1.47
190,Lian Bichsel,DAL,D,lo,25,0.1819,18.0,2.47,2.67
191,Albert Johansson,DET,D,lo,34,0.1819,17.0,2.56,2.4
192,Wyatt Kaiser,CHI,D,lo,30,0.1815,15.0,2.71,2.14
193,Jake Christiansen,CBJ,D,lo,26,0.1814,14.0,2.84,2.39
194,Drew Helleson,ANA,D,lo,29,0.1814,12.0,3.01,2.29
195,Joshua Mahura,SEA,D,lo,29,0.1811,11.0,2.45,2.03
196,Dougie Hamilton,NJD,D,lo,40,0.1805,9.0,2.68,2.51
197,Jonas Siegenthaler,NJD,D,lo,26,0.179,8.0,1.95,1.56
198,Tony DeAngelo,NYI,D,lo,27,0.1786,6.0,2.95,2.76
199,Jake Bean,CGY,D,lo,26,0.1786,5.0,2.48,1.82
200,Henri Jokiharju,BUF,D,lo,30,0.1781,3.0,2.58,2.23
201,Ryan Shea,PIT,D,lo,25,0.1714,2.0,2.35,2.79
