rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jakob Chychrun,WSH,D,hi,52,0.0193,100.0,2.88,1.92
2,Ryan Lindgren,SEA,D,mid,46,0.0142,100.0,2.9,2.37
3,Owen Power,BUF,D,hi,56,0.0105,98.0,2.79,2.36
4,Ryker Evans,SEA,D,lo,38,0.0103,100.0,2.56,2.39
5,Luke Schenn,WPG,D,lo,37,0.0101,98.0,3.04,3.33
6,Henri Jokiharju,BOS,D,lo,25,0.0101,97.0,2.84,2.94
7,Carson Soucy,NYI,D,mid,38,0.0096,98.0,2.75,2.37
8,Adam Fox,NYR,D,lo,33,0.0095,95.0,2.21,2.01
9,Rasmus Dahlin,BUF,D,hi,57,0.009,97.0,2.61,2.22
10,John Klingberg,SJS,D,lo,46,0.009,94.0,3.01,3.28
11,Cam York,PHI,D,mid,57,0.0089,97.0,2.25,2.37
12,Devon Toews,COL,D,mid,49,0.0086,95.0,2.5,2.12
13,Brandt Clarke,LAK,D,hi,41,0.0086,95.0,2.4,1.96
14,Simon Edvinsson,DET,D,hi,51,0.0084,94.0,2.57,2.36
15,Jackson LaCombe,ANA,D,hi,84,0.0083,92.0,2.82,2.88
16,Gustav Forsling,FLA,D,hi,65,0.0079,91.0,2.67,2.98
17,Seth Jones,FLA,D,lo,39,0.0077,92.0,2.67,2.44
18,Brock Faber,MIN,D,hi,74,0.0076,89.0,2.67,2.82
19,Dylan DeMelo,WPG,D,hi,66,0.0073,88.0,2.55,2.47
20,Jake McCabe,TOR,D,hi,61,0.0071,86.0,2.77,2.93
21,Albert Johansson,DET,D,mid,47,0.0071,94.0,2.75,2.67
22,Cody Ceci,LAK,D,mid,53,0.0069,92.0,2.46,2.41
23,Matt Roy,WSH,D,hi,43,0.0067,84.0,2.72,2.2
24,Rasmus Sandin,WSH,D,mid,46,0.0066,91.0,2.62,2.6
25,Timothy Liljegren,SJS,D,lo,27,0.0066,90.0,2.86,2.69
26,Thomas Chabot,OTT,D,lo,57,0.0065,89.0,2.45,3.31
27,Mason Lohrei,BOS,D,mid,29,0.0063,89.0,2.94,1.61
28,Morgan Rielly,TOR,D,hi,74,0.0063,83.0,2.99,3.52
29,Tom Willander,VAN,D,lo,56,0.0063,87.0,3.11,3.4
30,Evan Bouchard,EDM,D,hi,68,0.0062,81.0,2.69,2.83
31,Jake Middleton,MIN,D,mid,53,0.0062,88.0,2.55,2.27
32,Charlie McAvoy,BOS,D,mid,56,0.0058,86.0,2.92,2.56
33,Artyom Levshunov,CHI,D,lo,57,0.0057,86.0,3.44,3.52
34,Adam Larsson,SEA,D,hi,59,0.0056,80.0,2.97,2.58
35,Matt Grzelcyk,CHI,D,lo,43,0.0054,84.0,3.03,2.66
36,Nikita Zadorov,BOS,D,hi,39,0.0052,78.0,2.93,2.07
37,Spencer Stastney,EDM,D,lo,32,0.0049,83.0,2.6,2.33
38,Trevor van Riemsdyk,WSH,D,lo,33,0.0048,81.0,2.72,2.3
39,Brenden Dillon,NJD,D,mid,55,0.0047,84.0,2.59,3.0
40,Wyatt Kaiser,CHI,D,mid,55,0.0046,83.0,2.93,3.02
41,K'Andre Miller,CAR,D,hi,71,0.0043,77.0,2.39,2.79
42,Joel Edmundson,LAK,D,mid,41,0.0043,81.0,2.53,2.0
43,J.J. Moser,TBL,D,hi,49,0.0041,75.0,2.55,2.01
44,Troy Stecher,TOR,D,lo,42,0.0041,79.0,2.94,3.1
45,Conor Timmins,BUF,D,lo,32,0.004,78.0,2.87,3.03
46,Brent Burns,COL,D,mid,51,0.004,80.0,2.58,2.13
47,Radko Gudas,ANA,D,lo,32,0.0038,76.0,2.84,2.7
48,Nikolas Matinpalo,OTT,D,lo,27,0.0036,75.0,2.32,2.4
49,Rasmus Andersson,CGY,D,hi,73,0.0036,73.0,2.63,2.72
50,Ben Chiarot,DET,D,hi,66,0.0034,72.0,3.11,2.71
51,Kaiden Guhle,MTL,D,lo,35,0.0033,73.0,2.83,2.09
52,Jacob Bryson,WPG,D,lo,26,0.0032,71.0,2.48,3.42
53,Scott Mayfield,NYI,D,mid,49,0.0032,78.0,2.78,2.68
54,Justin Faulk,STL,D,hi,57,0.0031,70.0,2.67,2.69
55,Dougie Hamilton,NJD,D,mid,50,0.003,77.0,2.56,2.44
56,Mikey Anderson,LAK,D,hi,54,0.0028,69.0,2.44,2.0
57,Jamie Oleksiak,SEA,D,mid,42,0.0028,75.0,2.46,2.1
58,Dmitry Orlov,SJS,D,hi,71,0.0028,67.0,2.82,3.08
59,Brian Dumoulin,LAK,D,mid,44,0.0028,73.0,2.43,2.03
60,Connor Murphy,CHI,D,mid,47,0.0027,72.0,2.38,2.28
61,Shea Theodore,VGK,D,mid,53,0.0027,70.0,2.28,1.92
62,Axel Sandin-Pellikka,DET,D,lo,49,0.0027,70.0,3.04,3.1
63,Cale Makar,COL,D,mid,51,0.0025,69.0,2.65,1.94
64,Drew Doughty,LAK,D,hi,51,0.0025,66.0,2.25,1.98
65,Miro Heiskanen,DAL,D,hi,55,0.0024,64.0,2.25,2.08
66,Thomas Harley,DAL,D,mid,56,0.0024,67.0,2.78,2.37
67,Ian Moore,ANA,D,lo,39,0.0023,68.0,2.51,2.71
68,Jeremy Lauzon,VGK,D,lo,54,0.0021,67.0,2.33,2.88
69,Ivan Provorov,CBJ,D,hi,62,0.002,62.0,2.57,2.37
70,Darren Raddysh,TBL,D,mid,54,0.0018,66.0,2.5,2.39
71,Tony DeAngelo,NYI,D,mid,51,0.0017,64.0,3.07,2.47
72,Elias Pettersson,VAN,D,lo,47,0.0016,65.0,3.28,3.02
73,Alex Vlasic,CHI,D,hi,65,0.0016,61.0,3.22,2.93
74,Logan Mailloux,STL,D,lo,47,0.0014,63.0,2.69,2.88
75,Jonathan Aspirot,BOS,D,lo,33,0.0012,62.0,2.85,1.85
76,Mattias Ekholm,EDM,D,hi,62,0.0012,59.0,2.65,2.81
77,Nick Perbix,NSH,D,mid,55,0.0012,62.0,2.95,3.07
78,Shayne Gostisbehere,CAR,D,lo,38,0.0011,60.0,2.47,2.54
