rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jakob Chychrun,WSH,D,hi,52,0.2082,100.0,2.88,1.92
2,Ryan Lindgren,SEA,D,mid,46,0.207,100.0,2.9,2.37
3,Henri Jokiharju,BOS,D,lo,25,0.2028,100.0,2.84,2.94
4,Brock Faber,MIN,D,hi,74,0.2015,98.0,2.67,2.82
5,Owen Power,BUF,D,hi,56,0.2012,97.0,2.79,2.36
6,Ryker Evans,SEA,D,lo,38,0.2003,98.0,2.56,2.39
7,Carson Soucy,NYI,D,mid,38,0.2003,98.0,2.75,2.37
8,Jackson LaCombe,ANA,D,hi,84,0.2001,95.0,2.82,2.88
9,Gustav Forsling,FLA,D,hi,65,0.1997,94.0,2.67,2.98
10,Simon Edvinsson,DET,D,hi,51,0.1997,92.0,2.57,2.36
11,Tom Willander,VAN,D,lo,56,0.1997,97.0,3.11,3.4
12,Artyom Levshunov,CHI,D,lo,57,0.1996,95.0,3.44,3.52
13,Matt Grzelcyk,CHI,D,lo,43,0.1996,94.0,3.03,2.66
14,Rasmus Dahlin,BUF,D,hi,57,0.1994,91.0,2.61,2.22
15,Brandt Clarke,LAK,D,hi,41,0.1994,89.0,2.4,1.96
16,Luke Schenn,WPG,D,lo,37,0.1993,92.0,3.04,3.33
17,Dylan DeMelo,WPG,D,hi,66,0.1986,88.0,2.55,2.47
18,Mason Lohrei,BOS,D,mid,29,0.1983,97.0,2.94,1.61
19,Adam Larsson,SEA,D,hi,59,0.1982,86.0,2.97,2.58
20,Thomas Chabot,OTT,D,lo,57,0.1981,90.0,2.45,3.31
21,Wyatt Kaiser,CHI,D,mid,55,0.1981,95.0,2.93,3.02
22,Adam Fox,NYR,D,lo,33,0.198,89.0,2.21,2.01
23,Spencer Stastney,EDM,D,lo,32,0.1979,87.0,2.6,2.33
24,Cam York,PHI,D,mid,57,0.1975,94.0,2.25,2.37
25,Matt Roy,WSH,D,hi,43,0.1974,84.0,2.72,2.2
26,John Klingberg,SJS,D,lo,46,0.1971,86.0,3.01,3.28
27,Evan Bouchard,EDM,D,hi,68,0.1971,83.0,2.69,2.83
28,Rasmus Sandin,WSH,D,mid,46,0.1969,92.0,2.62,2.6
29,Nikolas Matinpalo,OTT,D,lo,27,0.1969,84.0,2.32,2.4
30,Jamie Oleksiak,SEA,D,mid,42,0.1966,91.0,2.46,2.1
31,Conor Timmins,BUF,D,lo,32,0.1966,83.0,2.87,3.03
32,Devon Toews,COL,D,mid,49,0.1965,89.0,2.5,2.12
33,Ben Chiarot,DET,D,hi,66,0.1963,81.0,3.11,2.71
34,Charlie McAvoy,BOS,D,mid,56,0.1962,88.0,2.92,2.56
35,Albert Johansson,DET,D,mid,47,0.1962,86.0,2.75,2.67
36,Morgan Rielly,TOR,D,hi,74,0.1961,80.0,2.99,3.52
37,Cody Ceci,LAK,D,mid,53,0.1961,84.0,2.46,2.41
38,Jake McCabe,TOR,D,hi,61,0.1959,78.0,2.77,2.93
39,Brent Burns,COL,D,mid,51,0.1957,83.0,2.58,2.13
40,Axel Sandin-Pellikka,DET,D,lo,49,0.1955,81.0,3.04,3.1
41,Nikita Zadorov,BOS,D,hi,39,0.1955,77.0,2.93,2.07
42,Timothy Liljegren,SJS,D,lo,27,0.1954,79.0,2.86,2.69
43,Justin Faulk,STL,D,hi,57,0.1952,75.0,2.67,2.69
44,Brenden Dillon,NJD,D,mid,55,0.1952,81.0,2.59,3.0
45,Jake Middleton,MIN,D,mid,53,0.1952,80.0,2.55,2.27
46,Dmitry Orlov,SJS,D,hi,71,0.1951,73.0,2.82,3.08
47,Jacob Bryson,WPG,D,lo,26,0.1949,78.0,2.48,3.42
48,Seth Jones,FLA,D,lo,39,0.1946,76.0,2.67,2.44
49,Scott Mayfield,NYI,D,mid,49,0.1943,78.0,2.78,2.68
50,Aaron Ekblad,FLA,D,mid,52,0.1943,77.0,2.82,2.89
51,Connor Murphy,CHI,D,mid,47,0.1943,75.0,2.38,2.28
52,Ivan Provorov,CBJ,D,hi,62,0.1943,72.0,2.57,2.37
53,Alex Vlasic,CHI,D,hi,65,0.1942,70.0,3.22,2.93
54,K'Andre Miller,CAR,D,hi,71,0.1942,69.0,2.39,2.79
55,Cale Makar,COL,D,mid,51,0.1942,73.0,2.65,1.94
56,Nicolas Hague,NSH,D,lo,47,0.1939,75.0,2.83,2.8
57,Tony DeAngelo,NYI,D,mid,51,0.1937,72.0,3.07,2.47
58,Brian Dumoulin,LAK,D,mid,44,0.1937,70.0,2.43,2.03
59,Ian Moore,ANA,D,lo,39,0.1937,73.0,2.51,2.71
60,Shea Theodore,VGK,D,mid,53,0.1937,69.0,2.28,1.92
61,Miro Heiskanen,DAL,D,hi,55,0.1936,67.0,2.25,2.08
62,Mikey Anderson,LAK,D,hi,54,0.1935,66.0,2.44,2.0
63,Jonathan Aspirot,BOS,D,lo,33,0.1934,71.0,2.85,1.85
64,Drew Doughty,LAK,D,hi,51,0.1932,64.0,2.25,1.98
65,Rasmus Andersson,CGY,D,hi,73,0.1929,62.0,2.63,2.72
66,Zach Werenski,CBJ,D,hi,65,0.1927,61.0,2.54,2.55
67,Darren Raddysh,TBL,D,mid,54,0.1927,67.0,2.5,2.39
68,Thomas Harley,DAL,D,mid,56,0.1926,66.0,2.78,2.37
69,Drew Helleson,ANA,D,lo,50,0.1925,70.0,2.99,3.13
70,Nick Perbix,NSH,D,mid,55,0.1924,64.0,2.95,3.07
71,Joel Edmundson,LAK,D,mid,41,0.1924,62.0,2.53,2.0
72,Dante Fabbro,CBJ,D,mid,47,0.1924,61.0,2.72,2.6
73,Radko Gudas,ANA,D,lo,32,0.1923,68.0,2.84,2.7
74,Artem Zub,OTT,D,hi,45,0.1923,59.0,2.26,2.14
75,J.J. Moser,TBL,D,hi,49,0.1923,58.0,2.55,2.01
76,Tyler Tucker,STL,D,lo,47,0.1922,67.0,2.43,3.38
77,Trevor van Riemsdyk,WSH,D,lo,33,0.1921,65.0,2.72,2.3
78,Filip Hronek,VAN,D,hi,63,0.1921,56.0,3.0,2.62
79,Jeremy Lauzon,VGK,D,lo,54,0.192,63.0,2.33,2.88
80,Bowen Byram,BUF,D,hi,72,0.192,55.0,2.81,2.73
81,Logan Mailloux,STL,D,lo,47,0.192,62.0,2.69,2.88
82,Jayden Struble,MTL,D,lo,26,0.1919,60.0,2.68,2.25
83,Alexandre Carrier,MTL,D,mid,66,0.1918,59.0,2.83,2.78
84,Colton Parayko,STL,D,hi,58,0.1917,53.0,2.37,2.59
85,Troy Stecher,TOR,D,lo,42,0.1916,59.0,2.94,3.1
86,Marcus Pettersson,VAN,D,hi,66,0.1915,52.0,2.84,3.06
87,Kaiden Guhle,MTL,D,lo,35,0.1915,57.0,2.83,2.09
88,Cam Fowler,STL,D,hi,63,0.1914,50.0,2.72,2.65
89,Darnell Nurse,EDM,D,hi,66,0.1914,48.0,2.67,2.7
90,Elias Pettersson,VAN,D,lo,47,0.1913,56.0,3.28,3.02
91,Neal Pionk,WPG,D,lo,34,0.1911,54.0,2.93,2.08
92,Ryan McDonagh,TBL,D,lo,29,0.1911,52.0,2.35,2.3
93,Jalen Chatfield,CAR,D,mid,63,0.1909,58.0,2.73,2.54
94,Dougie Hamilton,NJD,D,mid,50,0.1909,56.0,2.56,2.44
95,Quinn Hughes,MIN,D,hi,76,0.1908,47.0,2.75,3.06
96,Niko Mikkola,FLA,D,mid,47,0.1907,55.0,2.54,2.36
97,Mattias Ekholm,EDM,D,hi,62,0.1907,45.0,2.65,2.81
98,Josh Manson,COL,D,mid,42,0.1906,53.0,2.35,2.13
99,Kris Letang,PIT,D,mid,63,0.1906,52.0,2.9,2.68
100,Yan Kuznetsov,CGY,D,lo,40,0.1906,51.0,3.11,2.83
101,MacKenzie Weegar,CGY,D,hi,54,0.1905,44.0,2.89,3.23
102,Matthew Schaefer,NYI,D,hi,58,0.1904,42.0,2.9,2.28
103,Kaedan Korczak,VGK,D,mid,49,0.1904,50.0,2.09,2.23
104,Noah Dobson,MTL,D,hi,73,0.1904,41.0,3.02,2.77
105,Shayne Gostisbehere,CAR,D,lo,38,0.1904,49.0,2.47,2.54
106,Josh Morrissey,WPG,D,hi,66,0.1903,39.0,2.64,2.31
107,Haydn Fleury,WPG,D,lo,31,0.1901,48.0,3.06,4.19
108,Charle-Edouard D'Astous,TBL,D,mid,54,0.1901,48.0,2.29,2.86
109,Parker Wotherspoon,PIT,D,hi,58,0.1901,38.0,2.74,2.51
110,Mike Matheson,MTL,D,hi,73,0.1901,36.0,3.03,2.54
111,Samuel Girard,COL,D,lo,35,0.1901,46.0,2.39,2.21
112,Vince Dunn,SEA,D,hi,55,0.1901,34.0,2.95,2.48
113,Matthew Robertson,NYR,D,mid,41,0.19,47.0,2.56,2.53
114,Jonas Brodin,MIN,D,mid,28,0.1899,45.0,2.27,1.76
115,Sam Malinski,COL,D,hi,32,0.1899,33.0,2.17,1.41
116,Louis Crevier,CHI,D,mid,50,0.1896,44.0,3.17,2.85
117,Nick Blankenburg,NSH,D,lo,38,0.1896,44.0,2.58,2.76
118,Tyler Myers,VAN,D,mid,64,0.1896,42.0,3.0,3.18
119,Emil Lilleberg,TBL,D,lo,33,0.1895,43.0,2.41,2.21
120,Zach Whitecloud,VGK,D,hi,49,0.1895,31.0,2.8,2.61
121,Damon Severson,CBJ,D,mid,48,0.1893,41.0,2.37,2.32
122,Ben Hutton,VGK,D,lo,34,0.1892,41.0,2.42,2.84
123,Philip Broberg,STL,D,hi,56,0.1892,30.0,2.51,2.33
124,Jonas Siegenthaler,NJD,D,hi,56,0.1891,28.0,2.69,2.69
125,Arber Xhekaj,MTL,D,lo,29,0.1891,40.0,2.65,2.6
126,Erik Cernak,TBL,D,lo,41,0.189,38.0,2.31,2.81
127,Roman Josi,NSH,D,mid,66,0.189,39.0,2.89,3.08
128,Martin Fehérváry,WSH,D,mid,46,0.1889,38.0,2.83,2.26
129,Zeev Buium,VAN,D,mid,50,0.1889,36.0,3.07,2.8
130,John Carlson,WSH,D,mid,64,0.1887,34.0,2.84,2.52
131,Brady Skjei,NSH,D,hi,57,0.1887,27.0,2.8,2.65
132,Mattias Samuelsson,BUF,D,hi,58,0.1887,25.0,2.73,2.29
133,Adam Pelech,NYI,D,hi,47,0.1887,23.0,2.64,2.19
134,Jake Walman,EDM,D,lo,54,0.1886,37.0,3.07,3.56
135,Brandon Montour,SEA,D,mid,47,0.1886,33.0,2.69,2.43
136,Sam Dickinson,SJS,D,lo,51,0.1886,35.0,2.88,3.11
137,Andrew Peeke,BOS,D,mid,44,0.1885,31.0,2.89,2.46
138,Connor Clifton,PIT,D,lo,28,0.1882,33.0,2.43,2.23
139,Esa Lindell,DAL,D,hi,50,0.1881,22.0,2.19,1.96
140,Jake Sanderson,OTT,D,mid,37,0.1881,30.0,2.15,2.11
141,Jacob Trouba,ANA,D,hi,75,0.188,20.0,2.96,2.88
142,Brett Kulak,EDM,D,hi,55,0.1879,19.0,2.68,2.32
143,Mario Ferraro,SJS,D,hi,60,0.1877,17.0,2.72,2.53
144,Alexander Petrovic,DAL,D,lo,30,0.1875,32.0,2.77,2.5
145,Vincent Desharnais,SJS,D,lo,27,0.1871,30.0,2.33,2.2
146,Nick Jensen,OTT,D,lo,48,0.1871,29.0,2.53,3.38
147,Brandon Carlo,TOR,D,lo,41,0.187,27.0,3.05,3.07
148,Jaccob Slavin,CAR,D,lo,40,0.187,25.0,2.32,2.26
149,Nick Seeler,PHI,D,mid,47,0.187,28.0,2.36,2.32
150,Noah Juulsen,PHI,D,lo,25,0.1869,24.0,2.51,2.46
151,Jordan Spence,OTT,D,mid,47,0.1867,27.0,2.02,2.13
152,Moritz Seider,DET,D,hi,55,0.1866,16.0,2.32,2.17
153,Simon Nemec,NJD,D,mid,54,0.1865,25.0,2.8,3.19
154,Hampus Lindholm,BOS,D,mid,47,0.1864,23.0,2.64,2.54
155,Jeff Petry,FLA,D,lo,42,0.1864,22.0,2.32,3.15
156,Ryan Shea,PIT,D,mid,55,0.1861,22.0,2.82,2.6
157,Logan Stanley,WPG,D,mid,47,0.186,20.0,2.9,2.39
158,Jared Spurgeon,MIN,D,mid,45,0.186,19.0,2.42,1.78
159,Brayden McNabb,VGK,D,mid,54,0.1859,17.0,2.27,2.36
160,Jamie Drysdale,PHI,D,hi,58,0.1858,14.0,2.43,2.32
