rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jake Middleton,MIN,D,mid,38,0.0112,100.0,2.55,2.11
2,Jake Walman,SJS,D,mid,70,0.011,99.0,2.8,2.92
3,Luke Schenn,NSH,D,mid,44,0.0101,97.0,2.38,2.24
4,Jackson LaCombe,ANA,D,mid,42,0.01,96.0,2.76,2.37
5,Ryan Lindgren,NYR,D,mid,51,0.0099,94.0,2.72,2.7
6,Vladislav Gavrikov,LAK,D,hi,48,0.0096,100.0,1.95,1.64
7,Martin Fehérváry,WSH,D,mid,48,0.0091,93.0,2.54,2.55
8,Sean Walker,CAR,D,mid,59,0.009,91.0,2.42,2.47
9,Olli Maatta,?,D,hi,39,0.0081,99.0,2.29,1.95
10,Tyler Kleven,OTT,D,mid,43,0.0078,90.0,2.41,2.34
11,Jordan Spence,LAK,D,mid,26,0.0076,88.0,1.91,1.47
12,Troy Stecher,EDM,D,lo,29,0.0076,100.0,2.49,2.16
13,Brandon Carlo,BOS,D,hi,52,0.0075,97.0,2.52,2.28
14,Jacob Trouba,ANA,D,hi,66,0.0072,96.0,3.03,3.19
15,Philip Broberg,STL,D,mid,34,0.007,87.0,2.34,1.39
16,Ilya Lyubushkin,DAL,D,mid,51,0.0069,85.0,2.58,2.29
17,Ian Cole,?,D,hi,59,0.0068,94.0,2.52,2.45
18,Vince Dunn,SEA,D,mid,47,0.0067,84.0,2.89,3.01
19,Thomas Chabot,OTT,D,hi,59,0.0067,93.0,2.5,2.41
20,Ivan Provorov,CBJ,D,hi,64,0.0061,91.0,2.7,2.54
21,Alexander Romanov,NYI,D,mid,51,0.006,82.0,2.78,2.56
22,Ty Emberson,EDM,D,lo,43,0.0059,98.0,2.35,2.82
23,Alex Vlasic,CHI,D,hi,81,0.0058,90.0,2.86,3.55
24,Nate Schmidt,FLA,D,mid,42,0.0055,81.0,1.94,2.0
25,Ryan Graves,PIT,D,lo,36,0.0053,97.0,2.32,2.52
26,Quinn Hughes,VAN,D,hi,58,0.0047,88.0,2.33,2.51
27,Brayden Pachal,CGY,D,lo,29,0.0047,95.0,2.56,1.74
28,Scott Perunovich,NYI,D,lo,26,0.0046,94.0,2.35,3.46
29,Declan Chisholm,MIN,D,mid,38,0.0046,79.0,2.02,2.27
30,Nick Seeler,PHI,D,mid,46,0.0045,78.0,2.34,2.4
31,Mario Ferraro,SJS,D,hi,76,0.0044,87.0,2.96,3.28
32,Drew Doughty,LAK,D,lo,29,0.0042,92.0,2.43,1.71
33,Nikita Zadorov,BOS,D,hi,38,0.0041,85.0,2.46,2.03
34,Justin Holl,DET,D,lo,39,0.004,91.0,2.37,2.56
35,Matt Roy,WSH,D,mid,50,0.0038,76.0,2.5,2.46
36,Moritz Seider,DET,D,hi,56,0.0036,84.0,2.52,2.0
37,Artem Zub,OTT,D,lo,37,0.0036,89.0,2.0,2.27
38,Zach Whitecloud,VGK,D,mid,42,0.0035,75.0,2.46,2.08
39,Adam Fox,NYR,D,mid,53,0.0035,74.0,2.47,2.28
40,J.J. Moser,TBL,D,lo,31,0.0033,88.0,2.47,2.34
41,Timothy Liljegren,SJS,D,mid,57,0.0033,72.0,2.69,3.05
42,K'Andre Miller,NYR,D,hi,66,0.0033,82.0,2.84,2.96
43,Shea Theodore,VGK,D,mid,53,0.0033,71.0,2.35,2.04
44,Adam Pelech,NYI,D,mid,41,0.0033,69.0,2.11,2.36
45,Brandt Clarke,LAK,D,mid,41,0.0033,68.0,2.42,2.31
46,Adam Larsson,SEA,D,hi,56,0.0032,81.0,2.79,2.73
47,Urho Vaakanainen,NYR,D,lo,26,0.0031,86.0,2.59,2.14
48,Connor Clifton,BUF,D,lo,40,0.0031,85.0,2.78,3.14
49,Erik Gustafsson,DET,D,lo,40,0.003,83.0,2.38,2.74
50,David Savard,MTL,D,lo,45,0.003,82.0,2.95,2.71
51,Erik Karlsson,PIT,D,hi,77,0.0029,79.0,2.91,3.18
52,Nick Jensen,OTT,D,mid,47,0.0027,66.0,2.57,2.26
53,Carson Soucy,VAN,D,mid,46,0.0026,65.0,2.48,2.28
54,Nolan Allan,CHI,D,lo,27,0.0026,80.0,3.03,3.4
55,Simon Benoit,TOR,D,mid,40,0.0024,63.0,2.75,1.84
56,Cody Ceci,SJS,D,hi,88,0.0024,78.0,3.2,2.87
57,Cam Fowler,STL,D,mid,56,0.0024,62.0,2.51,2.4
58,Andrew Peeke,BOS,D,mid,48,0.0024,60.0,2.42,2.72
59,Josh Morrissey,WPG,D,hi,54,0.0022,76.0,2.32,1.72
60,Nicolas Hague,VGK,D,mid,43,0.0022,59.0,2.72,2.35
61,Jamie Oleksiak,SEA,D,mid,58,0.0022,57.0,2.62,2.69
62,Brandon Montour,SEA,D,hi,69,0.0022,75.0,2.63,2.75
63,Olen Zellweger,ANA,D,lo,39,0.0021,79.0,2.92,2.17
64,Jacob Bryson,BUF,D,lo,32,0.0021,77.0,2.88,3.52
65,Nick Perbix,TBL,D,mid,37,0.002,56.0,2.48,2.36
66,Sam Malinski,COL,D,mid,39,0.002,54.0,2.29,1.99
67,Rasmus Dahlin,BUF,D,hi,52,0.002,73.0,2.41,2.21
68,Dante Fabbro,CBJ,D,mid,46,0.002,53.0,2.52,2.4
69,Braden Schneider,NYR,D,mid,50,0.0019,51.0,2.93,2.48
70,Rasmus Andersson,CGY,D,hi,63,0.0017,72.0,2.66,2.47
71,Uvis Balinskis,FLA,D,lo,34,0.0017,76.0,2.1,2.17
72,Thomas Harley,DAL,D,hi,62,0.0017,70.0,2.61,2.06
73,Damon Severson,CBJ,D,mid,50,0.0016,50.0,2.58,2.83
74,Mattias Ekholm,EDM,D,mid,56,0.0016,49.0,2.33,2.67
75,Colton Parayko,STL,D,mid,56,0.0015,47.0,2.34,2.42
76,Samuel Girard,COL,D,hi,63,0.0015,69.0,2.4,2.79
77,Nick Leddy,STL,D,lo,27,0.0015,74.0,2.33,2.31
78,Connor Murphy,CHI,D,mid,46,0.0015,46.0,2.64,2.52
79,Kaiden Guhle,MTL,D,lo,48,0.0013,73.0,2.86,2.69
80,Ryan McDonagh,TBL,D,hi,42,0.0013,67.0,2.29,1.96
81,Charlie McAvoy,BOS,D,lo,25,0.0013,71.0,2.52,2.14
82,Victor Hedman,TBL,D,hi,52,0.0013,66.0,2.49,2.11
83,Matt Grzelcyk,PIT,D,hi,64,0.0011,64.0,2.74,2.78
84,Noah Juulsen,VAN,D,lo,27,0.0011,70.0,2.63,2.92
85,Travis Hamonic,OTT,D,lo,34,0.001,68.0,2.68,2.71
86,Chris Tanev,TOR,D,mid,41,0.0009,44.0,2.14,1.61
87,Aaron Ekblad,FLA,D,lo,44,0.0008,67.0,2.48,2.1
88,Jack Johnson,CBJ,D,lo,30,0.0008,65.0,3.0,4.32
89,Jared Spurgeon,MIN,D,mid,43,0.0008,43.0,1.98,2.03
90,John Carlson,WSH,D,mid,50,0.0007,41.0,2.59,2.46
91,Cam York,PHI,D,mid,54,0.0006,40.0,2.22,2.93
92,MacKenzie Weegar,CGY,D,hi,43,0.0006,63.0,2.29,1.78
93,Emil Andrae,PHI,D,lo,29,0.0005,64.0,2.19,2.71
94,Ryan Suter,STL,D,hi,52,0.0005,61.0,2.44,2.32
95,Filip Hronek,VAN,D,mid,47,0.0003,38.0,2.39,2.6
96,Darnell Nurse,EDM,D,hi,68,0.0003,60.0,2.46,2.35
97,Neal Pionk,WPG,D,mid,44,0.0002,37.0,2.33,1.79
98,Trevor van Riemsdyk,WSH,D,mid,43,0.0001,35.0,2.36,2.0
99,Scott Mayfield,NYI,D,lo,30,0.0,62.0,2.55,1.89
100,Nick Blankenburg,NSH,D,lo,38,0.0,61.0,2.57,2.59
101,TJ Brodie,CHI,D,lo,32,-0.0,59.0,2.73,3.12
102,Johnathan Kovacevic,NJD,D,hi,42,-0.0001,58.0,2.08,1.89
103,Jalen Chatfield,CAR,D,hi,49,-0.0001,57.0,2.42,2.28
104,Ben Chiarot,DET,D,hi,69,-0.0002,55.0,2.85,2.67
105,Shayne Gostisbehere,CAR,D,lo,44,-0.0002,58.0,2.25,2.23
106,Derek Forbort,VAN,D,lo,28,-0.0003,56.0,2.16,2.16
107,Rasmus Sandin,WSH,D,hi,57,-0.0003,54.0,2.46,2.48
108,Vincent Desharnais,VAN,D,lo,29,-0.0004,55.0,2.22,2.58
109,Niko Mikkola,FLA,D,hi,61,-0.0004,52.0,2.14,2.31
110,Daniil Miromanov,CGY,D,lo,26,-0.0004,53.0,2.56,1.95
111,Joel Edmundson,LAK,D,hi,47,-0.0005,51.0,2.5,2.17
112,Zach Bogosian,MIN,D,mid,50,-0.0006,34.0,2.43,2.48
113,Esa Lindell,DAL,D,hi,58,-0.0008,49.0,2.58,1.92
114,Marc Del Gaizo,NSH,D,lo,30,-0.0008,52.0,2.42,2.71
115,Brent Burns,CAR,D,mid,66,-0.0009,32.0,2.53,2.73
116,Erik Cernak,TBL,D,mid,32,-0.0012,31.0,2.36,1.9
117,Brett Kulak,EDM,D,hi,67,-0.0012,48.0,2.24,2.76
