rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Philipp Kurashev,CHI,F,lo,27,0.2384,100.0,2.74,3.3
2,Cody Glass,PIT,F,lo,30,0.2377,99.0,1.95,2.51
3,Jordan Martinook,CAR,F,mid,41,0.2376,100.0,2.27,1.97
4,Maxim Tsyplakov,NYI,F,mid,37,0.2322,99.0,2.46,2.43
5,Beck Malenstyn,BUF,F,lo,30,0.2317,98.0,2.41,2.65
6,Cole Perfetti,WPG,F,hi,38,0.2301,100.0,2.31,1.63
7,Ross Colton,COL,F,lo,26,0.2282,97.0,2.23,2.01
8,Michael Rasmussen,DET,F,lo,34,0.2275,96.0,2.42,2.37
9,Luke Kunin,SJS,F,lo,53,0.2274,95.0,2.94,3.45
10,Mikael Granlund,SJS,F,hi,57,0.2273,99.0,3.31,2.56
11,Jack McBain,?,F,mid,29,0.2264,98.0,2.36,1.77
12,Timo Meier,NJD,F,hi,31,0.2262,98.0,2.41,1.65
13,Nazem Kadri,CGY,F,hi,51,0.2261,97.0,2.59,2.21
14,Brady Tkachuk,OTT,F,mid,37,0.2249,97.0,2.3,2.32
15,Evan Rodrigues,FLA,F,hi,49,0.2241,96.0,2.31,2.2
16,Zachary L'Heureux,NSH,F,lo,26,0.2235,95.0,2.46,2.84
17,Juraj Slafkovský,MTL,F,hi,45,0.2235,96.0,3.05,2.54
18,Connor McMichael,WSH,F,hi,43,0.2234,95.0,2.76,2.53
19,Robby Fabbri,ANA,F,lo,25,0.2233,94.0,3.67,2.12
20,Alexander Kerfoot,?,F,mid,37,0.2219,96.0,2.4,2.29
21,Jonatan Berggren,DET,F,lo,31,0.2214,93.0,2.55,2.34
22,Patrick Kane,DET,F,mid,33,0.2213,96.0,2.85,1.9
23,Mattias Janmark,EDM,F,lo,31,0.221,92.0,2.43,2.16
24,Dmitri Voronkov,CBJ,F,mid,38,0.2207,95.0,2.88,2.26
25,Will Cuylle,NYR,F,mid,48,0.2206,94.0,2.84,2.67
26,Jack Hughes,NJD,F,mid,31,0.2201,93.0,2.36,2.21
27,Kaapo Kakko,SEA,F,hi,49,0.2198,94.0,2.8,2.66
28,Marco Rossi,MIN,F,hi,45,0.2195,93.0,2.34,2.11
29,Yakov Trenin,MIN,F,lo,30,0.2192,91.0,2.33,2.2
30,JJ Peterka,BUF,F,hi,52,0.2191,92.0,3.0,3.35
31,Tage Thompson,BUF,F,hi,51,0.2191,91.0,2.66,2.99
32,Eric Robinson,CAR,F,mid,42,0.2187,92.0,2.41,2.44
33,Matvei Michkov,PHI,F,mid,56,0.2184,91.0,2.51,3.34
34,Alex Killorn,ANA,F,mid,38,0.2182,90.0,2.58,2.2
35,Ryan Strome,ANA,F,hi,44,0.2182,90.0,3.15,2.67
36,Ivan Barbashev,VGK,F,mid,49,0.2181,89.0,2.65,2.34
37,J.T. Miller,NYR,F,mid,47,0.2181,88.0,2.6,2.67
38,Brandon Saad,STL,F,mid,50,0.218,88.0,2.38,2.81
39,Andre Burakovsky,SEA,F,mid,39,0.2179,87.0,2.67,2.7
40,Max Domi,TOR,F,lo,36,0.2179,90.0,2.51,2.17
41,Matthew Knies,TOR,F,hi,55,0.2177,89.0,2.46,2.32
42,Pierre Engvall,NYI,F,lo,29,0.2173,89.0,2.37,2.59
43,Elias Pettersson,VAN,F,lo,37,0.2171,88.0,2.18,2.4
44,Tyson Foerster,PHI,F,hi,45,0.2171,88.0,2.18,2.41
45,Stefan Noesen,NJD,F,mid,39,0.2169,86.0,2.42,2.46
46,Anders Lee,NYI,F,hi,46,0.2169,88.0,2.59,2.3
47,Adam Henrique,EDM,F,mid,37,0.2168,85.0,2.49,2.21
48,Nathan Walker,STL,F,lo,27,0.2167,87.0,2.1,1.84
49,Filip Forsberg,NSH,F,hi,66,0.2167,87.0,2.8,3.22
50,Blake Lizotte,PIT,F,lo,29,0.2166,86.0,2.35,2.38
51,Brad Marchand,BOS,F,lo,40,0.2166,86.0,2.81,2.31
52,Brett Howden,VGK,F,mid,49,0.2165,84.0,2.54,2.6
53,Connor Bedard,CHI,F,hi,58,0.2163,86.0,3.06,2.99
54,Paul Cotter,NJD,F,mid,45,0.2162,83.0,2.25,2.67
55,Zach Hyman,EDM,F,hi,56,0.216,85.0,2.33,2.83
56,Bo Horvat,NYI,F,hi,48,0.2158,84.0,2.67,2.26
57,Brandon Tanev,SEA,F,lo,42,0.2158,85.0,2.52,2.72
58,Sidney Crosby,PIT,F,hi,75,0.2158,83.0,2.91,3.39
59,Pius Suter,VAN,F,mid,47,0.2158,82.0,2.28,2.45
60,Ryan McLeod,BUF,F,mid,44,0.2157,81.0,2.71,2.86
61,Anthony Beauvillier,PIT,F,mid,40,0.2156,81.0,2.32,2.37
62,Nikita Kucherov,TBL,F,hi,49,0.2156,82.0,2.61,2.33
63,Nils Hoglander,VAN,F,lo,25,0.2154,84.0,2.17,1.92
64,Kirby Dach,MTL,F,lo,42,0.2154,83.0,3.03,3.45
65,Jason Zucker,BUF,F,lo,37,0.2153,82.0,2.85,2.7
66,Connor Brown,EDM,F,mid,35,0.2151,80.0,2.32,1.97
67,Lucas Raymond,DET,F,hi,55,0.215,81.0,2.45,2.78
68,Patrik Laine,MTL,F,lo,26,0.215,81.0,2.99,2.79
69,Garnet Hathaway,PHI,F,lo,26,0.2149,80.0,2.02,2.28
70,Patrick Maroon,CHI,F,lo,32,0.2148,79.0,3.19,2.79
71,Jaden Schwartz,SEA,F,hi,55,0.2145,80.0,2.75,2.94
72,James van Riemsdyk,CBJ,F,lo,41,0.2142,78.0,2.73,3.29
73,Jesperi Kotkaniemi,CAR,F,mid,41,0.2141,79.0,2.41,2.35
74,Jordan Eberle,SEA,F,lo,27,0.2141,77.0,2.71,3.0
75,Nick Suzuki,MTL,F,hi,50,0.214,79.0,2.96,2.47
76,Mason Appleton,WPG,F,mid,29,0.2139,78.0,2.51,1.81
77,Pavel Buchnevich,STL,F,hi,56,0.2138,79.0,2.69,2.48
78,Wyatt Johnston,DAL,F,hi,60,0.2136,78.0,2.74,2.84
79,Brandon Hagel,TBL,F,hi,41,0.2135,77.0,2.21,2.14
80,William Nylander,TOR,F,hi,52,0.2134,76.0,2.71,1.96
81,Gage Goncalves,TBL,F,lo,27,0.213,77.0,2.42,2.15
82,Frank Nazar,CHI,F,lo,28,0.2128,76.0,3.03,2.92
83,Jake Neighbours,STL,F,hi,50,0.2128,75.0,2.6,2.32
84,Nikolai Kovalenko,COL,F,lo,34,0.2127,75.0,2.66,3.09
85,Morgan Frost,PHI,F,mid,43,0.2126,77.0,2.21,2.68
86,Phillip Danault,LAK,F,hi,33,0.2125,74.0,2.18,1.92
87,Travis Konecny,PHI,F,hi,60,0.2124,73.0,2.54,2.81
88,Mathieu Olivier,CBJ,F,hi,44,0.2119,72.0,2.58,2.72
89,Michael McCarron,NSH,F,lo,37,0.2118,74.0,2.55,3.14
90,Jesper Bratt,NJD,F,hi,53,0.2117,71.0,2.58,2.67
91,Luke Evangelista,NSH,F,lo,29,0.2116,73.0,2.32,2.3
92,Evgeni Malkin,PIT,F,mid,42,0.2116,76.0,2.91,2.75
93,Conor Geekie,TBL,F,lo,26,0.2115,72.0,2.36,2.52
94,Jonathan Huberdeau,CGY,F,hi,51,0.2111,71.0,2.59,2.65
95,Jakub Lauko,MIN,F,lo,25,0.2109,71.0,2.4,2.99
96,Oliver Bjorkstrand,SEA,F,mid,32,0.2108,75.0,2.34,2.11
97,Keegan Kolesar,VGK,F,mid,41,0.2108,74.0,2.41,2.35
98,Troy Terry,ANA,F,hi,41,0.2108,70.0,3.09,2.41
99,Mark Scheifele,WPG,F,hi,57,0.2107,69.0,2.59,2.32
100,Dylan Cozens,BUF,F,hi,51,0.2106,68.0,2.94,3.11
101,Marcus Johansson,MIN,F,mid,37,0.2105,73.0,2.31,2.17
102,Nicholas Robertson,TOR,F,lo,27,0.2105,70.0,2.4,2.18
103,Mackie Samoskevich,FLA,F,lo,28,0.2102,69.0,2.17,2.16
104,Mitch Marner,TOR,F,hi,55,0.2101,67.0,2.53,2.18
105,Jordan Kyrou,STL,F,hi,42,0.21,66.0,2.4,1.82
106,Carter Verhaeghe,FLA,F,hi,59,0.2099,65.0,2.32,2.46
107,Kiefer Sherwood,VAN,F,mid,44,0.2096,73.0,2.43,2.93
108,Adrian Kempe,LAK,F,hi,45,0.2095,64.0,2.35,1.77
109,Kevin Fiala,LAK,F,hi,46,0.2094,63.0,2.08,2.18
110,Clayton Keller,?,F,hi,51,0.2094,62.0,2.47,2.37
111,Pierre-Luc Dubois,WSH,F,hi,43,0.2094,62.0,2.44,2.3
112,Yanni Gourde,SEA,F,lo,35,0.2093,68.0,2.35,2.57
113,Evgenii Dadonov,DAL,F,mid,57,0.2092,72.0,2.63,2.81
114,Alexis Lafrenière,NYR,F,hi,68,0.2092,61.0,2.83,3.21
115,Cole Sillinger,CBJ,F,lo,48,0.2092,68.0,2.84,3.16
116,Blake Coleman,CGY,F,hi,46,0.209,60.0,2.49,2.16
117,Jackson Blake,CAR,F,lo,31,0.209,67.0,2.0,1.77
