rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
171,Brady Skjei,NSH,D,hi,71,-0.0061,15.0,2.84,3.09
172,Arber Xhekaj,MTL,D,lo,37,-0.0061,29.0,2.79,2.62
173,Pavel Mintyukov,ANA,D,mid,39,-0.0065,3.0,3.07,2.89
174,Pierre-Olivier Joseph,PIT,D,lo,39,-0.0065,27.0,2.49,3.51
175,Evan Bouchard,EDM,D,hi,85,-0.0065,13.0,2.37,2.56
176,Jonas Brodin,MIN,D,lo,42,-0.0069,26.0,2.16,2.33
177,Oliver Ekman-Larsson,TOR,D,hi,52,-0.007,12.0,2.55,2.22
178,Cale Makar,COL,D,hi,58,-0.007,10.0,2.4,2.1
179,Michael Kesselring,?,D,hi,38,-0.0073,9.0,2.33,1.7
180,Justin Barron,NSH,D,lo,49,-0.0074,24.0,2.48,3.23
181,Radko Gudas,ANA,D,hi,46,-0.0075,7.0,2.83,2.33
182,Jeff Petry,DET,D,lo,28,-0.0075,23.0,2.75,2.4
183,Jayden Struble,MTL,D,lo,26,-0.0076,21.0,2.31,2.43
184,Jamie Drysdale,PHI,D,mid,62,-0.0078,1.0,2.51,3.38
185,Bowen Byram,BUF,D,hi,57,-0.0079,6.0,2.74,2.63
186,Marcus Pettersson,PIT,D,hi,64,-0.0079,4.0,2.71,3.07
187,Denton Mateychuk,CBJ,D,lo,30,-0.0081,20.0,2.65,2.61
188,Zach Werenski,CBJ,D,hi,65,-0.0082,3.0,2.58,2.26
189,Mikey Anderson,LAK,D,hi,45,-0.0088,1.0,2.0,1.47
190,Lian Bichsel,DAL,D,lo,25,-0.0092,18.0,2.47,2.67
191,Albert Johansson,DET,D,lo,34,-0.0093,17.0,2.56,2.4
192,Wyatt Kaiser,CHI,D,lo,30,-0.0097,15.0,2.71,2.14
193,Joshua Mahura,SEA,D,lo,29,-0.0099,14.0,2.45,2.03
194,Jake Christiansen,CBJ,D,lo,26,-0.0099,12.0,2.84,2.39
195,Drew Helleson,ANA,D,lo,29,-0.0101,11.0,3.01,2.29
196,Dougie Hamilton,NJD,D,lo,40,-0.0107,9.0,2.68,2.51
197,Jonas Siegenthaler,NJD,D,lo,26,-0.0116,8.0,1.95,1.56
198,Jake Bean,CGY,D,lo,26,-0.0125,6.0,2.48,1.82
199,Tony DeAngelo,NYI,D,lo,27,-0.0129,5.0,2.95,2.76
200,Henri Jokiharju,BUF,D,lo,30,-0.0131,3.0,2.58,2.23
201,Ryan Shea,PIT,D,lo,25,-0.0195,2.0,2.35,2.79
