rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Philipp Kurashev,CHI,F,lo,27,0.2375,100.0,2.74,3.3
2,Jordan Martinook,CAR,F,mid,41,0.2368,100.0,2.27,1.97
3,Cody Glass,PIT,F,lo,30,0.2313,99.0,1.95,2.51
4,Luke Kunin,SJS,F,lo,53,0.2296,98.0,2.94,3.45
5,Brady Tkachuk,OTT,F,mid,37,0.2294,99.0,2.3,2.32
6,Beck Malenstyn,BUF,F,lo,30,0.2285,97.0,2.41,2.65
7,Jack McBain,?,F,mid,29,0.2271,98.0,2.36,1.77
8,Maxim Tsyplakov,NYI,F,mid,37,0.2267,97.0,2.46,2.43
9,Cole Perfetti,WPG,F,hi,38,0.2265,100.0,2.31,1.63
10,Robby Fabbri,ANA,F,lo,25,0.2263,96.0,3.67,2.12
11,Michael Rasmussen,DET,F,lo,34,0.226,95.0,2.42,2.37
12,Timo Meier,NJD,F,hi,31,0.2256,99.0,2.41,1.65
13,Nazem Kadri,CGY,F,hi,51,0.2245,98.0,2.59,2.21
14,Ross Colton,COL,F,lo,26,0.224,95.0,2.23,2.01
15,Evan Rodrigues,FLA,F,hi,49,0.2229,97.0,2.31,2.2
16,Mikael Granlund,SJS,F,hi,57,0.2228,96.0,3.31,2.56
17,Juraj Slafkovský,MTL,F,hi,45,0.2227,96.0,3.05,2.54
18,Pierre Engvall,NYI,F,lo,29,0.2222,94.0,2.37,2.59
19,Patrick Kane,DET,F,mid,33,0.2219,96.0,2.85,1.9
20,Tyson Foerster,PHI,F,hi,45,0.2217,95.0,2.18,2.41
21,Yakov Trenin,MIN,F,lo,30,0.2207,93.0,2.33,2.2
22,Mattias Janmark,EDM,F,lo,31,0.2207,92.0,2.43,2.16
23,Tage Thompson,BUF,F,hi,51,0.22,94.0,2.66,2.99
24,Michael McCarron,NSH,F,lo,37,0.2199,91.0,2.55,3.14
25,Connor McMichael,WSH,F,hi,43,0.2198,93.0,2.76,2.53
26,Nils Hoglander,VAN,F,lo,25,0.2197,90.0,2.17,1.92
27,Will Cuylle,NYR,F,mid,48,0.2197,96.0,2.84,2.67
28,Nikita Kucherov,TBL,F,hi,49,0.2196,92.0,2.61,2.33
29,Max Domi,TOR,F,lo,36,0.2195,89.0,2.51,2.17
30,Connor Brown,EDM,F,mid,35,0.2191,95.0,2.32,1.97
31,Ryan Strome,ANA,F,hi,44,0.2185,91.0,3.15,2.67
32,Brandon Saad,STL,F,mid,50,0.2184,94.0,2.38,2.81
33,Alexander Kerfoot,?,F,mid,37,0.2181,93.0,2.4,2.29
34,Marco Rossi,MIN,F,hi,45,0.2181,90.0,2.34,2.11
35,Luke Evangelista,NSH,F,lo,29,0.2179,88.0,2.32,2.3
36,Blake Lizotte,PIT,F,lo,29,0.2178,87.0,2.35,2.38
37,Zachary L'Heureux,NSH,F,lo,26,0.2178,86.0,2.46,2.84
38,Zach Hyman,EDM,F,hi,56,0.2178,89.0,2.33,2.83
39,Ivan Barbashev,VGK,F,mid,49,0.2177,92.0,2.65,2.34
40,Anthony Beauvillier,PIT,F,mid,40,0.2176,91.0,2.32,2.37
41,Ryan McLeod,BUF,F,mid,44,0.2175,90.0,2.71,2.86
42,Andre Burakovsky,SEA,F,mid,39,0.2169,89.0,2.67,2.7
43,Jack Hughes,NJD,F,mid,31,0.2169,88.0,2.36,2.21
44,Anders Lee,NYI,F,hi,46,0.2165,88.0,2.59,2.3
45,Kaapo Kakko,SEA,F,hi,49,0.2164,88.0,2.8,2.66
46,JJ Peterka,BUF,F,hi,52,0.2164,87.0,3.0,3.35
47,Jonatan Berggren,DET,F,lo,31,0.2163,86.0,2.55,2.34
48,Dmitri Voronkov,CBJ,F,mid,38,0.2162,88.0,2.88,2.26
49,Jordan Eberle,SEA,F,lo,27,0.2161,85.0,2.71,3.0
