rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Philipp Kurashev,CHI,F,lo,27,0.0319,100.0,2.74,3.3
2,Jordan Martinook,CAR,F,mid,41,0.0317,100.0,2.27,1.97
3,Cody Glass,PIT,F,lo,30,0.0266,99.0,1.95,2.51
4,Brady Tkachuk,OTT,F,mid,37,0.0242,99.0,2.3,2.32
5,Luke Kunin,SJS,F,lo,53,0.0237,98.0,2.94,3.45
6,Beck Malenstyn,BUF,F,lo,30,0.0232,97.0,2.41,2.65
7,Jack McBain,?,F,mid,29,0.022,98.0,2.36,1.77
8,Maxim Tsyplakov,NYI,F,mid,37,0.0214,97.0,2.46,2.43
9,Cole Perfetti,WPG,F,hi,38,0.0214,100.0,2.31,1.63
10,Michael Rasmussen,DET,F,lo,34,0.0207,96.0,2.42,2.37
11,Timo Meier,NJD,F,hi,31,0.0204,99.0,2.41,1.65
12,Robby Fabbri,ANA,F,lo,25,0.0196,95.0,3.67,2.12
13,Nazem Kadri,CGY,F,hi,51,0.019,98.0,2.59,2.21
14,Ross Colton,COL,F,lo,26,0.019,95.0,2.23,2.01
15,Evan Rodrigues,FLA,F,hi,49,0.0178,97.0,2.31,2.2
16,Pierre Engvall,NYI,F,lo,29,0.017,94.0,2.37,2.59
17,Juraj Slafkovský,MTL,F,hi,45,0.0167,96.0,3.05,2.54
18,Tyson Foerster,PHI,F,hi,45,0.0167,96.0,2.18,2.41
19,Mikael Granlund,SJS,F,hi,57,0.0166,95.0,3.31,2.56
20,Patrick Kane,DET,F,mid,33,0.0161,96.0,2.85,1.9
21,Yakov Trenin,MIN,F,lo,30,0.0156,93.0,2.33,2.2
22,Mattias Janmark,EDM,F,lo,31,0.0154,92.0,2.43,2.16
23,Nils Hoglander,VAN,F,lo,25,0.0147,91.0,2.17,1.92
24,Tage Thompson,BUF,F,hi,51,0.0145,94.0,2.66,2.99
25,Michael McCarron,NSH,F,lo,37,0.0145,90.0,2.55,3.14
26,Max Domi,TOR,F,lo,36,0.0142,89.0,2.51,2.17
27,Nikita Kucherov,TBL,F,hi,49,0.0142,93.0,2.61,2.33
28,Connor McMichael,WSH,F,hi,43,0.0142,92.0,2.76,2.53
29,Connor Brown,EDM,F,mid,35,0.014,96.0,2.32,1.97
30,Will Cuylle,NYR,F,mid,48,0.0139,95.0,2.84,2.67
31,Brandon Saad,STL,F,mid,50,0.0132,94.0,2.38,2.81
32,Marco Rossi,MIN,F,hi,45,0.0129,91.0,2.34,2.11
33,Alexander Kerfoot,?,F,mid,37,0.0129,93.0,2.4,2.29
34,Luke Evangelista,NSH,F,lo,29,0.0128,88.0,2.32,2.3
35,Blake Lizotte,PIT,F,lo,29,0.0127,87.0,2.35,2.38
36,Zach Hyman,EDM,F,hi,56,0.0126,90.0,2.33,2.83
37,Zachary L'Heureux,NSH,F,lo,26,0.0125,86.0,2.46,2.84
38,Anthony Beauvillier,PIT,F,mid,40,0.0125,92.0,2.32,2.37
39,Ryan Strome,ANA,F,hi,44,0.0124,89.0,3.15,2.67
40,Ivan Barbashev,VGK,F,mid,49,0.0122,91.0,2.65,2.34
41,Ryan McLeod,BUF,F,mid,44,0.0119,90.0,2.71,2.86
42,Jack Hughes,NJD,F,mid,31,0.0117,89.0,2.36,2.21
43,Andre Burakovsky,SEA,F,mid,39,0.0114,88.0,2.67,2.7
44,Elias Pettersson,VAN,F,lo,37,0.0111,86.0,2.18,2.4
45,Anders Lee,NYI,F,hi,46,0.011,88.0,2.59,2.3
46,Jonatan Berggren,DET,F,lo,31,0.0109,85.0,2.55,2.34
47,Eric Robinson,CAR,F,mid,42,0.0108,88.0,2.41,2.44
48,Kaapo Kakko,SEA,F,hi,49,0.0107,88.0,2.8,2.66
49,Alex Killorn,ANA,F,mid,38,0.0106,87.0,2.58,2.2
50,Jordan Eberle,SEA,F,lo,27,0.0106,84.0,2.71,3.0
51,Garnet Hathaway,PHI,F,lo,26,0.0105,83.0,2.02,2.28
52,JJ Peterka,BUF,F,hi,52,0.0105,87.0,3.0,3.35
53,Dmitri Voronkov,CBJ,F,mid,38,0.0104,86.0,2.88,2.26
54,Stefan Noesen,NJD,F,mid,39,0.0103,85.0,2.42,2.46
55,Matthew Knies,TOR,F,hi,55,0.0102,86.0,2.46,2.32
56,Jason Zucker,BUF,F,lo,37,0.0102,82.0,2.85,2.7
57,Brad Marchand,BOS,F,lo,40,0.0101,81.0,2.81,2.31
58,Nick Suzuki,MTL,F,hi,50,0.0098,85.0,2.96,2.47
59,Sidney Crosby,PIT,F,hi,75,0.0098,84.0,2.91,3.39
60,Kirby Dach,MTL,F,lo,42,0.0096,80.0,3.03,3.45
61,Filip Forsberg,NSH,F,hi,66,0.0096,83.0,2.8,3.22
62,Connor Bedard,CHI,F,hi,58,0.0093,82.0,3.06,2.99
63,Pius Suter,VAN,F,mid,47,0.0092,84.0,2.28,2.45
64,Adam Henrique,EDM,F,mid,37,0.009,83.0,2.49,2.21
65,J.T. Miller,NYR,F,mid,47,0.009,82.0,2.6,2.67
66,Patrick Maroon,CHI,F,lo,32,0.0088,79.0,3.19,2.79
67,Brett Howden,VGK,F,mid,49,0.0083,81.0,2.54,2.6
68,Kevin Fiala,LAK,F,hi,46,0.0083,81.0,2.08,2.18
69,Keegan Kolesar,VGK,F,mid,41,0.0082,81.0,2.41,2.35
70,Jaden Schwartz,SEA,F,hi,55,0.0081,80.0,2.75,2.94
71,Mathieu Olivier,CBJ,F,hi,44,0.0081,79.0,2.58,2.72
72,Matvei Michkov,PHI,F,mid,56,0.0079,80.0,2.51,3.34
73,James van Riemsdyk,CBJ,F,lo,41,0.0078,78.0,2.73,3.29
74,Brandon Tanev,SEA,F,lo,42,0.0078,77.0,2.52,2.72
75,Bo Horvat,NYI,F,hi,48,0.0077,79.0,2.67,2.26
76,Lucas Raymond,DET,F,hi,55,0.0076,78.0,2.45,2.78
