rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Nick Cousins,OTT,F,mid,25,0.0337,100.0,2.06,1.77
2,Trevor Zegras,PHI,F,hi,53,0.0284,100.0,2.49,2.56
3,Evgeni Malkin,PIT,F,lo,33,0.0275,100.0,3.08,2.39
4,Conor Garland,VAN,F,mid,41,0.0273,99.0,3.13,2.67
5,Artemi Panarin,NYR,F,hi,51,0.027,99.0,2.53,2.53
6,Mitch Marner,VGK,F,hi,51,0.0263,98.0,2.27,2.01
7,Brandon Hagel,TBL,F,mid,37,0.0244,98.0,2.65,2.26
8,Jared McCann,SEA,F,lo,33,0.0228,99.0,2.67,2.76
9,Mackie Samoskevich,FLA,F,mid,31,0.018,97.0,2.42,2.21
10,Matt Duchene,DAL,F,lo,39,0.0175,98.0,2.62,2.83
11,Jesper Bratt,NJD,F,hi,57,0.0175,97.0,2.7,3.11
12,Filip Forsberg,NSH,F,hi,43,0.0174,96.0,2.86,2.18
13,Vladislav Namestnikov,WPG,F,lo,28,0.017,97.0,2.45,2.5
14,Connor Zary,CGY,F,mid,38,0.0162,96.0,2.76,2.31
15,Anthony Mantha,PIT,F,mid,47,0.0162,96.0,2.89,2.77
16,J.T. Miller,NYR,F,mid,47,0.0162,95.0,2.57,3.16
17,Luke Evangelista,NSH,F,hi,41,0.016,95.0,2.51,2.52
18,Adam Klapka,CGY,F,lo,27,0.0158,96.0,2.79,2.28
19,Reilly Smith,VGK,F,lo,42,0.015,95.0,2.6,2.81
20,Ivan Barbashev,VGK,F,hi,65,0.0149,95.0,2.39,2.48
21,Tyler Toffoli,SJS,F,mid,43,0.0146,94.0,2.73,2.69
22,Jesper Boqvist,FLA,F,lo,33,0.0146,95.0,2.49,2.58
23,Beckett Sennecke,ANA,F,hi,67,0.0145,94.0,2.99,2.99
24,Ryan Nugent-Hopkins,EDM,F,mid,48,0.0144,93.0,2.86,3.08
25,Nick Suzuki,MTL,F,hi,59,0.0142,93.0,2.7,1.99
26,Arseny Gritsyuk,NJD,F,mid,34,0.014,92.0,2.43,2.49
27,Chris Kreider,ANA,F,mid,54,0.0139,91.0,2.82,3.03
28,Noah Laba,NYR,F,lo,25,0.0138,94.0,2.51,1.83
29,Zach Benson,BUF,F,lo,30,0.0136,93.0,2.76,1.94
30,Michael Bunting,NSH,F,mid,48,0.0133,90.0,2.72,3.52
31,Cole Sillinger,CBJ,F,hi,49,0.0132,92.0,2.57,2.72
32,Adam Henrique,EDM,F,lo,25,0.0132,92.0,2.32,2.57
33,Pavel Buchnevich,STL,F,hi,46,0.0128,91.0,2.72,2.75
34,Noel Acciari,PIT,F,lo,25,0.0127,91.0,2.43,2.08
35,Joel Farabee,CGY,F,hi,39,0.0126,90.0,2.71,2.7
36,Vinnie Hinostroza,MIN,F,lo,31,0.0125,90.0,3.46,3.15
37,Frank Vatrano,ANA,F,lo,26,0.0121,89.0,3.25,3.45
38,William Carrier,CAR,F,lo,29,0.0118,88.0,2.1,2.35
39,Timo Meier,NJD,F,hi,49,0.0117,89.0,2.74,2.9
40,Jake Neighbours,STL,F,mid,39,0.0115,89.0,2.33,2.9
41,Ryan Strome,ANA,F,lo,35,0.0108,87.0,2.77,3.29
42,Sebastian Aho,CAR,F,hi,56,0.0106,88.0,2.73,2.86
43,Scott Laughton,TOR,F,lo,25,0.0102,86.0,2.37,2.28
44,Travis Konecny,PHI,F,hi,52,0.0101,87.0,2.81,2.27
