rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jakob Chychrun,WSH,D,hi,52,0.2107,100.0,2.88,1.92
2,Ryan Lindgren,SEA,D,mid,46,0.2056,100.0,2.9,2.37
3,Owen Power,BUF,D,hi,56,0.2018,98.0,2.79,2.36
4,Luke Schenn,WPG,D,lo,37,0.2016,100.0,3.04,3.33
5,Henri Jokiharju,BOS,D,lo,25,0.2014,98.0,2.84,2.94
6,Ryker Evans,SEA,D,lo,38,0.2014,97.0,2.56,2.39
7,Carson Soucy,NYI,D,mid,38,0.2009,98.0,2.75,2.37
8,John Klingberg,SJS,D,lo,46,0.2005,95.0,3.01,3.28
9,Adam Fox,NYR,D,lo,33,0.2004,94.0,2.21,2.01
10,Rasmus Dahlin,BUF,D,hi,57,0.2002,97.0,2.61,2.22
11,Cam York,PHI,D,mid,57,0.1998,97.0,2.25,2.37
12,Devon Toews,COL,D,mid,49,0.1997,95.0,2.5,2.12
13,Jackson LaCombe,ANA,D,hi,84,0.1996,95.0,2.82,2.88
14,Brandt Clarke,LAK,D,hi,41,0.1995,94.0,2.4,1.96
15,Simon Edvinsson,DET,D,hi,51,0.1995,92.0,2.57,2.36
16,Gustav Forsling,FLA,D,hi,65,0.1991,91.0,2.67,2.98
17,Seth Jones,FLA,D,lo,39,0.199,92.0,2.67,2.44
18,Brock Faber,MIN,D,hi,74,0.1988,89.0,2.67,2.82
19,Dylan DeMelo,WPG,D,hi,66,0.1984,88.0,2.55,2.47
20,Jake McCabe,TOR,D,hi,61,0.1984,86.0,2.77,2.93
21,Albert Johansson,DET,D,mid,47,0.1984,94.0,2.75,2.67
22,Matt Roy,WSH,D,hi,43,0.198,84.0,2.72,2.2
23,Cody Ceci,LAK,D,mid,53,0.1979,92.0,2.46,2.41
24,Timothy Liljegren,SJS,D,lo,27,0.1979,90.0,2.86,2.69
25,Tom Willander,VAN,D,lo,56,0.1979,89.0,3.11,3.4
26,Rasmus Sandin,WSH,D,mid,46,0.1978,91.0,2.62,2.6
27,Morgan Rielly,TOR,D,hi,74,0.1978,83.0,2.99,3.52
