rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jordan Martinook,CAR,F,mid,41,0.0345,100.0,2.27,1.97
2,Philipp Kurashev,CHI,F,lo,27,0.0337,100.0,2.74,3.3
3,Cody Glass,PIT,F,lo,30,0.0334,99.0,1.95,2.51
4,Beck Malenstyn,BUF,F,lo,30,0.0289,98.0,2.41,2.65
5,Maxim Tsyplakov,NYI,F,mid,37,0.025,99.0,2.46,2.43
6,Cole Perfetti,WPG,F,hi,38,0.0235,100.0,2.31,1.63
7,Luke Kunin,SJS,F,lo,53,0.0234,97.0,2.94,3.45
8,Jack McBain,?,F,mid,29,0.0224,98.0,2.36,1.77
9,Michael Rasmussen,DET,F,lo,34,0.0224,96.0,2.42,2.37
10,Mikael Granlund,SJS,F,hi,57,0.0221,99.0,3.31,2.56
11,Ross Colton,COL,F,lo,26,0.0219,95.0,2.23,2.01
12,Alexander Kerfoot,?,F,mid,37,0.0193,97.0,2.4,2.29
13,Nazem Kadri,CGY,F,hi,51,0.019,98.0,2.59,2.21
14,Robby Fabbri,ANA,F,lo,25,0.0186,95.0,3.67,2.12
15,Timo Meier,NJD,F,hi,31,0.0185,97.0,2.41,1.65
16,Brady Tkachuk,OTT,F,mid,37,0.0184,96.0,2.3,2.32
17,Zachary L'Heureux,NSH,F,lo,26,0.0179,94.0,2.46,2.84
18,Mattias Janmark,EDM,F,lo,31,0.0173,93.0,2.43,2.16
19,Connor McMichael,WSH,F,hi,43,0.0173,96.0,2.76,2.53
20,Evan Rodrigues,FLA,F,hi,49,0.0168,96.0,2.31,2.2
21,Juraj Slafkovský,MTL,F,hi,45,0.0163,95.0,3.05,2.54
22,Will Cuylle,NYR,F,mid,48,0.0154,96.0,2.84,2.67
23,Jack Hughes,NJD,F,mid,31,0.0152,95.0,2.36,2.21
24,Yakov Trenin,MIN,F,lo,30,0.0145,92.0,2.33,2.2
25,Patrick Kane,DET,F,mid,33,0.0143,94.0,2.85,1.9
26,Alex Killorn,ANA,F,mid,38,0.0143,93.0,2.58,2.2
27,Jonatan Berggren,DET,F,lo,31,0.0141,91.0,2.55,2.34
28,Dmitri Voronkov,CBJ,F,mid,38,0.0137,92.0,2.88,2.26
29,Eric Robinson,CAR,F,mid,42,0.0134,91.0,2.41,2.44
30,Brandon Tanev,SEA,F,lo,42,0.0131,90.0,2.52,2.72
31,Matthew Knies,TOR,F,hi,55,0.013,94.0,2.46,2.32
32,J.T. Miller,NYR,F,mid,47,0.0129,90.0,2.6,2.67
33,Adam Henrique,EDM,F,mid,37,0.0125,89.0,2.49,2.21
34,Ryan McLeod,BUF,F,mid,44,0.0123,88.0,2.71,2.86
35,Kaapo Kakko,SEA,F,hi,49,0.0123,93.0,2.8,2.66
36,Blake Lizotte,PIT,F,lo,29,0.0121,89.0,2.35,2.38
37,Brad Marchand,BOS,F,lo,40,0.0121,88.0,2.81,2.31
38,Brandon Saad,STL,F,mid,50,0.0121,88.0,2.38,2.81
39,Pius Suter,VAN,F,mid,47,0.0121,87.0,2.28,2.45
40,Tage Thompson,BUF,F,hi,51,0.012,92.0,2.66,2.99
41,JJ Peterka,BUF,F,hi,52,0.0119,91.0,3.0,3.35
42,Marco Rossi,MIN,F,hi,45,0.0119,90.0,2.34,2.11
43,Matvei Michkov,PHI,F,mid,56,0.0115,86.0,2.51,3.34
44,Brett Howden,VGK,F,mid,49,0.0115,85.0,2.54,2.6
45,Elias Pettersson,VAN,F,lo,37,0.0114,87.0,2.18,2.4
46,Ryan Strome,ANA,F,hi,44,0.0113,89.0,3.15,2.67
47,Ivan Barbashev,VGK,F,mid,49,0.0112,84.0,2.65,2.34
48,Garnet Hathaway,PHI,F,lo,26,0.0111,86.0,2.02,2.28
49,Connor Brown,EDM,F,mid,35,0.0111,83.0,2.32,1.97
50,Tyson Foerster,PHI,F,hi,45,0.011,88.0,2.18,2.41
51,Nathan Walker,STL,F,lo,27,0.0109,86.0,2.1,1.84
52,Stefan Noesen,NJD,F,mid,39,0.0109,82.0,2.42,2.46
53,Max Domi,TOR,F,lo,36,0.0108,85.0,2.51,2.17
54,Andre Burakovsky,SEA,F,mid,39,0.0104,81.0,2.67,2.7
55,Pierre Engvall,NYI,F,lo,29,0.0103,84.0,2.37,2.59
56,Bo Horvat,NYI,F,hi,48,0.01,88.0,2.67,2.26
57,Anders Lee,NYI,F,hi,46,0.0098,87.0,2.59,2.3
58,Filip Forsberg,NSH,F,hi,66,0.0097,86.0,2.8,3.22
59,Patrik Laine,MTL,F,lo,26,0.0096,83.0,2.99,2.79
60,Kirby Dach,MTL,F,lo,42,0.0093,82.0,3.03,3.45
61,Zach Hyman,EDM,F,hi,56,0.0092,85.0,2.33,2.83
62,Michael McCarron,NSH,F,lo,37,0.0091,81.0,2.55,3.14
63,Lucas Raymond,DET,F,hi,55,0.0091,84.0,2.45,2.78
64,Wyatt Johnston,DAL,F,hi,60,0.009,83.0,2.74,2.84
65,Paul Cotter,NJD,F,mid,45,0.0088,81.0,2.25,2.67
66,Sidney Crosby,PIT,F,hi,75,0.0087,82.0,2.91,3.39
67,Brandon Hagel,TBL,F,hi,41,0.0085,81.0,2.21,2.14
68,Connor Bedard,CHI,F,hi,58,0.0085,80.0,3.06,2.99
69,Nils Hoglander,VAN,F,lo,25,0.0085,80.0,2.17,1.92
70,Jason Zucker,BUF,F,lo,37,0.0084,79.0,2.85,2.7
71,Anthony Beauvillier,PIT,F,mid,40,0.0084,80.0,2.32,2.37
72,Pavel Buchnevich,STL,F,hi,56,0.0084,79.0,2.69,2.48
