player_id,team_id,toi,schedule_adjustment,season_label
8474037,4,56834,-0.001359451621343277,2010-11
8470162,20,55780,0.00632341297617677,2010-11
8467389,25,65013,-0.0003987071310372016,2010-11
8475060,1,16903,-0.004793897506032875,2010-11
8468101,2,64619,-0.005623679227502918,2010-11
8467365,15,57786,-0.000052821533025551724,2010-11
8471233,1,70656,-0.0011009479210510524,2010-11
8471743,19,49785,-0.0013945241033599,2010-11
8471691,27,50059,0.0014207149956078709,2010-11
8467915,29,16308,-0.0019826757229197633,2010-11
8474031,21,42873,0.0025873608903818524,2010-11
8474250,9,36291,-0.002808098547753548,2010-11
8475149,15,49982,-0.003021736239160977,2010-11
8469581,28,27707,0.0009759991182877859,2010-11
8473562,28,18277,0.0042668069055998925,2010-11
8470281,16,99239,0.0012906516465138736,2010-11
8466158,21,20239,-0.007894436157764074,2010-11
8470755,26,42770,0.0038457029107368764,2010-11
8470171,5,57257,-0.0016587900496533618,2010-11
8473507,22,33666,0.0021873727295334965,2010-11
8471352,16,48301,0.0015166030174058685,2010-11
8466035,12,39000,-0.0034982705176995845,2010-11
8470310,23,49631,0.004429665550435214,2010-11
8471222,22,75095,-0.002703952947817624,2010-11
8473908,26,18192,0.0030046430569991194,2010-11
8471436,6,17270,-0.0074619004179329535,2010-11
8474027,28,23214,0.00349101034724217,2010-11
8471735,27,90873,-0.0008647837674734109,2010-11
8470654,8,25423,0.0027362682643611897,2010-11
8470621,24,79126,-0.002558029835417543,2010-11
8471217,11,68587,-0.002627596641024645,2010-11
8472379,11,27932,-0.0016259041244625386,2010-11
8471311,5,57401,-0.0022548383370352464,2010-11
8470622,17,36372,-0.00007431407707263994,2010-11
8470619,3,62591,0.0002984193511658554,2010-11
8467396,12,65320,-0.0033681294252281505,2010-11
8473453,26,40504,0.002866986028561504,2010-11
8467428,25,13434,-0.0011199715435130635,2010-11
8474164,18,21044,0.0037334649785629465,2010-11
8470606,26,70038,0.0019740242564953523,2010-11
8467878,7,47266,-0.002040131805715281,2010-11
8474573,2,52107,-0.004592231044800041,2010-11
8470642,18,90425,-0.0002570078801241223,2010-11
8471703,14,41204,0.0016227001562405274,2010-11
8465200,6,24232,-0.0006599504418615021,2010-11
8473588,9,19897,-0.008165329096879304,2010-11
8473568,4,48582,-0.0029124167317517652,2010-11
8469473,18,41160,0.0003153958553092216,2010-11
8473992,30,16426,-0.0012622576740872148,2010-11
8471238,2,34024,-0.004361246488821603,2010-11
8470852,2,69401,-0.004755962847831166,2010-11
8471862,9,18883,-0.0133198591653266,2010-11
8471729,29,59324,0.0017316263931877196,2010-11
8470578,11,12404,-0.018965927826159013,2010-11
8475764,24,78160,-0.0011877306915518446,2010-11
8473564,13,41557,0.0021737042325533883,2010-11
8464979,26,12511,0.010742404113955452,2010-11
8471266,13,74078,-0.001660406741441402,2010-11
8466393,5,64301,-0.0020683715637723967,2010-11
8467344,20,80889,0.006630808437271098,2010-11
8472368,5,39129,-0.005088477355020609,2010-11
8474161,29,63708,-0.0017229957444496072,2010-11
8471682,28,55082,0.005740629486255297,2010-11
8471346,4,20753,0.005681223793273486,2010-11
8468515,19,31537,0.00006026977762829942,2010-11
8459461,20,47023,0.0063724349589990206,2010-11
8473999,1,35101,-0.0016270179321373178,2010-11
8471208,22,49404,-0.0019285222058212717,2010-11
8460577,21,59118,0.003660906810415342,2010-11
8458943,12,18187,-0.005123900298450097,2010-11
8459457,25,30478,0.0038045967387726654,2010-11
8471419,7,13091,-0.0013489323167702992,2010-11
8471348,19,32198,0.00016753900129882666,2010-11
8474568,10,87366,-0.002803184980971401,2010-11
8470667,10,67379,-0.0032012152460725715,2010-11
8471242,15,50149,0.00020583329571986292,2010-11
8470222,8,43434,-0.003410002702978607,2010-11
8473465,28,32876,0.007937974719847578,2010-11
8471717,6,53193,0.0008776085005797443,2010-11
8465202,23,23824,0.005347132404991103,2010-11
8467543,25,29564,-0.0020489760211008937,2010-11
8470647,19,51982,0.0005097445076081235,2010-11
8474096,18,48278,0.0029857543763800983,2010-11
8470905,14,48830,0.0020262779064968393,2010-11
8464979,15,12920,0.0017201358194961118,2010-11
8471260,2,60996,-0.005326112119533122,2010-11
8474584,3,40436,0.003239294467102261,2010-11
8467452,26,82396,0.002903896999430561,2010-11
8470274,13,36363,0.001068950733310688,2010-11
8471490,19,12388,0.0045911336136029894,2010-11
8467407,8,67791,0.00013200289383478225,2010-11
8471450,21,48102,0.0020971425266424343,2010-11
8469490,20,43792,0.00654210660738586,2010-11
8471254,16,59313,-0.00041258667254687236,2010-11
8475118,3,42648,0.0014650464318179388,2010-11
8469454,1,84144,-0.0015072573123959554,2010-11
8471436,21,45295,0.00645803407858619,2010-11
8474518,26,27689,0.0021124853540578827,2010-11
8474091,12,63213,-0.0037802916436309956,2010-11
8471504,20,62049,0.0063927619127755655,2010-11
8470358,23,57258,0.004708151000161956,2010-11
8470309,22,35756,-0.00794790238791969,2010-11
8468095,24,29895,-0.0010336164122181873,2010-11
8467361,4,30017,-0.0005808250560465487,2010-11
8474579,24,55621,-0.0004903890823394851,2010-11
8471324,22,29326,0.003161451090764566,2010-11
8470966,20,81369,0.006328972358797379,2010-11
8471269,25,52850,-0.0012803947907155783,2010-11
8468577,28,60600,0.0039337766581050435,2010-11
8474048,10,38698,-0.003795828274659687,2010-11
8471708,21,17251,0.01034687953659359,2010-11
8473673,27,34646,0.0020229591108682997,2010-11
8467545,6,57167,0.0008967180372685343,2010-11
8460621,9,43248,0.0015455654961868176,2010-11
8474166,26,46840,0.0032151545399766337,2010-11
8469685,29,17127,0.004958081578319111,2010-11
8459427,7,48829,-0.0015487868406225329,2010-11
8470105,29,16223,0.0013736885896203353,2010-11
8449645,17,23169,0.005574467211552448,2010-11
8475168,21,71701,0.0039164275653537604,2010-11
8473579,10,64372,-0.003407428804793566,2010-11
8473426,7,51383,0.0002503733335373243,2010-11
8475169,11,60653,-0.001944839533808141,2010-11
8468704,30,54323,0.00014928380756533635,2010-11
8473682,27,17090,-0.008955666619865748,2010-11
8470318,17,73550,-0.00009670853539714431,2010-11
8467393,9,31662,0.002904800894413094,2010-11
8471323,22,51297,-0.0021017268130083754,2010-11
8471521,30,27425,0.0008452130099616743,2010-11
8473466,8,14036,0.004379284101475202,2010-11
8470180,30,55836,-0.000540231651725615,2010-11
8469555,23,82027,0.004214863807542691,2010-11
8473422,9,65604,-0.0012347805992467499,2010-11
8469462,12,63588,-0.0028810157062816666,2010-11
8473571,12,67424,-0.003450555336649643,2010-11
8467371,25,70239,-0.0012738497440412473,2010-11
8469483,15,32099,-0.001457382879543499,2010-11
8471724,5,78906,-0.0022035014237536243,2010-11
8467931,9,38200,0.002757074596320632,2010-11
8471218,11,20207,0.0009501368542137265,2010-11
8458637,4,66641,-0.0005050173517240733,2010-11
8468432,13,18395,0.004525908053632353,2010-11
8470616,23,66575,0.004107934863019295,2010-11
8469755,25,21916,-0.002903737553489379,2010-11
8467331,17,66584,0.003081479786407947,2010-11
8458590,15,64191,-0.0007000388774048125,2010-11
8471676,24,77687,-0.0029502134470915905,2010-11
8471216,30,42547,-0.0012678810181644092,2010-11
8466142,19,56802,-0.003005793024972519,2010-11
8471508,1,14229,-0.004497524727125783,2010-11
8468463,8,34712,0.0021192466106507817,2010-11
8475637,9,27729,-0.008862513100047719,2010-11
8468789,25,12345,-0.006174229084860042,2010-11
8465058,3,31974,0.004131992173666068,2010-11
8470598,7,63015,-0.0005295181922448318,2010-11
8467400,24,26494,-0.007168831246010548,2010-11
8470740,27,64658,-0.0007796943996188173,2010-11
8460562,3,13711,-0.00015155393952397464,2010-11
8471346,10,43976,-0.0039624852052753115,2010-11
8468513,30,72271,-0.00015032993586857094,2010-11
8469521,8,62541,0.001113606636910444,2010-11
8467304,24,28532,0.0018275308742816934,2010-11
8469760,5,70007,-0.0025270640242471094,2010-11
8471279,27,42940,-0.00015232238053272627,2010-11
8466149,17,54015,0.00017917108941254065,2010-11
8474589,7,63125,-0.000577384081585821,2010-11
8473419,6,54005,-0.002692829870074879,2010-11
8471879,21,14861,-0.004770626969998168,2010-11
8471859,18,57148,-0.0008699105279472426,2010-11
8471794,17,48674,0.0014551815577383406,2010-11
8450725,6,58933,-0.0007564756953786514,2010-11
8469472,7,50796,0.001851791032486877,2010-11
8474053,28,65233,0.0029748852617102984,2010-11
8467353,11,57944,-0.0022679582555919084,2010-11
8470634,14,12525,0.004805171610326355,2010-11
8469500,8,55734,-0.0005301126039122209,2010-11
8468064,18,51849,-0.0003159196362036519,2010-11
